က	k a̰
ကိလေသာ	k ḭ l è θ à
ကို	k ò
ကို	k ò
ကို	k ò
ကို	ʔ
ကို	ɡ ò
ကို	ɴ
ကိုက်	k a ɪ ʔ
ကိုက်လန်	k a ɪ ʔ l à ɴ
ကိုင်	k à ɪ ɴ
ကိုဘော့	k ò b ɔ̰
ကိုမိုရို	k ò m ò ɹ ò
ကိုယ်	k ò
ကိုယ်စားလှယ်	k ò j z ə l̥ ɛ̀
ကိုယ်ဝန်	k ò j w ʊ̀ ɴ
ကိုယ်ဝန်ဆောင်	k ò j w ʊ̀ ɴ sʰ à ʊ ɴ
ကိုယ်ဝန်ရှိ	k ò j w ʊ̀ ɴ ʃ ḭ
ကိုရမ်ကျမ်း	k ò ɹ à ɴ t͡ɕ á ɴ
ကိုရီးယား	k ò ɹ í j á
ကိုလိုနီ	k ò l ò n ì
ကိုလံဘီယာ	k ò l à ɴ b ì j à
ကိုး	k ó
ကိုးကန့်	k ó ɡ a̰ ɴ
ကီလိုဂရမ်	k ì l ò ɡ ə ɹ à ɴ
ကီးမား	k í m á
ကုဋေ	ɡ ə d è
ကုတ်	k o ʊ ʔ
ကုတ်ဟီးနာ	k o ʊ ʔ h í n à
ကုန်	k ò ʊ ɴ
ကုန်ကား	k ò ʊ ɴ ɡ á
ကုန်ကုန်	k ò ʊ ɴ ɡ ò ʊ ɴ
ကုန်စည်	k ò ʊ ɴ z ì
ကုန်တင်ကား	k ò ʊ ɴ d ɪ̀ ɴ ɡ á
ကုန်သည်	k ò ʊ ɴ ð è
ကုန်း	k ó ʊ ɴ
ကုန်းနှီး	k ó ʊ ɴ n̥ í
ကုဗ	k ṵ b a̰
ကုမ္ပဏီ	k ò ʊ ɴ p ə n ì
ကုလသမဂ္ဂ	k ṵ l a̰ θ a̰ m ɛ ʔ ɡ a̰
ကုလား	k ə l á
ကုလားထိုင်	k ə l ə tʰ à ɪ ɴ
ကုလားနို့	k ə l ə n o̰
ကုလားပဲ	k ə l ə p ɛ́
ကုလားဖြူ	k ə l ə pʰ j ù
ကုလားအုတ်	k ə l ə ʔ o ʊ ʔ
ကုသိုလ်	k ṵ θ ò
ကုသိုလ်ကံ	k ṵ ð ò ɡ à ɴ
ကုသိုလ်ရှင်	k ṵ θ ò ʃ ɪ̀ ɴ
ကူ	k ù
ကူညီ	k ù ɲ ì
ကူဖီ	k ù pʰ ì
ကူလီ	k ù l ì
ကူဝိတ်	k ù w e ɪ ʔ
ကူး	k ú
ကူးစက်ရောဂါ	k ú z ɛ ʔ j ɔ́ ɡ à
ကူးတို့	ɡ ə d o̰
ကူးတို့ဆိပ်	ɡ ə d o̰ z e ɪ ʔ
ကူးပြောင်း	k ú p j á ʊ ɴ
ကေ	k è
ကေသ	k è θ a̰
ကော	k ɔ́
ကော	ɡ ɔ́
ကောက်	k a ʊ ʔ
ကောက်ညှင်း	k a ʊ ʔ ɲ̊ ɪ́ ɴ
ကောက်ညှင်းပေါင်း	k a ʊ ʔ ɲ̊ ɪ́ ɴ b á ʊ ɴ
ကောက်ရိုး	k a ʊ ʔ j ó
ကောင်	k à ʊ ɴ
ကောင်ငယ်	k à ʊ ɴ ŋ ɛ̀
ကောင်စစ်ဝန်	k à ʊ ɴ s ɪ ʔ w ʊ̀ ɴ
ကောင်စစ်ဝန်ရုံး	k à ʊ ɴ s ɪ ʔ w ʊ̀ ɴ j ó ʊ ɴ
ကောင်စီ	k à ʊ ɴ s ì
ကောင်တာ	k à ʊ ɴ t à
ကောင်မငယ်	k à ʊ ɴ m a̰ ŋ ɛ̀
ကောင်မလေး	k à ʊ ɴ m a̰ l é
ကောင်း	k á ʊ ɴ
ကောင်းကင်	k á ʊ ɴ ɡ ɪ̀ ɴ
ကောင်းကင်ကြိုး	k á ʊ ɴ ɡ ɪ̀ ɴ d͡ʑ ó
ကောင်းကင်တမန်	k á ʊ ɴ ɡ ɪ̀ ɴ t ə m à ɴ
ကောင်းကင်ဘုံ	k á ʊ ɴ ɡ ɪ̀ ɴ b ò ʊ ɴ
ကောင်းကောင်း	k á ʊ ɴ ɡ á ʊ ɴ
ကောလာဟလ	k ɔ́ l à h a̰ l a̰
ကောလိပ်	k ɔ́ l e ɪ ʔ
ကောလိသိန်	k ɔ́ l ḭ θ è ɪ ɴ
ကော့စတာရီကာ	k ɔ̰ s ə t à ɹ ì k à
ကော်	k ɔ̀
ကော်ဇော	k ɔ̀ z ɔ́
ကော်တွန်	k ɔ̀ t ʊ̀ ɴ
ကော်ပီ	k ɔ̀ p ì
ကော်ပီစာအုပ်	k ɔ̀ p ì s à ʔ o ʊ ʔ
ကော်ပြန့်	k ɔ̀ p j a̰ ɴ
ကော်ပြန့်ကြော်	k ɔ̀ p j a̰ ɴ d͡ʑ ɔ̀
ကော်ပြန့်စိမ်း	k ɔ̀ p j a̰ ɴ z é ɪ ɴ
ကော်ဖီ	k ɔ̀ pʰ ì
ကော်မတီ	k ɔ̀ m ə t ì
ကော်ရည်ခေါက်ဆွဲ	k ɔ̀ j ì kʰ a ʊ ʔ sʰ w ɛ́
ကော်လာ	k ɔ̀ l à
ကဲ့	k ɛ̰
ကံ	k à ɴ
ကံကြမ္မာ	k à ɴ t͡ɕ ə m à
ကံသုံးပါး	k à ɴ θ ó ʊ ɴ b á
ကံ့ကူတံ	k a̰ ɴ ɡ ù d à ɴ
က္ယူးဘား	k ə j ú b á
ကျ	t͡ɕ a̰
ကျက်သရေ	t͡ɕ ɛ ʔ θ ə j è
ကျင်ကြီး	t͡ɕ ɪ̀ ɴ d͡ʑ í
ကျင်ချောင်း	t͡ɕ ɪ̀ ɴ t͡ɕʰ á ʊ ɴ
ကျင်စွယ်	t͡ɕ ɪ̀ ɴ z w ɛ̀
ကျဉ်း	t͡ɕ ɪ́ ɴ
ကျဉ်းကျပ်	t͡ɕ ɪ́ ɴ t͡ɕ a ʔ
ကျည်	t͡ɕ ì
ကျည်ကပ်	t͡ɕ ì ɡ a ʔ
ကျည်ဖူး	t͡ɕ ì b ú
ကျနော်	t͡ɕ ə n ɔ̀
ကျန်	t͡ɕ à ɴ
ကျန်း	t͡ɕ á ɴ
ကျန်းမာရေး	t͡ɕ á ɴ m à j é
ကျပ်	t͡ɕ a ʔ
ကျပ်သား	t͡ɕ a ʔ θ á
ကျမ	t͡ɕ ə m a̰
ကျယ်	t͡ɕ ɛ̀
ကျယ်ဝန်း	t͡ɕ ɛ̀ w ʊ́ ɴ
ကျား	t͡ɕ á
ကျားမ	t͡ɕ á m a̰
ကျားသစ်	t͡ɕ ə θ ɪ ʔ
ကျိန္တလီ	t͡ɕ è ɪ ɴ t a̰ l ì
ကျိန်း	t͡ɕ é ɪ ɴ
ကျို	t͡ɕ ò
ကျိုက္ခမီ	t͡ɕ a ɪ ʔ kʰ ə m ì
ကျိုက်ထို	t͡ɕ a ɪ ʔ tʰ ò
ကျိုက်ထီးရိုး	t͡ɕ a ɪ ʔ tʰ í j ó
ကျိုက်မရော	t͡ɕ a ɪ ʔ m ə ɹ ɔ́
ကျိုင်းတုံ	t͡ɕ á ɪ ɴ t ò ʊ ɴ
ကျုပ်	t͡ɕ o ʊ ʔ
ကျုပ်တို့	t͡ɕ o ʊ ʔ t o̰
ကျူးဘား	k j ú b á
ကျော	t͡ɕ ɔ́
ကျောက်	t͡ɕ a ʊ ʔ
ကျောက်ကပ်	t͡ɕ a ʊ ʔ k a ʔ
ကျောက်ဂွမ်း	t͡ɕ a ʊ ʔ ɡ ʊ́ ɴ
ကျောက်စိမ်း	t͡ɕ a ʊ ʔ s é ɪ ɴ
ကျောက်နီ	t͡ɕ a ʊ ʔ n ì
ကျောက်ပွင့်သုပ်	t͡ɕ a ʊ ʔ p w ɪ̰ ɴ θ o ʊ ʔ
ကျောက်ဖရုံ	t͡ɕ a ʊ ʔ pʰ ə j ò ʊ ɴ
ကျောက်ဖြူ	t͡ɕ a ʊ ʔ pʰ j ù
ကျောက်မီး	t͡ɕ a ʊ ʔ m í
ကျောက်မီးသွေး	t͡ɕ a ʊ ʔ m í ð w é
ကျောက်သင်ပုန်း	t͡ɕ a ʊ ʔ θ ɪ̀ ɴ b ó ʊ ɴ
ကျောင်း	t͡ɕ á ʊ ɴ
ကျောင်းသား	t͡ɕ á ʊ ɴ ð á
ကျောင်းသုံးစာအုပ်	t͡ɕ á ʊ ɴ ð ó ʊ ɴ s à ʔ o ʊ ʔ
ကျောင်းသူ	t͡ɕ á ʊ ɴ ð ù
ကျောပိုးအိတ်	t͡ɕ ɔ́ b ó ʔ e ɪ ʔ
ကျောရိုး	t͡ɕ ɔ́ j ó
ကျေးဇူး	t͡ɕ é z ú
ကျေးဇူးတင်	t͡ɕ é z ú t ɪ̀ ɴ
ကျေးဇူးတင်ပါတယ်	t͡ɕ é z ú t ɪ̀ ɴ b à d ɛ̀
ကျေးဇူးပြု၍	t͡ɕ é z ú p j ṵ j w ḛ
ကျေးဇူးရှင်	t͡ɕ é z ú ʃ ɪ̀ ɴ
ကျဲ	t͡ɕ ɛ́
ကျွန်	t͡ɕ ʊ̀ ɴ
ကျွန်တော့်	t͡ɕ ʊ̀ ɴ d ɔ̰
ကျွန်တော်	t͡ɕ ʊ̀ ɴ d ɔ̀
ကျွန်တော်တို့	t͡ɕ ʊ̀ ɴ d ɔ̀ d o̰
ကျွန်မ	t͡ɕ ʊ̀ ɴ m a̰
ကျွန်မတို့	t͡ɕ ʊ̀ ɴ m a̰ d o̰
ကျွန်း	t͡ɕ ʊ́ ɴ
ကျွန်းကလေး	t͡ɕ ʊ́ ɴ ɡ ə l é
ကျွန်းဆွယ်	t͡ɕ ʊ́ ɴ z w ɛ̀
ကျွဲ	t͡ɕ w ɛ́
ကျွဲကော	t͡ɕ w ɛ́ ɡ ɔ́
ကြက်	t͡ɕ ɛ ʔ
ကြက်ခြေ	t͡ɕ ɛ ʔ t͡ɕʰ è
ကြက်ဆင်	t͡ɕ ɛ ʔ sʰ ɪ̀ ɴ
ကြက်ဆီထမင်း	t͡ɕ ɛ ʔ sʰ ì tʰ ə m ɪ́ ɴ
ကြက်ဆူ	t͡ɕ ɛ ʔ sʰ ù
ကြက်တူရွေး	t͡ɕ ɛ ʔ t ù j w é
ကြက်ဖ	t͡ɕ ɛ ʔ pʰ a̰
ကြက်မ	t͡ɕ ɛ ʔ m a̰
ကြက်မောက်	t͡ɕ ɛ ʔ m a ʊ ʔ
ကြက်မောက်သီး	t͡ɕ ɛ ʔ m a ʊ ʔ θ í
ကြက်သား	t͡ɕ ɛ ʔ θ á
ကြက်သွန်	t͡ɕ ɛ ʔ θ ʊ̀ ɴ
ကြက်သွန်နီ	t͡ɕ ɛ ʔ θ ʊ̀ ɴ n ì
ကြက်သွန်ဖြူ	t͡ɕ ɛ ʔ θ ʊ̀ ɴ b j ù
ကြက်သွန်မြိတ်	t͡ɕ ɛ ʔ θ ʊ̀ ɴ m j e ɪ ʔ
ကြက်ဟင်းခါးသီး	t͡ɕ ɛ ʔ h ɪ́ ɴ ɡ á ð í
ကြက်အူချောင်း	t͡ɕ ɛ ʔ ʔ ù d͡ʑ á ʊ ɴ
ကြငှန်း	t͡ɕ ə ŋ̊ á ɴ
ကြဉ်	t͡ɕ ɪ̀ ɴ
ကြည့်	t͡ɕ í
ကြည့်မြင်တိုင်	t͡ɕ ḭ m j ɪ̀ ɴ d à ɪ ɴ
ကြည်	t͡ɕ ì
ကြည်	t͡ɕ ɪ̀ ɴ
ကြည်းတပ်	t͡ɕ í d a ʔ
ကြမ္မာ	t͡ɕ ə m à
ကြမ်း	t͡ɕ á ɴ
ကြယ်	t͡ɕ ɛ̀
ကြယ်စု	t͡ɕ ɛ̀ z ṵ
ကြယ်တံခွန်	t͡ɕ ɛ̀ d ə ɡ ʊ̀ ɴ
ကြယ်သီး	t͡ɕ ɛ̀ θ í
ကြာ	t͡ɕ à
ကြာကြာ	t͡ɕ à d͡ʑ à
ကြာဆံ	t͡ɕ à z à ɴ
ကြာဆံသုပ်	t͡ɕ à z à ɴ θ o ʊ ʔ
ကြာညို့	t͡ɕ à ɲ o̰
ကြာသပတေး	t͡ɕ à θ a̰ p a̰ d é
ကြား	t͡ɕ á
ကြိမ်	t͡ɕ è ɪ ɴ
ကြိယာ	k ə ɹ ḭ j à
ကြိယာဝိသေသန	k ə ɹ ḭ j à w ḭ θ è θ ə n a̰
ကြိုက်	t͡ɕ a ɪ ʔ
ကြိုဆိုပါ၏	t͡ɕ ò z ò b à ʔ ɛ̰
ကြို့	t͡ɕ o̰
ကြိုး	t͡ɕ ó
ကြိုးကြာ	d͡ʑ ó d͡ʑ à
ကြီး	t͡ɕ í
ကြီးကြီး	t͡ɕ í d͡ʑ í
ကြီးမား	t͡ɕ í m á
ကြောက်	t͡ɕ a ʊ ʔ
ကြောင့်	d͡ʑ a̰ ʊ ɴ
ကြောင်	t͡ɕ à ʊ ɴ
ကြောင်ကလေး	t͡ɕ à ʊ ɴ ɡ ə l é
ကြောင်ထီး	t͡ɕ à ʊ ɴ d í
ကြောင်မ	t͡ɕ à ʊ ɴ m a̰
ကြောင်အိမ်	t͡ɕ à ʊ ɴ ʔ è ɪ ɴ
ကြော်	t͡ɕ ɔ̀
ကြော်ငြာ	t͡ɕ ɔ̀ ɲ à
ကြော်ငြာစာ	t͡ɕ ɔ̀ ɲ à z à
ကြေး	t͡ɕ é
ကြေးကြီး	t͡ɕ é t͡ɕ í
ကြေးငွေ	t͡ɕ é ŋ w è
ကြေးစည်	t͡ɕ é z ì
ကြေးနန်း	t͡ɕ é n á ɴ
ကြေးနီ	t͡ɕ é n ì
ကြေးမုံ	t͡ɕ é m ò ʊ ɴ
ကြေးဝါ	t͡ɕ é w à
ကြေးအိုး	t͡ɕ é ʔ ó
ကြံ	t͡ɕ à ɴ
ကြံ့	t͡ɕ a̰ ɴ
ကြံ့လျော်	t͡ɕ a̰ ɴ ʃ ɔ̀
ကြွ	t͡ɕ w a̰
ကြွက်	t͡ɕ w ɛ ʔ
ကြွက်နို့	t͡ɕ w ɛ ʔ n o̰
ကြွက်သား	t͡ɕ w ɛ ʔ θ á
ကြွင်း	t͡ɕ w ɪ́ ɴ
ကြွပ်	t͡ɕ ʊ ʔ
ကြွယ်	t͡ɕ w ɛ̀
ကြွေ	t͡ɕ w è
ကြွေး	t͡ɕ w é
ကွင်း	k w ɪ́ ɴ
ကွင်းထိုးဖိနပ်	ɡ w ɪ́ ɴ d ó pʰ ə n a ʔ
ကွတ်	k ʊ ʔ
ကွန်	k ʊ̀ ɴ
ကွန်ကရစ်	k ʊ̀ ɴ ɡ ə ɹ ɪ ʔ
ကွန်ဂို	k ʊ̀ ɴ ɡ ò
ကွန်ဒုံး	k ʊ̀ ɴ d ó ʊ ɴ
ကွန်ပါ	k ʊ̀ ɴ p à
ကွန်ပျူတာ	k ʊ̀ ɴ p j ù t à
ကွန်ဖရင့်	k ʊ̀ ɴ pʰ ə ɹ ɪ̰ ɴ
ကွန်ဖြူးရှပ်	k ʊ̀ ɴ pʰ j ú ʃ a ʔ
ကွန်ရက်	k ʊ̀ ɴ j ɛ ʔ
ကွမ်ရင်	k w à ɴ j ɪ̀ ɴ
ကွမ်ရင်မယ်တော်	k w à ɴ j ɪ̀ ɴ m ɛ̀ d ɔ̀
ကွမ်းတောင်	k ʊ́ ɴ d à ʊ ɴ
ကွမ်းမွှေး	k ʊ́ ɴ m̥ w é
ကွမ်းယာ	k ʊ́ ɴ j à
ကွမ်းရွက်ပင်	k ʊ́ ɴ j w ɛ ʔ p ɪ̀ ɴ
ကွယ်လွန်	k w ɛ̀ l ʊ̀ ɴ
ကွာလာလမ်ပူ	k w à l à l à ɴ p ù
ကွဲ	k w ɛ́
ခ	kʰ a̰
ခက်	kʰ ɛ ʔ
ခက်ရင်း	kʰ ə j ɪ́ ɴ
ခကွေး	kʰ a̰ ɡ w é
ခင်	kʰ ɪ̀ ɴ
ခင်ပွန်း	kʰ ɪ̀ ɴ b ʊ́ ɴ
ခင်ဗျာ	kʰ ə m j à
ခင်ဗျာ့	kʰ ɪ̀ ɴ b j a̰
ခင်ဗျား	kʰ ɪ̀ ɴ b j á
ခင်ဗျားတို့	kʰ ɪ̀ ɴ b j á d o̰
ခင်မင်မှု	kʰ ɪ̀ ɴ m ɪ̀ ɴ m̥ ṵ
ခဏ	kʰ ə n a̰
ခဏခဏ	kʰ ə n a̰ ɡ ə n a̰
ခတ္တိယ	kʰ a ʔ t ḭ j a̰
ခနုံထုပ်	kʰ a̰ n ò ʊ ɴ d o ʊ ʔ
ခန္တီ	kʰ à ɴ t ì
ခန္ဓာ	kʰ à ɴ d à
ခန္ဓာငါးပါး	kʰ à ɴ d à ŋ á b á
ခန္ဓာဗေဒ	kʰ à ɴ d à b è d a̰
ခန်တမာ	kʰ à ɴ t ə m à
ခန်း	kʰ á ɴ
ခမည်းတော်	kʰ ə m í d ɔ̀
ခမာ	kʰ ə m à
ခမောက်	kʰ ə m a ʊ ʔ
ခယ်မ	kʰ ɛ̀ m a̰
ခရင်း	kʰ ə j ɪ́ ɴ
ခရစ္စမတ်	kʰ ə ɹ ɪ ʔ s ə m a ʔ
ခရစ်	kʰ ə ɹ ɪ ʔ
ခရစ်တော်	kʰ ə ɹ ɪ ʔ t ɔ̀
ခရစ်ယာန်	kʰ ə ɹ ɪ ʔ j à n
ခရမ်း	kʰ ə j á ɴ
ခရမ်းချဉ်	kʰ ə j á ɴ d͡ʑ ɪ̀ ɴ
ခရမ်းသီး	kʰ ə j á ɴ θ í
ခရိုင်	kʰ ə j à ɪ ɴ
ခရိုမီယမ်	kʰ ə ɹ ò m ì j à ɴ
ခရိုအေးရှား	kʰ ə ɹ ò ʔ é ʃ á
ခရီး	kʰ ə j í
ခရီးသည်	kʰ ə j í ð è
ခရု	kʰ ə j ṵ
ခရုပက်ကျိ	kʰ ə j ṵ p ɛ ʔ t͡ɕ ḭ
ခလုတ်	kʰ ə l o ʊ ʔ
ခလုတ်ခုံ	kʰ ə l o ʊ ʔ kʰ ò ʊ ɴ
ခါ	kʰ à
ခါး	kʰ á
ခါးပတ်	ɡ ə b a ʔ
ခိုး	kʰ ó
ခု	kʰ ṵ
ခုခံအားကျရောဂါ	kʰ ṵ ɡ à ɴ ʔ á t͡ɕ a̰ j ɔ́ ɡ à
ခုနစ်	kʰ ʊ̀ ɴ n̥ ɪ ʔ
ခုန်	kʰ ò ʊ ɴ
ခုံတန်းလျား	kʰ ò ʊ ɴ t á ɴ j á
ခုံရှည်	kʰ ò ʊ ɴ ʃ è
ခေတ္တ	kʰ ɪ ʔ t a̰
ခေတ်	kʰ ɪ ʔ
ခေါက်ဆွဲ	kʰ a ʊ ʔ sʰ w ɛ́
ခေါက်ဆွဲဆိုင်	kʰ a ʊ ʔ sʰ w ɛ́ z à ɪ ɴ
ခေါက်ဆွဲသုပ်	kʰ a ʊ ʔ sʰ w ɛ́ θ o ʊ ʔ
ခေါင်း	ɡ á ʊ ɴ
ခေါင်း	kʰ á ʊ ɴ
ခေါင်းဆောင်	ɡ á ʊ ɴ sʰ à ʊ ɴ
ခေါင်းဆောင်	ɡ á ʊ ɴ z à ʊ ɴ
ခေါင်းပေါင်း	ɡ á ʊ ɴ b á ʊ ɴ
ခေါင်းလောင်း	kʰ á ʊ ɴ l á ʊ ɴ
ခေါင်းလျှော်ရည်	ɡ á ʊ ɴ ʃ ɔ̀ j è
ခေါင်းအုံး	ɡ á ʊ ɴ ʔ ó ʊ ɴ
ခေါပုတ်	kʰ ɔ́ b o ʊ ʔ
ခေါပျဉ်	kʰ ɔ́ b j ɪ̀ ɴ
ခေါ်	kʰ ɔ̀
ခဲ	kʰ ɛ́
ခဲတံ	kʰ ɛ́ d à ɴ
ခဲဖျက်	kʰ ɛ́ b j ɛ ʔ
ခဲယဉ်း	kʰ ɛ́ j ɪ́ ɴ
ခဲအို	kʰ ɛ́ ʔ ò
ခဲ့	kʰ ɛ̰
ခဲ့	ɡ ɛ̰
ခံ	kʰ à ɴ
ခံစား	kʰ à ɴ z á
ခံယူချက်	kʰ à ɴ j ù d͡ʑ ɛ ʔ
ခ္ယီလီ	t͡ɕʰ ì l ì
ချက်	t͡ɕʰ ɛ ʔ
ချက်ကြိုး	t͡ɕʰ ɛ ʔ t͡ɕ ó
ချက်သမ္မတ	t͡ɕʰ ɛ ʔ θ ə m ə d a̰
ချင်	t͡ɕʰ ɪ̀ ɴ
ချင်း	d͡ʑ ɪ́ ɴ
ချင်း	t͡ɕʰ ɪ́ ɴ
ချင်းမိုင်	t͡ɕʰ ɪ́ ɴ m à ɪ ɴ
ချင်းသုပ်	d͡ʑ ɪ́ ɴ ð o ʊ ʔ
ချစ်	t͡ɕʰ ɪ ʔ
ချစ်ခင်	t͡ɕʰ ɪ ʔ kʰ ɪ̀ ɴ
ချစ်တီး	t͡ɕʰ ɪ ʔ t í
ချစ်သူ	t͡ɕʰ ɪ ʔ θ ù
ချဉ်	t͡ɕʰ ɪ̀ ɴ
ချဉ်ပေါင်	t͡ɕʰ ɪ̀ ɴ b à ʊ ɴ
ချည်	t͡ɕʰ ì
ချည်လုံး	t͡ɕʰ ì l ó ʊ ɴ
ချဒ်	t͡ɕʰ à d
ချပါတီ	t͡ɕʰ ə p à t ì
ချပ်	d͡ʑ a ʔ
ချမ်း	t͡ɕʰ á ɴ
ချယ်ရီ	t͡ɕʰ ɛ̀ ɹ ì
ချာတိတ်	t͡ɕʰ à t e ɪ ʔ
ချားလ်	t͡ɕʰ á l
ချို	d͡ʑ ò
ချို	t͡ɕʰ ò
ချိုချဉ်	t͡ɕʰ ò t͡ɕʰ ɪ̀ ɴ
ချိုး	t͡ɕʰ ó
ချုပ်	t͡ɕʰ o ʊ ʔ
ချူးအင်းဂမ်း	t͡ɕʰ ú ʔ ɪ́ ɴ ɡ á ɴ
ချေ	t͡ɕʰ è
ချေ	t͡ɕʰ ì
ချေ	d͡ʑ ì
ချေ	t͡ɕʰ è
ချေ	d͡ʑ è
ချော	t͡ɕʰ ɔ́
