єва	j ɛ u̯ ɐ
абонент	ɐ b ɔ n ɛ n t
абонентка	ɐ b ɔ n ɛ n t k ɐ
абонування	ɐ b ɔ n ʊ u̯ ɑ nʲː ɐ
абордаж	ɐ b ɔ r d ɑ ʒ
абориген	ɐ b ɔ r e ɦ ɛ n
аборигенка	ɐ b ɔ r e ɦ ɛ n k ɐ
аборт	ɐ b ɔ r t
абортування	ɐ b ɔ r t ʊ u̯ ɑ nʲː ɐ
абразія	ɐ b r ɑ zʲ i j ɐ
абразив	ɐ b r ɐ z ɪ u̯
абразивність	ɐ b r ɐ z ɪ u̯ nʲ i sʲ tʲ
абракадабра	ɐ b r ɐ k ɐ d ɑ b r ɐ
абракадабризм	ɐ b r ɐ k ɐ d ɐ b r ɪ z m
абревіація	ɐ b r e u̯ʲ i ɑ t͡sʲ i j ɐ
абреже	ɐ b r e ʒ ɛ
абрек	ɐ b r ɛ k
абрикос	ɐ b r e k ɔ s
абрикосівка	ɐ b r e k ɔ sʲ i u̯ k ɐ
абрикоса	ɐ b r e k ɔ s ɐ
абрикосник	ɐ b r e k ɔ s n e k
абрикотин	ɐ b r e k ɔ t ɪ n
абрис	ɑ b r e s
аброгація	ɐ b r ɔ ɦ ɑ t͡sʲ i j ɐ
абруптив	ɐ b r ʊ p t ɪ u̯
абсанс	ɐ b s ɑ n s
абсент	ɐ b s ɛ n t
абсентеїзм	ɐ b s e n t e j i z m
абсида	ɐ b s ɪ d ɐ
абсолют	ɐ b s o lʲ u t
абсолютизація	ɐ b s ɔ lʲ ʊ t e z ɑ t͡sʲ i j ɐ
абсолютизм	ɐ b s ɔ lʲ ʊ t ɪ z m
абсолютизування	ɐ b s ɔ lʲ ʊ t e z ʊ u̯ ɑ nʲː ɐ
абсолютист	ɐ b s ɔ lʲ ʊ t ɪ s t
абсолютистка	ɐ b s ɔ lʲ ʊ t ɪ s t k ɐ
абсолютність	ɐ b s o lʲ u tʲ nʲ i sʲ tʲ
абсолюція	ɐ b s o lʲ u t͡sʲ i j ɐ
абсорбент	ɐ b s ɔ r b ɛ n t
абсорбер	ɐ b s ɔ r b e r
абсорбування	ɐ b s ɔ r b ʊ u̯ ɑ nʲː ɐ
абсорбціометр	ɐ b s ɔ r b t͡sʲ i ɔ m e t r
абсорбція	ɐ b s ɔ r b t͡sʲ i j ɐ
абстинент	ɐ b s t e n ɛ n t
абстинентка	ɐ b s t e n ɛ n t k ɐ
абстиненція	ɐ b s t e n ɛ nʲ t͡sʲ i j ɐ
абстрагованість	ɐ b s t r ɐ ɦ ɔ u̯ ɐ nʲ i sʲ tʲ
абстрагування	ɐ b s t r ɐ ɦ ʊ u̯ ɑ nʲː ɐ
абстракт	ɐ b s t r ɑ k t
абстрактність	ɐ b s t r ɑ k tʲ nʲ i sʲ tʲ
абстракціонізм	ɐ b s t r ɐ k t͡sʲ i o nʲ i z m
абстракціоніст	ɐ b s t r ɐ k t͡sʲ i o nʲ i s t
абстракціоністка	ɐ b s t r ɐ k t͡sʲ i o nʲ i s t k ɐ
абстракція	ɐ b s t r ɑ k t͡sʲ i j ɐ
абсурд	ɐ b s u r d
абсурдизм	ɐ b s ʊ r d ɪ z m
абсурдист	ɐ b s ʊ r d ɪ s t
абсурдистка	ɐ b s ʊ r d ɪ s t k ɐ
абсурдність	ɐ b s u r dʲ nʲ i sʲ tʲ
абсцес	ɐ b s t͡s ɛ s
абсциса	ɐ b s t͡s ɪ s ɐ
абузус	ɐ b u z ʊ s
абулія	ɐ b ʊ lʲ i j ɐ
абхаз	ɐ b x ɑ z
абхазець	ɐ b x ɑ z e t͡sʲ
абхазка	ɐ b x ɑ z k ɐ
абшит	ɐ b ʃ ɪ t
авієтка	ɐ u̯ʲ i j ɛ t k ɐ
авіабілет	ɐ u̯ʲ i ɐ bʲ i l ɛ t
авіабаза	ɐ u̯ʲ i ɐ b ɑ z ɐ
авіабензин	ɐ u̯ʲ i ɐ b e n z ɪ n
авіабомба	ɐ u̯ʲ i ɐ b ɔ m b ɐ
авіабудівник	ɐ u̯ʲ i ɐ b ʊ dʲ i u̯ n ɪ k
авіабудівництво	ɐ u̯ʲ i ɐ b ʊ dʲ i u̯ n ɪ t͡s t w ɔ
авіабудування	ɐ u̯ʲ i ɐ b ʊ d ʊ u̯ ɑ nʲː ɐ
авіавдар	ɐ u̯ʲ i ɐ u̯ d ɑ r
авіавиставка	ɐ u̯ʲ i ɐ u̯ ɪ s t ɐ u̯ k ɐ
авіагармата	ɐ u̯ʲ i ɐ ɦ ɐ r m ɑ t ɐ
авіагоризонт	ɐ u̯ʲ i ɐ ɦ ɔ r e z ɔ n t
авіагосподарство	ɐ u̯ʲ i ɐ ɦ ɔ s p ɔ d ɑ r s t w ɔ
авіадвигун	ɐ u̯ʲ i ɐ d ʋ e ɦ u n
авіадесант	ɐ u̯ʲ i ɐ d e s ɑ n t
авіадесантник	ɐ u̯ʲ i ɐ d e s ɑ n t n e k
авіадесантування	ɐ u̯ʲ i ɐ d e s ɐ n t ʊ u̯ ɑ nʲː ɐ
авіадивізія	ɐ u̯ʲ i ɐ d e u̯ʲ i zʲ i j ɐ
авіадиспетчер	ɐ u̯ʲ i ɐ d e s p ɛ t͡ʃː e r
авіаекспрес	ɐ u̯ʲ i ɐ e k s p r ɛ s
авіаескадрилья	ɐ u̯ʲ i ɐ e s k ɐ d r ɪ lʲ j ɐ
авіаз'єднання	ɐ u̯ʲ i ɐ z j ɛ d n ɐ nʲː ɐ
авіазавод	ɐ u̯ʲ i ɐ z ɐ u̯ ɔ d
авіазагін	ɐ u̯ʲ i ɐ z ɐ ɦʲ i n
авіазасіб	ɐ u̯ʲ i ɐ z ɑ sʲ i b
авіазв'язок	ɐ u̯ʲ i ɐ z ʋ j ɐ z ɔ k
авіакаса	ɐ u̯ʲ i ɐ k ɑ s ɐ
авіакатастрофа	ɐ u̯ʲ i ɐ k ɐ t ɐ s t r ɔ f ɐ
авіаквиток	ɐ u̯ʲ i ɐ k ʋ e t ɔ k
авіаклуб	ɐ u̯ʲ i ɐ k l u b
авіаколедж	ɐ u̯ʲ i ɐ k ɔ l e d͡ʒ
авіакомпанія	ɐ u̯ʲ i ɐ k ɔ m p ɑ nʲ i j ɐ
авіакомплекс	ɐ u̯ʲ i ɐ k ɔ m p l e k s
авіаконструктор	ɐ u̯ʲ i ɐ k o n s t r u k t ɔ r
авіаконструювання	ɐ u̯ʲ i ɐ k ɔ n s t r ʊ j ʊ u̯ ɑ nʲː ɐ
авіалінія	ɐ u̯ʲ i ɐ lʲ i nʲ i j ɐ
авіалайнер	ɐ u̯ʲ i ɐ l ɑ i̯ n e r
авіаль	ɐ u̯ʲ i ɑ lʲ
авіамайстерня	ɐ u̯ʲ i ɐ m ɐ i̯ s t ɛ r nʲ ɐ
авіаматка	ɐ u̯ʲ i ɐ m ɑ t k ɐ
авіамаяк	ɐ u̯ʲ i ɐ m ɐ j ɑ k
авіаметеослужба	ɐ u̯ʲ i ɐ m e t e o s l u ʒ b ɐ
авіаметеостанція	ɐ u̯ʲ i ɐ m e t e ɔ s t ɑ nʲ t͡sʲ i j ɐ
авіамеханік	ɐ u̯ʲ i ɐ m e x ɑ nʲ i k
авіамоделізм	ɐ u̯ʲ i ɐ m ɔ d e lʲ i z m
авіамоделіст	ɐ u̯ʲ i ɐ m ɔ d e lʲ i s t
авіамодель	ɐ u̯ʲ i ɐ m ɔ d ɛ lʲ
авіамотор	ɐ u̯ʲ i ɐ m ɔ t ɔ r
авіамоторобудування	ɐ u̯ʲ i ɐ m ɔ t ɔ r ɔ b ʊ d ʊ u̯ ɑ nʲː ɐ
авіаносець	ɐ u̯ʲ i ɐ n ɔ s e t͡sʲ
авіаобприскування	ɐ u̯ʲ i ɐ ɔ b p r ɪ s k ʊ u̯ ɐ nʲː ɐ
авіаобприскувач	ɐ u̯ʲ i ɐ ɔ b p r ɪ s k ʊ u̯ ɐ t͡ʃ
авіаобробка	ɐ u̯ʲ i ɐ ɔ b r ɔ b k ɐ
авіапідживлення	ɐ u̯ʲ i ɐ pʲ i d͡ʒ ɪ u̯ l e nʲː ɐ
авіапідприємство	ɐ u̯ʲ i ɐ pʲ i d p r e j ɛ m s t w ɔ
авіапарк	ɐ u̯ʲ i ɐ p ɑ r k
авіапасажир	ɐ u̯ʲ i ɐ p ɐ s ɐ ʒ ɪ r
авіапатруль	ɐ u̯ʲ i ɐ p ɐ t r u lʲ
авіапатрулювання	ɐ u̯ʲ i ɐ p ɐ t r ʊ lʲ ʊ u̯ ɑ nʲː ɐ
авіаперевізник	ɐ u̯ʲ i ɐ p e r e u̯ʲ i z n e k
авіаперевезення	ɐ u̯ʲ i ɐ p e r e u̯ ɛ z e nʲː ɐ
авіапереліт	ɐ u̯ʲ i ɐ p e r e lʲ i t
авіаподорож	ɐ u̯ʲ i ɐ p ɔ d ɔ r ɔ ʒ
авіаполіт	ɐ u̯ʲ i ɐ p o lʲ i t
авіаполк	ɐ u̯ʲ i ɐ p ɔ l k
авіапорт	ɐ u̯ʲ i ɐ p ɔ r t
авіапошта	ɐ u̯ʲ i ɐ p ɔ ʃ t ɐ
авіапромисловість	ɐ u̯ʲ i ɐ p r ɔ m e s l ɔ u̯ʲ i sʲ tʲ
авіаракетобудування	ɐ u̯ʲ i ɐ r ɐ k e t ɔ b ʊ d ʊ u̯ ɑ nʲː ɐ
авіарейд	ɐ u̯ʲ i ɐ r ɛ i̯ d
авіарейс	ɐ u̯ʲ i ɐ r ɛ i̯ s
авіарозвідка	ɐ u̯ʲ i ɐ r ɔ zʲ ʋʲ i d k ɐ
авіарозвідування	ɐ u̯ʲ i ɐ r ɔ zʲ ʋʲ i d ʊ u̯ ɐ nʲː ɐ
авіасалон	ɐ u̯ʲ i ɐ s ɐ l ɔ n
авіасекстант	ɐ u̯ʲ i ɐ s e k s t ɑ n t
авіасервіс	ɐ u̯ʲ i ɐ s ɛ r ʋʲ i s
авіасполучення	ɐ u̯ʲ i ɐ s p o l u t͡ʃ e nʲː ɐ
авіаспорт	ɐ u̯ʲ i ɐ s p ɔ r t
авіатехнік	ɐ u̯ʲ i ɐ t ɛ x nʲ i k
авіатехніка	ɐ u̯ʲ i ɐ t ɛ x nʲ i k ɐ
авіатика	ɐ u̯ʲ i ɑ t e k ɐ
авіатор	ɐ u̯ʲ i ɑ t ɔ r
авіаторпеда	ɐ u̯ʲ i ɐ t ɔ r p ɛ d ɐ
авіатравма	ɐ u̯ʲ i ɐ t r ɑ u̯ m ɐ
авіатранспорт	ɐ u̯ʲ i ɐ t r ɑ n s p ɔ r t
авіатраса	ɐ u̯ʲ i ɐ t r ɑ s ɐ
авіаудар	ɐ u̯ʲ i ɐ ʊ d ɑ r
авіаучилище	ɐ u̯ʲ i ɐ ʊ t͡ʃ ɪ l e ʃ t͡ʃ e
авіафауна	ɐ u̯ʲ i ɐ f ɑ ʊ n ɐ
авіафахівець	ɐ u̯ʲ i ɐ f ɐ xʲ i u̯ ɛ t͡sʲ
авіахім	ɐ u̯ʲ i ɐ xʲ i m
авіахімовець	ɐ u̯ʲ i ɐ xʲ i m ɔ u̯ e t͡sʲ
авіаційник	ɐ u̯ʲ i ɐ t͡sʲ i i̯ n e k
авіація	ɐ u̯ʲ i ɑ t͡sʲ i j ɐ
авіачастина	ɐ u̯ʲ i ɐ t͡ʃ ɐ s t ɪ n ɐ
авіашкола	ɐ u̯ʲ i ɐ ʃ k ɔ l ɐ
авіашоу	ɐ u̯ʲ i ɐ ʃ ɔ ʊ
авіз	ɐ u̯ʲ i z
авізо	ɐ u̯ʲ i z ɔ
авізування	ɐ u̯ʲ i z ʊ u̯ ɑ nʲː ɐ
авіста	ɐ u̯ʲ i s t ɐ
авітаміноз	ɐ u̯ʲ i t ɐ mʲ i n ɔ z
авіфауна	ɐ u̯ʲ i f ɑ ʊ n ɐ
аваліст	ɐ u̯ ɐ lʲ i s t
аваль	ɐ u̯ ɑ lʲ
авангард	ɐ u̯ ɐ n ɦ ɑ r d
авангардизм	ɐ u̯ ɐ n ɦ ɐ r d ɪ z m
авангардист	ɐ u̯ ɐ n ɦ ɐ r d ɪ s t
аванзал	ɐ u̯ ɐ n z ɑ l
аванкамера	ɐ u̯ ɐ n k ɑ m e r ɐ
аванложа	ɐ u̯ ɐ n l ɔ ʒ ɐ
аванпорт	ɐ u̯ ɐ n p ɔ r t
аванпост	ɐ u̯ ɐ n p ɔ s t
аванс	ɐ u̯ ɑ n s
авансик	ɐ u̯ ɑ n s e k
авансодавець	ɐ u̯ ɐ n s ɔ d ɑ u̯ e t͡sʲ
авансотримач	ɐ u̯ ɐ n s ɔ t r e m ɑ t͡ʃ
авансоутримувач	ɐ u̯ ɐ n s ɔ ʊ t r ɪ m ʊ u̯ ɐ t͡ʃ
авансування	ɐ u̯ ɐ n s ʊ u̯ ɑ nʲː ɐ
авансцена	ɐ u̯ ɐ n s t͡s ɛ n ɐ
авантитул	ɐ u̯ ɐ n t ɪ t ʊ l
авантура	ɐ u̯ ɐ n t u r ɐ
авантурник	ɐ u̯ ɐ n t u r n e k
авантурниця	ɐ u̯ ɐ n t u r n e t͡sʲ ɐ
авантюра	ɐ u̯ ɐ nʲ tʲ u r ɐ
авантюризм	ɐ u̯ ɐ nʲ tʲ ʊ r ɪ z m
авантюрин	ɐ u̯ ɐ nʲ tʲ ʊ r ɪ n
авантюрин	ɐ u̯ ɐ nʲ tʲ ʊ r ɪ n
авантюрист	ɐ u̯ ɐ nʲ tʲ ʊ r ɪ s t
авантюристка	ɐ u̯ ɐ nʲ tʲ ʊ r ɪ s t k ɐ
авантюрність	ɐ u̯ ɐ nʲ tʲ u r nʲ i sʲ tʲ
авантюрник	ɐ u̯ ɐ nʲ tʲ u r n e k
авантюрниця	ɐ u̯ ɐ nʲ tʲ u r n e t͡sʲ ɐ
авар	ɐ u̯ ɑ r
аварійність	ɐ u̯ ɐ rʲ i i̯ nʲ i sʲ tʲ
аварійник	ɐ u̯ ɐ rʲ i i̯ n e k
аварія	ɐ u̯ ɑ rʲ i j ɐ
аварець	ɐ u̯ ɑ r e t͡sʲ
аварка	ɐ u̯ ɑ r k ɐ
авгіт	ɐ u̯ ɦʲ i t
авгур	ɐ u̯ ɦ u r
август	ɑ u̯ ɦ ʊ s t
августа	ɐ u̯ ɦ u s t ɐ
авдитор	ɐ u̯ d ɪ t ɔ r
авдиторія	ɐ u̯ d e t ɔ rʲ i j ɐ
авеню	ɐ u̯ e nʲ u
аверс	ɑ u̯ e r s
авлос	ɐ u̯ l ɔ s
аво	ɑ u̯ ɔ
авокадо	ɐ u̯ ɔ k ɑ d ɔ
аврал	ɐ u̯ r ɑ l
авран	ɐ u̯ r ɑ n
аврикула	ɐ u̯ r ɪ k ʊ l ɐ
аврора	ɐ u̯ r ɔ r ɐ
австрієць	ɐ u̯ s tʲ rʲ i j e t͡sʲ
австрійка	ɐ u̯ s tʲ rʲ i i̯ k ɐ
австріяк	ɐ u̯ s tʲ rʲ i j ɑ k
австріячка	ɐ u̯ s tʲ rʲ i j ɑ t͡ʃ k ɐ
австралієць	ɐ u̯ s t r ɐ lʲ i j e t͡sʲ
австралійка	ɐ u̯ s t r ɐ lʲ i i̯ k ɐ
австралоїд	ɐ u̯ s t r ɐ l ɔ j i d
австралопітек	ɐ u̯ s t r ɐ l ɔ pʲ i t ɛ k
австромарксист	ɐ u̯ s t r ɔ m ɐ r k s ɪ s t
австрофіл	ɐ u̯ s t r o fʲ i l
автаркізм	ɐ u̯ t ɐ r kʲ i z m
автаркія	ɐ u̯ t ɑ r kʲ i j ɐ
автентика	ɐ u̯ t ɛ n t e k ɐ
автентифікація	ɐ u̯ t e n t e fʲ i k ɑ t͡sʲ i j ɐ
автентичність	ɐ u̯ t e n t ɪ t͡ʃ nʲ i sʲ tʲ
авто	ɐ u̯ t ɔ
автоаерозапчастина	ɐ u̯ t ɔ ɐ e r ɔ z ɐ p t͡ʃ ɐ s t ɪ n ɐ
автоалієнація	ɐ u̯ t ɔ ɐ lʲ i j e n ɑ t͡sʲ i j ɐ
автоаматор	ɐ u̯ t ɔ ɐ m ɑ t ɔ r
автоаматорка	ɐ u̯ t ɔ ɐ m ɑ t ɔ r k ɐ
автоамфібія	ɐ u̯ t ɔ ɐ m fʲ i bʲ i j ɐ
автоапологія	ɐ u̯ t ɔ ɐ p ɔ l ɔ ɦʲ i j ɐ
автобіограф	ɐ u̯ t ɔ bʲ i ɔ ɦ r ɐ f
автобіографічність	ɐ u̯ t ɔ bʲ i ɔ ɦ r ɐ fʲ i t͡ʃ nʲ i sʲ tʲ
автобіографія	ɐ u̯ t ɔ bʲ i ɔ ɦ r ɑ fʲ i j ɐ
автобаза	ɐ u̯ t ɔ b ɑ z ɐ
автобальзам	ɐ u̯ t ɔ b ɐ lʲ z ɑ m
автобан	ɐ u̯ t ɔ b ɑ n
автобатальйон	ɐ u̯ t ɔ b ɐ t ɐ lʲ j ɔ n
автобензовоз	ɐ u̯ t ɔ b e n z ɔ u̯ ɔ z
автобензоцистерна	ɐ u̯ t ɔ b e n z ɔ t͡s e s t ɛ r n ɐ
автобетономішалка	ɐ u̯ t ɔ b e t ɔ n ɔ mʲ i ʃ ɑ l k ɐ
автоблокування	ɐ u̯ t ɔ b l ɔ k ʊ u̯ ɑ nʲː ɐ
автобудівник	ɐ u̯ t ɔ b ʊ dʲ i u̯ n ɪ k
автобудування	ɐ u̯ t ɔ b ʊ d ʊ u̯ ɑ nʲː ɐ
автобус	ɐ u̯ t ɔ b ʊ s
автобусик	ɐ u̯ t ɔ b ʊ s e k
автовідповідач	ɐ u̯ t ɔ u̯ʲ i d p ɔ u̯ʲ i d ɑ t͡ʃ
автовізок	ɐ u̯ t ɔ u̯ʲ i z ɔ k
автовага	ɐ u̯ t ɔ u̯ ɐ ɦ ɑ
автовагон	ɐ u̯ t ɔ u̯ ɐ ɦ ɔ n
автовакцина	ɐ u̯ t ɔ u̯ ɐ k t͡s ɪ n ɐ
автовантажник	ɐ u̯ t ɔ u̯ ɐ n t ɑ ʒ n e k
автовеломотогонки	ɐ u̯ t ɔ u̯ e l ɔ m ɔ t ɔ ɦ ɔ n k e
автовиробник	ɐ u̯ t ɔ u̯ e r ɔ b n ɪ k
автовласник	ɐ u̯ t ɔ u̯ l ɑ s n e k
автоводій	ɐ u̯ t ɔ u̯ o dʲ i i̯
автоводоцистерна	ɐ u̯ t ɔ u̯ ɔ d ɔ t͡s e s t ɛ r n ɐ
автовокзал	ɐ u̯ t ɔ u̯ ɔ ɡ z ɑ l
автогальмо	ɐ u̯ t ɔ ɦ ɐ lʲ m ɔ
автогараж	ɐ u̯ t ɔ ɦ ɐ r ɑ ʒ
автогемотерапія	ɐ u̯ t ɔ ɦ e m ɔ t e r ɐ pʲ i j ɐ
автоген	ɐ u̯ t ɔ ɦ ɛ n
автогенез	ɐ u̯ t ɔ ɦ e n ɛ z
автогенник	ɐ u̯ t ɔ ɦ ɛ nː e k
автомобіль	ɐ u̯ t ɔ m o bʲ i lʲ
автор	ɑ u̯ t ɔ r
агава	ɐ ɦ ɑ u̯ ɐ
ад'ютант	ɐ d j ʊ t ɑ n t
адміністрація	ɐ dʲ mʲ i nʲ i s t r ɑ t͡sʲ i j ɐ
аеродром	ɐ e r ɔ d r ɔ m
аероліт	ɐ e r o lʲ i t
аеропорт	ɐ e r ɔ p ɔ r t
азбука	ɑ z b ʊ k ɐ
академія	ɐ k ɐ d ɛ mʲ i j ɐ
акація	ɐ k ɑ t͡sʲ i j ɐ
акваріум	ɐ k ʋ ɑ rʲ i ʊ m
акт	ɑ k t
акула	ɐ k u l ɐ
акція	ɑ k t͡sʲ i j ɐ
але	ɐ l ɛ
алфавіт	ɐ l f ɐ u̯ʲ i t
алфавіт	ɐ l f ɑ u̯ʲ i t
альбатрос	ɐ lʲ b ɐ t r ɔ s
альфабет	ɐ lʲ f ɐ b ɛ t
америка	ɐ m ɛ r e k ɐ
американізація	ɐ m e r e k ɐ nʲ i z ɑ t͡sʲ i j ɐ
американізм	ɐ m e r e k ɐ nʲ i z m
американець	ɐ m e r e k ɑ n e t͡sʲ
американка	ɐ m e r e k ɑ n k ɐ
американський	ɐ m e r e k ɑ nʲ sʲ k e i̯
аналіз	ɐ n ɑ lʲ i z
анастасія	ɐ n ɐ s t ɑ sʲ i j ɐ
ангеліна	ɐ n ɦ e lʲ i n ɐ
англієць	ɐ n ɦ lʲ i j e t͡sʲ
англійка	ɐ n ɦ lʲ i i̯ k ɐ
англійський	ɐ n ɦ lʲ i i̯ sʲ k e i̯
англіканство	ɐ n ɦ lʲ i k ɑ n s t w ɔ
англіцизм	ɐ n ɦ lʲ i t͡s ɪ z m
англія	ɑ n ɦ lʲ i j ɐ
анекдот	ɐ n e ɡ d ɔ t
анна	ɑ nː ɐ
антарктичний	ɐ n t ɐ r k t ɪ t͡ʃ n e i̯
апостроф	ɐ p ɔ s t r ɔ f
апостроф	ɐ p ɔ s t r ɔ f
арктичний	ɐ r k t ɪ t͡ʃ n e i̯
армія	ɑ r mʲ i j ɐ
арфіст	ɐ r fʲ i s t
арфістка	ɐ r fʲ i s t k ɐ
арфа	ɑ r f ɐ
арфуш	ɐ r f u ʃ
архаїзація	ɐ r x ɐ j i z ɑ t͡sʲ i j ɐ
архаїзм	ɐ r x ɐ j i z m
архонт	ɐ r x ɔ n t
асія	ɐ sʲ i j ɐ
асиміляція	ɐ s e mʲ i lʲ ɑ t͡sʲ i j ɐ
асимптота	ɐ s e m p t ɔ t ɐ
асистент	ɐ s e s t ɛ n t
асистентка	ɐ s e s t ɛ n t k ɐ
аскет	ɐ s k ɛ t
аскетизм	ɐ s k e t ɪ z m
асоціація	ɐ s ɔ t͡sʲ i ɑ t͡sʲ i j ɐ
атлантичний	ɐ t l ɐ n t ɪ t͡ʃ n e i̯
аґрус	ɑ ɡ r ʊ s
аґрусівка	ɐ ɡ r ʊ sʲ i u̯ k ɐ
бібліоманія	bʲ i b lʲ i ɔ m ɑ nʲ i j ɐ
бібліотека	bʲ i b lʲ i ɔ t ɛ k ɐ
бібліотекар	bʲ i b lʲ i ɔ t ɛ k ɐ r
бібліотекарка	bʲ i b lʲ i ɔ t ɛ k ɐ r k ɐ
бібліофіл	bʲ i b lʲ i o fʲ i l
біблія	bʲ i b lʲ i j ɐ
біда	bʲ i d ɑ
бізнес	bʲ i z n e s
бік	bʲ i k
білий	bʲ i l e i̯
білка	bʲ i l k ɐ
білорусь	bʲ i l o r u sʲ
біль	bʲ i lʲ
більшість	bʲ i lʲ ʃʲ i sʲ tʲ
біологія	bʲ i ɔ l ɔ ɦʲ i j ɐ
біомаса	bʲ i ɔ m ɑ s ɐ
біоматеріал	bʲ i ɔ m ɐ t e rʲ i ɑ l
біомедицина	bʲ i ɔ m e d e t͡s ɪ n ɐ
біометрія	bʲ i ɔ m ɛ tʲ rʲ i j ɐ
біомеханіка	bʲ i ɔ m e x ɑ nʲ i k ɐ
біомолекула	bʲ i ɔ m ɔ l ɛ k ʊ l ɐ
бабка	b ɑ b k ɐ
бабуся	b ɐ b u sʲ ɐ
багато	b ɐ ɦ ɑ t ɔ
багатоповерховий	b ɐ ɦ ɐ t ɔ p ɔ u̯ e r x ɔ u̯ e i̯
бажання	b ɐ ʒ ɑ nʲː ɐ
база	b ɑ z ɐ
байт	b ɑ i̯ t
баклажан	b ɐ k l ɐ ʒ ɑ n
балкон	b ɐ l k ɔ n
банк	b ɑ n k
банкнота	b ɐ n k n ɔ t ɐ
баня	b ɑ nʲ ɐ
баран	b ɐ r ɑ n
барва	b ɑ r ʋ ɐ
баскетбол	b ɐ s k e d b ɔ l
батьківщина	b ɑ tʲ kʲ i u̯ ʃ t͡ʃ ɪ n ɐ
