a	ɑː
ampella	ɑ m p e l l ɑ
an	ɑː n
anad	ɑː n ɑ d
anbugan	ɑ n b uː ɡ ɑ n
anbyrdnes	ɑ n b y r d n e s
ancenned	ɑː n k e n n e d
ancleo	ɑ n k l e͜oː
ancleow	ɑ n k l e͜oː w
ancleoƿ	ɑ n k l e͜oː w
ancor	ɑ n k o r
ancuman	ɑ n k u m ɑ n
and	ɑ n d
anda	ɑ n d ɑ
andcweþan	ɑ n d k w e θ ɑ n
andcwiss	ɑ n d k w i s s
andcƿeþan	ɑ n d k w e θ ɑ n
andcƿiss	ɑ n d k w i s s
andefn	ɑ n d e f n
andelbære	ɑ n d e l b æː r e
andettan	ɑ n d e t t ɑ n
andfang	ɑ n d f ɑ n ɡ
andfenge	ɑ n d f e n j e
andgiet	ɑ n d j i͜y t
andgiete	ɑ n d j i͜y t e
andgietol	ɑ n d j i͜y t o l
andgiettacen	ɑ n d j i͜y t t ɑː k e n
andgit	ɑ n d j i t
andgitfullice	ɑ n d j i t f u l l iː t͡ʃ e
andhweorfan	ɑ n d x w e͜o r f ɑ n
andhƿeorfan	ɑ n d x w e͜o r f ɑ n
andian	ɑ n d i ɑ n
andig	ɑ n d i j
andlang	ɑ n d l ɑ n ɡ
andsaca	ɑ n d s ɑ k ɑ
andsware	ɑ n d s w ɑ r e
andswarian	ɑ n d s w ɑ r i ɑ n
andswaru	ɑ n d s w ɑ r u
andswerian	ɑ n d s w e r j ɑ n
andsƿare	ɑ n d s w ɑ r e
andsƿarian	ɑ n d s w ɑ r i ɑ n
andsƿaru	ɑ n d s w ɑ r u
andsƿerian	ɑ n d s w e r j ɑ n
andtimber	ɑ n d t i m b e r
andustrian	ɑ n d uː s t r i ɑ n
andustrigan	ɑ n d uː s t r i j ɑ n
andweard	ɑ n d w æ͜ɑ r d
andweardian	ɑ n d w æ͜ɑ r d i ɑ n
andweardnes	ɑ n d w æ͜ɑ r d n e s
andweorc	ɑ n d w e͜o r k
andwig	ɑ n d w iː ɡ
andwirdan	ɑ n d w i r d ɑ n
andwis	ɑ n d w iː s
andwist	ɑ n d w i s t
andwlita	ɑ n d w l i t ɑ
andwlitan	ɑ n d w l iː t ɑ n
andwyrdan	ɑ n d w y r d ɑ n
andƿeard	ɑ n d w æ͜ɑ r d
andƿeardian	ɑ n d w æ͜ɑ r d i ɑ n
andƿeardnes	ɑ n d w æ͜ɑ r d n e s
andƿeorc	ɑ n d w e͜o r k
andƿig	ɑ n d w iː ɡ
andƿirdan	ɑ n d w i r d ɑ n
andƿis	ɑ n d w iː s
andƿist	ɑ n d w i s t
andƿlita	ɑ n d w l i t ɑ
andƿlitan	ɑ n d w l iː t ɑ n
andƿyrdan	ɑ n d w y r d ɑ n
aneged	ɑː n eː j e d
anemnan	ɑː n e m n ɑ n
anes	ɑː n e s
anfeald	ɑː n f æ͜ɑ l d
anfealdlice	ɑː n f æ͜ɑ l d l iː t͡ʃ e
anfealdnes	ɑː n f æ͜ɑ l d n e s
anfealdnys	ɑː n f æ͜ɑ l d n y s
anfloga	ɑː n f l o ɡ ɑ
anforlætan	ɑː n f o r l æː t ɑ n
angbreost	ɑ n ɡ b r e͜oː s t
ange	ɑ n ɡ e
angelcynn	ɑ n ɡ e l k y n n
angenga	ɑː n ɡ e n j ɑ
anginn	ɑ n j i n n
angsum	ɑ n ɡ s u m
angsumnes	ɑ n ɡ s u m n e s
anhaga	ɑː n x ɑ ɡ ɑ
anhealdan	ɑ n x æ͜ɑ l d ɑ n
anhende	ɑː n x e n d e
anhorn	ɑː n x o r n
aniege	ɑː n i͜yː j e
anige	ɑː n iː j e
animan	ɑː n i m ɑ n
anlaf	ɑ n l ɑ f
anlec	ɑ n l eː t͡ʃ
anlicnes	ɑ n l iː k n e s
anliepig	ɑː n l i͜yː p i j
anlipig	ɑː n l iː p i j
anlæcan	ɑː n l æː t͡ʃ ɑ n
anlætan	ɑː n l æː t ɑ n
anmedla	ɑ n m e d l ɑ
annes	ɑː n n e s
ansien	ɑ n s i͜yː n
ansund	ɑ n s u n d
ansyn	ɑ n s yː n
antid	ɑː n t iː d
antimber	ɑ n t i m b e r
anwadan	ɑ n w ɑ d ɑ n
anwig	ɑː n w iː j
anælan	ɑ n æː l ɑ n
anƿadan	ɑ n w ɑ d ɑ n
anƿig	ɑː n w iː j
apa	ɑ p ɑ
apostata	ɑ p o s t ɑ t ɑ
apuldor	ɑ p u l d o r
ar	ɑː r
ara	ɑː r ɑ
arabia	ɑ r ɑ b i ɑ
arabisc	ɑ r ɑ b i ʃ
arcebiscop	ɑ r t͡ʃ e b i ʃ ʃ o p
arcebiscoprice	ɑ r t͡ʃ e b i ʃ ʃ o p r iː t͡ʃ e
ardæde	ɑː r d æː d e
are	ɑː r e
arfæst	ɑː r f æ s t
arian	ɑː r i ɑ n
arisan	ɑː r iː s ɑ n
arleas	ɑː r l æ͜ɑː s
arm	ɑ r m
arstafas	ɑː r s t ɑ f ɑ s
arwald	ɑ r w ɑ l d
arwe	ɑː r w e
arædan	ɑː r æː d ɑ n
aræran	ɑː r æː r ɑ n
arƿald	ɑ r w ɑ l d
arƿe	ɑː r w e
asawan	ɑː s ɑː w ɑ n
asaƿan	ɑː s ɑː w ɑ n
asceadan	ɑː ʃ æ͜ɑː d ɑ n
asceadan	ɑː ʃ ɑː d ɑ n
ascian	ɑː s k i ɑ n
asciendlic	ɑː s k i e n d l iː t͡ʃ
ascung	ɑː s k u n ɡ
asecan	ɑː s eː t͡ʃ ɑ n
asecgan	ɑː s e j j ɑ n
asellan	ɑː s e l l ɑ n
aseon	ɑː s e͜oː n
asettan	ɑː s e t t ɑ n
aseþan	ɑː s eː θ ɑ n
asittan	ɑː s i t t ɑ n
asmeagan	ɑː s m æ͜ɑː j ɑ n
asprungen	ɑː s p r u n ɡ e n
asprungennes	ɑː s p r u n ɡ e n n e s
astandan	ɑː s t ɑ n d ɑ n
astyrian	ɑː s t y r j ɑ n
asundrian	ɑː s u n d r i ɑ n
asundrodlic	ɑː s u n d r o d l iː t͡ʃ
aswebban	ɑː s w e b b ɑ n
asyndrian	ɑː s y n d r i ɑ n
asyndrung	ɑː s y n d r u n ɡ
asƿebban	ɑː s w e b b ɑ n
ateon	ɑː t e͜oː n
atol	ɑ t o l
ator	ɑː t o r
atorbære	ɑː t o r b æː r e
atorcoppe	ɑː t o r k o p p e
atorlic	ɑː t o r l iː t͡ʃ
atr	ɑː t r
augustus	ɑ u ɡ u s t u s
aulixes	ɑ u l i k s e s
awacan	ɑː w ɑ k ɑ n
aweccan	ɑː w e t t͡ʃ ɑ n
aweg	ɑː w e j
awemman	ɑː w e m m ɑ n
awendan	ɑː w e n d ɑ n
aweorpan	ɑː w e͜o r p ɑ n
awiht	ɑː w i x t
awlancian	ɑː w l ɑ n k i ɑ n
awlencan	ɑː w l e n t͡ʃ ɑ n
awrecan	ɑː w r e k ɑ n
awuldrian	ɑː w u l d r i ɑ n
awyrcan	ɑː w y r t͡ʃ ɑ n
awyrgan	ɑː w y r j ɑ n
axian	ɑː k s i ɑ n
axigendlic	ɑː k s i j e n d l iː t͡ʃ
axung	ɑː k s u n ɡ
að	ɑː θ
aþ	ɑː θ
aþecgan	ɑː θ e j j ɑ n
aþeodan	ɑː θ e͜oː d ɑ n
aþeotan	ɑː θ e͜oː t ɑ n
aþexe	ɑː θ e k s e
aþiedan	ɑː θ i͜yː d ɑ n
aþreotan	ɑː θ r e͜oː t ɑ n
aþum	ɑː θ u m
aþweran	ɑː θ w e r ɑ n
aþƿeran	ɑː θ w e r ɑ n
aƿacan	ɑː w ɑ k ɑ n
aƿeccan	ɑː w e t t͡ʃ ɑ n
aƿeg	ɑː w e j
aƿemman	ɑː w e m m ɑ n
aƿendan	ɑː w e n d ɑ n
aƿeorpan	ɑː w e͜o r p ɑ n
aƿiht	ɑː w i x t
aƿlancian	ɑː w l ɑ n k i ɑ n
aƿlencan	ɑː w l e n t͡ʃ ɑ n
aƿrecan	ɑː w r e k ɑ n
aƿuldrian	ɑː w u l d r i ɑ n
aƿyrcan	ɑː w y r t͡ʃ ɑ n
aƿyrgan	ɑː w y r j ɑ n
babilon	b ɑ b i l oː n
babilonie	b ɑ b i l oː n i e
babilonige	b ɑ b i l oː n i j e
baca	b ɑ k ɑ
bacan	b ɑ k ɑ n
bacas	b ɑ k ɑ s
bad	b ɑː d
badian	b ɑː d i ɑ n
balca	b ɑ l k ɑ
bald	b ɑ l d
ban	b ɑː n
bana	b ɑ n ɑ
banhus	b ɑː n x uː s
banleas	b ɑː n l æ͜ɑː s
bannan	b ɑ n n ɑ n
bar	b ɑː r
basnian	b ɑː s n i ɑ n
basnung	b ɑː s n u n ɡ
basu	b ɑ s u
bat	b ɑː t
batian	b ɑ t i ɑ n
batweard	b ɑː t w æ͜ɑ r d
batƿeard	b ɑː t w æ͜ɑ r d
baðian	b ɑ θ i ɑ n
baþian	b ɑ θ i ɑ n
baþu	b ɑ θ u
beacen	b æ͜ɑː k e n
beacenfyr	b æ͜ɑː k e n f yː r
beacenstan	b æ͜ɑː k e n s t ɑː n
beacn	b æ͜ɑː k n
beacnian	b æ͜ɑː k n i ɑ n
beacniendlic	b æ͜ɑː k n i e n d l iː t͡ʃ
beacnung	b æ͜ɑː k n u n ɡ
bead	b æː ɑ̯ d
beado	b æ͜ɑ d o
beadu	b æ͜ɑ d u
beag	b æ͜ɑː ɡ
beagian	b æ͜ɑː ɡ i ɑ n
beah	b æ͜ɑː x
beald	b æ͜ɑ l d
bealdlice	b æ͜ɑ l d l iː t͡ʃ e
bealluc	b æ͜ɑ l l u k
beallucas	b æ ɑ̯ l l u k ɑ s
bealo	b æ͜ɑ l o
bealohydig	b æ͜ɑ l o x yː d i j
bealu	b æ͜ɑ l u
beam	b æ͜ɑː m
beamweg	b æ͜ɑː m w e j
beamƿeg	b æ͜ɑː m w e j
bean	b æ͜ɑː n
beard	b æ͜ɑ r d
beardleas	b æ͜ɑ r d l æ͜ɑː s
bearg	b æ͜ɑ r ɡ
bearm	b æ͜ɑ r m
bearn	b æ͜ɑ r n
bearneacen	b æ͜ɑ r n æ͜ɑː k e n
bearneacnung	b æ͜ɑ r n æ͜ɑː k n u n ɡ
beatan	b æ͜ɑː t ɑ n
beatere	b æ͜ɑː t e r e
bebaðian	b e b ɑ θ i ɑ n
bebaþian	b e b ɑ θ i ɑ n
bebbe	b e b b e
bebeodan	b e b e͜oː d ɑ n
bebindan	b e b i n d ɑ n
beblawan	b e b l ɑː w ɑ n
beblaƿan	b e b l ɑː w ɑ n
bebod	b e b o d
bebrecan	b e b r e k ɑ n
bebugan	b e b uː ɡ ɑ n
bebycgan	b e b y j j ɑ n
bec	b eː t͡ʃ
bece	b e t͡ʃ e
bece	b eː t͡ʃ e
beceorfan	b e t͡ʃ e͜o r f ɑ n
becierran	b e t͡ʃ i͜y r r ɑ n
beclipian	b e k l i p i ɑ n
beclyppan	b e k l y p p ɑ n
beclysan	b e k l yː s ɑ n
becnawan	b e k n ɑː w ɑ n
becnaƿan	b e k n ɑː w ɑ n
becnyttan	b e k n y t t ɑ n
becom	b e k o m
becrafian	b e k r ɑ f i ɑ n
becreopan	b e k r e͜oː p ɑ n
becuman	b e k u m ɑ n
becwelan	b e k w e l ɑ n
becweþan	b e k w e θ ɑ n
becwæl	b e k w æ l
becyrran	b e t͡ʃ y r r ɑ n
becƿelan	b e k w e l ɑ n
becƿeþan	b e k w e θ ɑ n
bed	b e d
bedcleofa	b e d k l e͜o f ɑ
bedclyfa	b e d k l y f ɑ
bedd	b e d d
beddrida	b e d d r i d ɑ
bedecian	b e d e k i ɑ n
bedelfan	b e d e l f ɑ n
bedofen	b e d o f e n
bedon	b e d oː n
bedragan	b e d r ɑ ɡ ɑ n
bedreda	b e d r e d ɑ
bedrifan	b e d r iː f ɑ n
bedrincan	b e d r i n k ɑ n
bedtid	b e d t iː d
bedu	b e d u
bedufan	b e d uː f ɑ n
bedul	b e d u l
bedyppan	b e d y p p ɑ n
bedælan	b e d æː l ɑ n
befealdan	b e f æ͜ɑ l d ɑ n
befeallan	b e f æ͜ɑ l l ɑ n
befeohtan	b e f e͜o x t ɑ n
befeolan	b e f e͜oː l ɑ n
befindan	b e f i n d ɑ n
beflean	b e f l æ͜ɑː n
befleogan	b e f l e͜oː ɡ ɑ n
befleon	b e f l e͜oː n
beflowan	b e f l oː w ɑ n
befloƿan	b e f l oː w ɑ n
befon	b e f oː n
beforan	b e f o r ɑ n
beforancweþan	b e f o r ɑ n k w e θ ɑ n
beforancƿeþan	b e f o r ɑ n k w e θ ɑ n
befreogan	b e f r e͜oː j ɑ n
befrignan	b e f r i j n ɑ n
befylan	b e f yː l ɑ n
befæstan	b e f æ s t ɑ n
befæstnian	b e f æ s t n i ɑ n
began	b e ɡ ɑː n
begang	b e ɡ ɑ n ɡ
begangan	b e ɡ ɑ n ɡ ɑ n
begbeam	b e j b æ͜ɑː m
begen	b eː j e n
begeondan	b e j o n d ɑ n
begeotan	b e j e͜oː t ɑ n
begieman	b e j i͜yː m ɑ n
begietan	b e j i͜y t ɑ n
beginnan	b e j i n n ɑ n
begnagan	b e ɡ n ɑ ɡ ɑ n
begong	b e ɡ o n ɡ
begrafan	b e ɡ r ɑ f ɑ n
begreosan	b e ɡ r e͜oː s ɑ n
begretan	b e ɡ r eː t ɑ n
begripan	b e ɡ r iː p ɑ n
begrætan	b e ɡ r æː t ɑ n
begyman	b e j yː m ɑ n
begyrdan	b e ɡ y r d ɑ n
behabban	b e x ɑ b b ɑ n
behat	b e x ɑː t
behatan	b e x ɑː t ɑ n
behatland	b e x ɑː t l ɑ n d
beheafdian	b e x æ͜ɑː f d i ɑ n
beheafdung	b e x æ͜ɑː f d u n ɡ
behealdan	b e x æ͜ɑ l d ɑ n
beheawan	b e x æ͜ɑː w ɑ n
beheaƿan	b e x æ͜ɑː w ɑ n
behegian	b e x e ɡ i ɑ n
behelmian	b e x e l m i ɑ n
behindan	b e x i n d ɑ n
behleapan	b e x l æ͜ɑː p ɑ n
behlehhan	b e x l e x x ɑ n
behlidan	b e x l iː d ɑ n
behliehhan	b e x l i͜y x x ɑ n
behlæstan	b e x l æ s t ɑ n
behof	b e x oː f
behofian	b e x oː f i ɑ n
behon	b e x oː n
behreosan	b e x r e͜oː s ɑ n
behropan	b e x r oː p ɑ n
behweorfan	b e x w e͜o r f ɑ n
behycgan	b e x y j j ɑ n
behydan	b e x yː d ɑ n
behæs	b e x æː s
behƿeorfan	b e x w e͜o r f ɑ n
beirnan	b e i r n ɑ n
beladian	b e l ɑː d i ɑ n
belean	b e l æ͜ɑː n
belecgan	b e l e j j ɑ n
beleogan	b e l e͜oː ɡ ɑ n
belgan	b e l ɡ ɑ n
belicgan	b e l i j j ɑ n
beliefan	b e l i͜yː f ɑ n
belifan	b e l iː f ɑ n
belimpan	b e l i m p ɑ n
bellan	b e l l ɑ n
belle	b e l l e
belltacen	b e l l t ɑː k e n
belt	b e l t
belucan	b e l uː k ɑ n
belyfan	b e l yː f ɑ n
belyrtan	b e l y r t ɑ n
belædan	b e l æː d ɑ n
belæfan	b e l æː f ɑ n
bemetan	b e m e t ɑ n
bemiþan	b e m iː θ ɑ n
bemurnan	b e m u r n ɑ n
bemænan	b e m æː n ɑ n
ben	b e n
ben	b eː n
bena	b eː n ɑ
benc	b e n t͡ʃ
benemnan	b e n e m n ɑ n
beneotan	b e n e͜oː t ɑ n
beneoþan	b e n e͜oː θ ɑ n
beniman	b e n i m ɑ n
benn	b e n n
bennian	b e n n i ɑ n
benotian	b e n o t i ɑ n
bensian	b eː n s i ɑ n
beo	b e͜oː
beobread	b e͜oː b r æ͜ɑː d
beoceorl	b e͜oː t͡ʃ e͜o r l
beocere	b e͜oː k e r e
beod	b e͜oː d
beodan	b e͜oː d ɑ n
beodclaþ	b e͜oː d k l ɑː θ
beofor	b e͜o f o r
beofung	b e͜o f u n ɡ
beogang	b e͜oː ɡ ɑ n ɡ
beogol	b e͜oː ɡ o l
beom	b eː o̯ m
beomodor	b e͜oː m oː d o r
beon	b e͜oː n
beor	b e͜oː r
beoran	b e͜o r ɑ n
beorcan	b e͜o r k ɑ n
beorg	b e͜o r ɡ
beorgan	b e͜o r j ɑ n
beorgan	b e͜o r ɡ ɑ n
beorht	b e͜o r x t
beorhthwil	b e͜o r x t x w iː l
beorhthƿil	b e͜o r x t x w iː l
beorhtian	b e͜o r x t i ɑ n
beorhtlice	b e͜o r x t l iː t͡ʃ e
beorhtnes	b e͜o r x t n e s
beorma	b e͜o r m ɑ
beorn	b e͜o r n
beornan	b e͜o r n ɑ n
beorsele	b e͜oː r s e l e
beorþegu	b e͜oː r θ e ɡ u
beot	b e͜oː t
beotian	b e͜oː t i ɑ n
beow	b e͜oː w
beowulf	b e͜oː w u l f
beowyrt	b e͜oː w y r t
beoƿ	b e͜oː w
beoƿulf	b e͜oː w u l f
beoƿyrt	b e͜oː w y r t
ber	b eː r
bera	b e r ɑ
beran	b e r ɑ n
bercan	b e r k ɑ n
bere	b e r e
bereafian	b e r æ͜ɑː f i ɑ n
bereofan	b e r e͜oː f ɑ n
beridan	b e r iː d ɑ n
berige	b e r i j e
berstan	b e r s t ɑ n
berædan	b e r æː d ɑ n
besawan	b e s ɑː w ɑ n
besaƿan	b e s ɑː w ɑ n
besceadan	b e ʃ æ͜ɑː d ɑ n
besceadan	b e ʃ ɑː d ɑ n
besceaduwian	b e ʃ ɑ d u w i ɑ n
besceaduƿian	b e ʃ ɑ d u w i ɑ n
bescieran	b e ʃ i͜y r ɑ n
bescinan	b e ʃ iː n ɑ n
bescitan	b e ʃ iː t ɑ n
bescufan	b e ʃ uː f ɑ n
bescyldian	b e ʃ y l d i ɑ n
bescyldigian	b e ʃ y l d i ɡ i ɑ n
besecgan	b e s e j j ɑ n
besellan	b e s e l l ɑ n
besema	b e s e m ɑ
besendan	b e s e n d ɑ n
besengan	b e s e n j ɑ n
beseon	b e s e͜oː n
besettan	b e s e t t ɑ n
besierwan	b e s i͜y r w ɑ n
besierƿan	b e s i͜y r w ɑ n
besig	b e s i j
besincan	b e s i n k ɑ n
besingan	b e s i n ɡ ɑ n
besittan	b e s i t t ɑ n
beslean	b e s l æ͜ɑː n
beslæpan	b e s l æː p ɑ n
besma	b e s m ɑ
besmeagan	b e s m æ͜ɑː j ɑ n
besmierwan	b e s m i͜y r w ɑ n
besmierƿan	b e s m i͜y r w ɑ n
besmirwan	b e s m i r w ɑ n
besmirƿan	b e s m i r w ɑ n
besniwod	b e s n iː w o d
besniƿod	b e s n iː w o d
besorgian	b e s o r ɡ i ɑ n
besprecan	b e s p r e k ɑ n
bestandan	b e s t ɑ n d ɑ n
bestelan	b e s t e l ɑ n
besteman	b e s t eː m ɑ n
besteppan	b e s t e p p ɑ n
bestieman	b e s t i͜yː m ɑ n
bestingan	b e s t i n ɡ ɑ n
bestreawian	b e s t r æ͜ɑː w i ɑ n
bestreaƿian	b e s t r æ͜ɑː w i ɑ n
bestrican	b e s t r iː k ɑ n
bestridan	b e s t r iː d ɑ n
bestyman	b e s t yː m ɑ n
bestyrian	b e s t y r j ɑ n
beswican	b e s w iː k ɑ n
beswincan	b e s w i n k ɑ n
besyrwan	b e s y r w ɑ n
besyrƿan	b e s y r w ɑ n
besƿican	b e s w iː k ɑ n
besƿincan	b e s w i n k ɑ n
bet	b e t
betan	b eː t ɑ n
betellan	b e t e l l ɑ n
beteon	b e t e͜oː n
beterian	b e t e r i ɑ n
betredan	b e t r e d ɑ n
betweonan	b e t w e͜oː n ɑ n
betweonum	b e t w e͜oː n u m
betweox	b e t w e͜oː k s
betynan	b e t yː n ɑ n
betæcan	b e t æː t͡ʃ ɑ n
betƿeonan	b e t w e͜oː n ɑ n
betƿeonum	b e t w e͜oː n u m
betƿeox	b e t w e͜oː k s
bewacian	b e w ɑ k i ɑ n
bewalwian	b e w ɑ l w i ɑ n
bewarian	b e w ɑ r i ɑ n
bewealwian	b e w æ͜ɑ l w i ɑ n
beweardian	b e w æ͜ɑ r d i ɑ n
beweddian	b e w e d d i ɑ n
bewendan	b e w e n d ɑ n
bewepan	b e w eː p ɑ n
bewindan	b e w i n d ɑ n
bewitan	b e w i t ɑ n
bewlatian	b e w l ɑː t i ɑ n
bewlitan	b e w l iː t ɑ n
bewrecan	b e w r e k ɑ n
bewritan	b e w r iː t ɑ n
bewyrcan	b e w y r t͡ʃ ɑ n
bewægnan	b e w æ j n ɑ n
bewæpnian	b e w æː p n i ɑ n
beæwnian	b e æː w n i ɑ n
beæƿnian	b e æː w n i ɑ n
beþeccan	b e θ e t t͡ʃ ɑ n
beþencan	b e θ e n t͡ʃ ɑ n
beþeodan	b e θ e͜oː d ɑ n
beþian	b e θ i ɑ n
beþiedan	b e θ i͜yː d ɑ n
beþrawan	b e θ r ɑː w ɑ n
beþraƿan	b e θ r ɑː w ɑ n
beþringan	b e θ r i n ɡ ɑ n
beƿacian	b e w ɑ k i ɑ n
beƿalƿian	b e w ɑ l w i ɑ n
beƿarian	b e w ɑ r i ɑ n
beƿealƿian	b e w æ͜ɑ l w i ɑ n
beƿeardian	b e w æ͜ɑ r d i ɑ n
beƿeddian	b e w e d d i ɑ n
beƿendan	b e w e n d ɑ n
beƿepan	b e w eː p ɑ n
beƿindan	b e w i n d ɑ n
beƿitan	b e w i t ɑ n
beƿlatian	b e w l ɑː t i ɑ n
beƿlitan	b e w l iː t ɑ n
beƿrecan	b e w r e k ɑ n
beƿritan	b e w r iː t ɑ n
beƿyrcan	b e w y r t͡ʃ ɑ n
beƿægnan	b e w æ j n ɑ n
beƿæpnian	b e w æː p n i ɑ n
bi	b iː
biblioþece	b i b l i͜u θ eː k e
bicce	b i t t͡ʃ e
bicnol	b iː t͡ʃ n o l
bicweþan	b i k w e θ ɑ n
bicƿeþan	b i k w e θ ɑ n
bidan	b iː d ɑ n
biddan	b i d d ɑ n
bidon	b i d o n
biecnan	b i͜yː k n ɑ n
bieldan	b i͜y l d ɑ n
bieme	b iː e m e
bierce	b i͜y r t͡ʃ e
biergan	b i͜y r j ɑ n
