agaan	ɑ̀ k ɑ̀ː n
naadiin	n ɑ̀ː t ìː n
naaki	n ɑ̀ː kʰ ɪ̀
naakitsʼáadah	n ɑ̀ː k ɪ̀ t͡s ʼ ɑ̂ː t ɑ̀ h
naashgalí	n ɑ̀ː ʃ k ɑ̀ l ɪ́
naatʼáanii	n aː ˨ t ʼ aː ˦ ˨ n iː ˨
neeznáá	n èː z n ɑ́ː
niimas	n ìː m ɑ̀ s
niłchiis	n ɪ̀ ɬ t͡ʃʰ ìː s
náhástʼéí	n ɑ́ h ɑ́ s t ʼ é í
náhástʼéítsʼáadah	n ɑ́ h ɑ́ s t ʼ é í t͡s ʼ ɑ̂ː t ɑ̀ h
námboo	n ɑ́ m p òː
názbąs	n ɑ́ z p ɑ̃̀ s
néʼtoon	n ɛ́ ʔ tʰ òː n
níłchʼi	n ɪ́ ɬ t͡ʃ ʼ ɪ̀
oozéí	òː z ɛ́ ɪ́
peshlakai	p ɛ ʃ l ə k a ɪ
shinaagóó	ʃ ɪ̀ n ɑ̀ː k óː
siláo	s ɪ̀ l ɑ́ ò
sis	s ɪ̀ s
soodin	s òː t ɪ̀ n
sooléí	s òː l ɛ́ ɪ́
spéshelígíí	s p é ʃ e l ɪ́ ɣ íː
sxih	s x ɪ̀ h
sáál	s ɑ́ː l
séetin	s êː tʰ ɪ̀ n
séwes	s ɛ́ w ɛ̀ s
toadlena	t o ʊ d l i n ə
tseebíí	t͡sʰ èː p íː
tseebíítsʼáadah	t͡sʰ èː p íː t͡s ʼ ɑ̂ː t ɑ̀ h
tsin	t sʰ ɪ n
tsindáo	t͡sʰ ɪ́ n t ɑ́ ò
tso	t s o ʊ
tsosie	t s o ʊ s i
tsostsʼid	t͡sʰ ò s t͡s ʼ ɪ̀ t
tsostsʼidtsʼáadah	t͡sʰ ò s t͡s ʼ ɪ̀ t t͡s ʼ ɑ̂ː t ɑ̀ h
tsé	t͡sʰ ɛ́
tsʼin	t s ʔ ɪ n
tádiin	tʰ ɑ́ t ìː n
táiwáán	tʰ ɑ́ ɪ̀ w ɑ́ː n
táláwosh	tʰ ɑ́ l ɑ́ ɣ ò ʃ
tááʼ	tʰ ɑ́ː ʔ
tááʼtsʼáadah	tʰ ɑ́ː ʔ t͡s ʼ ɑ̂ː t ɑ̀ h
tʼááłáʼí	t ʼ ɑ́ː ɬ ɑ́ ʔ ɪ́
tłóotoo	t͡ɬʰ ôː tʰ òː
tłʼízí	t ɬ ʼ ɪ́ z ɪ́
uskilith	ə s k ɪ l ɪ θ
wikiibíídiiya	w ɪ̀ kʰ ìː p íː t ìː j ɑ̀
wáán	w ɑ́ː n
wááshindoon	w ɑ́ː ʃ ɪ̀ n t òː n
yas	j ɑ̀ s
yidiiłmáás	j ɪ̀ t ìː ɬ m ɑ́ː s
yidiłmáás	j ɪ̀ t ɪ̀ ɬ m ɑ́ː s
yiniiłmas	j ɪ̀ n ìː ɬ m ɑ̀ s
yiniłmas	j ɪ̀ n ɪ̀ ɬ m ɑ̀ s
yoowéinis	j òː w ɛ́ ɪ̀ n ɪ̀ s
yáál	j ɑ́ː l
yáʼátʼééh	j á ʔ á t ʔ éː h
yáʼátʼééh	j á ʔ á t ʔ ɛ́ː h
yíłmáás	j ɪ́ ɬ m ɑ́ː s
zas	z ɑ̀ s
ádin	ɑ́ t ɪ̀ n
álánééz	ʔ ɑ́ l ɑ́ n éː z
álázhoozh	ʔ ɑ́ l ɑ́ ʒ òː ʒ
ínsadoobíídiiya	ʔ ɪ́ n s ɑ̀ t òː p íː t ìː j ɑ̀
óola	ʔ ôː l à
óóswiya	ʔ óː s w ɪ̀ j ɑ̀
ʼ	ʔ
łaʼtsʼáadah	ɬ ɑ̀ ʔ t͡s ʼ ɑ̂ː t ɑ̀ h
ńdízídígíí	ń̩ t í z í t í k íː
łáaʼii	ɬ ɑ̂ː ʔ ìː
