abilità	ɐbɪlɪta
għarbija	arbiːja
għarbija	aˤːrbiːja
għarbin	arbiːn
għarbin	aˤːrbiːn
għaref	aːrɛf
għaref	aˤːrɛf
għarfien	arfɪːn
għarfien	aˤːrfɪːn
għargħar	aːrar
għargħar	aˤːraˤːr
għarib	ariːp
għarib	aˤːriːp
għariba	ariːba
għariba	aˤːriːba
għarnuq	arnuːʔ
għarnuq	aˤːrnuːʔ
għarqan	arʔaːn
għarqan	aˤːrʔaːn
għarraf	aːrraf
għarraf	aˤːrraf
għarraq	aːrraʔ
għarraq	aˤːrraʔ
għarus	aruːs
għarus	aˤːruːs
għarusa	aruːsa
għarusa	aˤːruːsa
għarwien	arwɪːn
għarwien	aˤːrwɪːn
għasafar	asaːfar
għasafar	aˤːsaːfar
għasar	aːsar
għasar	aˤːsar
għasel	aːsɛl
għasel	aˤːsɛl
għases	aːsɛs
għases	aˤːsɛs
għasfur	asfuːr
għasfur	aˤːsfuːr
għasluġ	asluːt͡ʃ
għasluġ	aˤːsluːt͡ʃ
għassa	aːssa
għassa	aˤːssa
għatta	aːtta
għatta	aˤːtta
għattan	aːttan
għattan	aˤːttan
għattuqa	attuːʔa
għattuqa	aˤːttuːʔa
għatu	aːtʊ
għatu	aˤːtʊ
għatx	aːt͡ʃ
għatx	aˤːt͡ʃ
għatxan	att͡ʃaːn
għatxan	aˤːtt͡ʃaːn
għatxana	att͡ʃaːna
għatxana	aˤːtt͡ʃaːna
għatxanin	att͡ʃaniːn
għatxanin	aˤːtt͡ʃaniːn
għawdex	awdɛʃ
għawdex	aˤwdɛʃ
għawdxi	awt͡ʃɪ
għawdxi	aˤwt͡ʃɪ
għawdxija	awt͡ʃiːja
għawdxija	aˤwt͡ʃiːja
għawdxin	awt͡ʃiːn
għawdxin	aˤwt͡ʃiːn
għax	aːʃ
għax	aˤːʃ
għaxar	aːʃar
għaxar	aˤːʃar
għaxart	aːʃart
għaxart	aˤːʃart
għaxra	aːʃra
għaxra	aˤːʃra
għazz	aːt͡s
għazz	aˤːt͡s
għazza	aːtt͡sa
għazza	aˤːtt͡sa
għazziet	att͡sɪːt
għazziet	aˤːtt͡sɪːt
għażeb	aːzɛp
għażeb	aˤːzɛp
għażel	aːzɛl
għażel	aˤːzɛl
għażiż	aziːs
għażiż	aˤːziːs
għażiża	aziːza
għażiża	aˤːziːza
għażla	aːzla
għażla	aˤːzla
għaġġeb	aːdd͡ʒɛp
għaġġeb	aˤːdd͡ʒɛp
għedewwa	ɛdɛwwa
għedewwa	ɛˤːdɛwwa
gżejjer	ɡzɛjːɛr
għejun	ɛjuːn
għejun	ɛˤːjuːn
għelieqi	ɛlɪːʔɪ
għelieqi	ɛˤːlɪːʔɪ
għen	ɛːn
għen	ɛˤːn
għenba	ɛːmba
għenba	ɛˤːmba
għenbiet	ɛmbɪːt
għenbiet	ɛˤːmbɪːt
għeneb	ɛːnɛp
għeneb	ɛˤːnɛp
għenuq	ɛnuːʔ
għenuq	ɛˤːnuːʔ
għereq	ɛːrɛʔ
għereq	ɛˤːrɛʔ
għerf	ɛːrf
għerf	ɛˤːrf
għerien	ɛrɪːn
għerien	ɛˤːrɪːn
għerq	ɛːrʔ
għerq	ɛˤːrʔ
għeruq	ɛruːʔ
għeruq	ɛˤːruːʔ
għesaw	ɛsaw
għesaw	ɛˤːsaw
għesieleġ	ɛsɪːlɛt͡ʃ
għesieleġ	ɛˤːsɪːlɛt͡ʃ
għex	ɛːʃ
għex	ɛˤːʃ
għeżież	ɛzɪːs
għeżież	ɛˤːzɪːs
għid	ɛjt
għid	ɛˤjt
għin	ɛjn
għin	ɛˤjn
għira	ɛjra
gżira	ɡziːra
għira	ɛˤjra
għodda	ɔːdda
għodda	ɔˤːdda
għodod	ɔːdɔt
għodod	ɔˤːdɔt
għodwa	ɔːdwa
għodwa	ɔˤːdwa
għollieq	ɔllɪːʔ
għollieq	ɔˤːllɪːʔ
għomja	ɔːmja
għomja	ɔˤːmja
għonja	ɔːnja
għonja	ɔˤːnja
għonq	ɔːnʔ
għonq	ɔˤːnʔ
għoqda	ɔːʔda
għoqda	ɔˤːʔda
għoqod	ɔːʔɔt
għoqod	ɔˤːʔɔt
għorba	ɔːrba
għorba	ɔˁːrba
għorok	ɔːrɔk
għorok	ɔˤːrɔk
għotjien	ɔtjɪːn
għotjien	ɔˤːtjɪːn
għoxrin	ɔʃriːn
għoxrin	ɔˤːʃriːn
għoxux	ɔʃuːʃ
għoxux	ɔˤːʃuːʃ
għoxx	ɔːʃʃ
għoxx	ɔˤːʃʃ
għoġob	ɔːd͡ʒɔp
għoġob	ɔˤːd͡ʒɔp
għoġol	ɔːd͡ʒɔl
għoġol	ɔˤːd͡ʒɔl
għoġġiela	ɔdd͡ʒɪːla
għoġġiela	ɔˤːdd͡ʒɪːla
h	-
h	j
h	w
h	ħ
h	ː
hawn	awn
heda	ɛːda
hedded	ɛːddɛt
heddidt	ɛddɪt
hekk	ɛːk
hellel	ɛːllɛl
hemeż	ɛːmɛs
hemm	ɛːmː
hemmhekk	ɛmmɛːk
hena	ɛːna
henna	ɛːnna
herra	ɛːrra
hewden	ɛwdɛn
heżżeż	ɛːzzɛs
hi	iː
hija	iːjɐ
hinn	ɪnn
hu	uː
huma	uːmɐ
huwa	uːwɐ
iben	ɪbɛn
ibigħ	ɪbɪːħ
ibigħu	ɪbiːjɔw
ibigħu	ɪbiˤːɛˤw
ibsin	ɪpsiːn
ibħra	ɪpħrɐ
id	iːt
idda	ɪdda
iddawnlowdja	ɪddawnlɔwdja
idden	ɪddɛn
iddeskriva	ɪddɛskriːva
identità	ɪdɛntɪta
idroġenu	ɪdrɔd͡ʒɛːnʊ
iebes	ɪːbɛs
iebsa	ɪːpsa
ieħor	ɪːħɔr
ikel	ɪkɛl
ikkommunika	ɪkkɔmmuːnɪka
ikrah	ɪkraħ
ikħal	ɪkħal
ilbieraħ	ɪlbɪːraħ
iljunfant	ɪljʊnfant
illum	ɪlluːm
illużjoni	ɪlːʊzjɔːnɪ
illużjonijiet	ɪlːʊzjɔːnɪjɪːt
ilma	ɪlma
ilmijiet	ɪlmɪjɪːt
ilsna	ɪlsnɐ
iltaqa'	ɪltaʔa
ilħit	ɪlħiːt
imbagħad	ɪmbaːt
imbagħad	ɪmbaˤːt
imqareb	ɪmʔaːrɛp
imsiebaħ	ɪmsɪːbaħ
imħabba	ɪmħabba
inbid	ɪmbiːt
indika	ɪndiːkɐ
indikazzjoni	ɪndɪkɐtːsjɔːnɪ
indipendenti	ɪndɪpɛndɛntɪ
indipendenza	ɪndɪpɛndɛntsɐ
indiċi	ɪndiːt͡ʃɪ
infern	ɪnfɛrn
infezzjoni	ɪnfɛtːsjɔːnɪ
informazzjoni	ɪnfɔrmɐt͡t͡sjɔːnɪ
ingliż	ɪnɡliːs
inibizzjoni	ɪnɪbɪtːsjɔːnɪ
insalata	ɪnsɐlɐtɐ
insett	ɪnsɛtː
int	ɪnt
interazzjoni	ɪntɛrɐtːsjɔːnɪ
interessa	ɪntɛrɛssa
inti	ɪntɪ
intnesa	ɪntnɛsa
intom	ɪntɔm
inħobbok	ɪnħɔbːɔk
ipparteċipa	ɪppartɛt͡ʃiːpa
ippenetra	ɪppɛnɛːtra
ipprojbixxa	ɪpprɔjbɪʃʃa
ippromwova	ɪpprɔmwɔːva
ipprova	ɪpprɔːva
irjieħ	ɪrjɪːħ
irqiq	ɪrʔɪːʔ
irreaġixxa	ɪrrɛad͡ʒɪʃʃa
irrisponda	ɪrrɪspɔnda
irtal	ɪrtaːl
irwieħ	ɪrwɪːħ
isbaħ	ɪzbaħ
isdra	ɪsdrɐ
isem	iːsɛm
isfar	ɪsfɐr
islam	ɪslaːm
islamiku	ɪslaːmɪkʊ
isqof	ɪsʔɔf
isqra	ɪsʔrɐ
issa	ɪssa
issieħeb	ɪssɪːħɛp
istess	ɪstɛsː
iswed	ɪswɛt
itfal	ɪtfaːl
itjeb	ɪtjɛp
ittra	ɪtːrɐ
ittraduċa	ɪttraduːt͡ʃa
ivvjola	ɪvvjɔːla
iwiegħed	ɪwɪːjɛt
iwiegħed	ɪwɪˤːɛˤt
iżlam	ɪzlɐm
iġmla	ɪd͡ʒmlɐ
iżraq	ɪzraʔ
iġsma	ɪd͡ʒsmɐ
jaf	jaːf
jagħlaq	jaːlaʔ
jagħlaq	jaˤːlaʔ
jagħti	jaːtɪ
jagħti	jaˤːtɪ
jagħżel	jaːzɛl
jagħżel	jaˤːzɛl
jakobus	jakoːbʊs
jannar	jɐnnɐːr
jaqbad	jaʔbat
jaqla'	jaʔla
jaqta'	jaʔta
jbigħ	jbɪːħ
jbigħu	jbiːjɔw
jbigħu	jbiˤːɛˤw
jekk	jɛkː
jew	jɛw
jgħallem	jaːllɛm
jgħallem	jaˤːllɛm
jgħammed	jaːmmɛt
jgħammed	jaˤːmmɛt
jgħanni	jaːnnɪ
jgħanni	jaˤːnnɪ
jgħaqqad	jaːʔʔat
jgħaqqad	jaˤːʔʔat
jgħaqqdu	jaːʔdʊ
jgħaqqdu	jaˤːʔdʊ
jgħattan	jaːttan
jgħattan	jaˤːttan
jgħatti	jaːttɪ
jgħatti	jaˤːttɪ
jgħaġġeb	jaːdd͡ʒɛp
jgħaġġeb	jaˤːdd͡ʒɛp
jgħid	jɛjt
jgħid	jɛˤjt
jgħin	jɛjn
jgħin	jɛˤjn
jgħix	jɛjʃ
jgħix	jɛˤjʃ
jhedded	jɛːddɛt
jhellel	jɛːllɛl
jibgħat	jɪbat
jibgħat	jɪbaˤːt
jibqa'	jɪpʔa
jidgħi	jɪdɛj
jidgħi	jɪdɛˤj
jidher	jɪdɛr
jiekol	jɪːkɔl
jien	jɪːn
jiena	jɪːnɐ
jieħu	jɪːħʊ
jilagħbu	jɪlaːbʊ
jilagħbu	jɪlaˤːbʊ
jilgħab	jɪlap
jilgħab	jɪlaˤːp
jingħata	jɪnaːta
jingħata	jɪnaˤːta
jirgħa	jɪra
jirgħa	jɪraˤː
jishar	jɪsar
jisimgħu	jɪsɪmɔw
jisimgħu	jɪsɪmɛˤw
jisimni	jɪsɪmnɪ
jisma'	jɪsma
jismax	jɪsmaːʃ
jistagħġeb	jɪstaːd͡ʒɛp
jistagħġeb	jɪstaˤːd͡ʒɛp
jistgħu	jɪstɔw
jistgħu	jɪstɛˤw
jitgħallem	jɪtaːllɛm
jitgħallem	jɪtaˤːllɛm
jitgħammed	jɪtaːmmɛt
jitgħammed	jɪtaˤːmmɛt
jitgħatta	jɪtaːtta
jitgħatta	jɪtaˤːtta
jixhed	jɪʃɛt
jiġi	jiːd͡ʒɪ
jiġi	jɪd͡ʒɪ
jobgħod	jɔbɔt
jobgħod	jɔbɔˤːt
jobogħdu	jɔbɔːdʊ
jobogħdu	jɔbɔˤːdʊ
joqgħod	jɔʔɔt
joqgħod	jɔʔɔˤːt
jorqod	jɔrʔɔt
joħloq	jɔħlɔʔ
jsib	jsiːp
jum	juːm
jumejn	jʊmɛjn
jwiegħed	jwɪːjɛt
jwiegħed	jwɪˤːɛˤt
jħobb	jħɔp
kaboċċa	kɐbɔt͡ʃːɐ
kanta	kanta
kanzunetta	kɐntsʊnɛtːɐ
kanzunetti	kɐntsʊnɛtːɪ
kapaċità	kɐpɐtʃɪta
karab	kaːrɐp
karbonju	kɐrbɔnjʊ
katalan	kɐtɐlɐːn
kbar	ɡbaːr
kelb	kɛlp
kelba	kɛlbɐ
kelma	kɛlma
kelmiet	kɛlmɪːt
kelmtejn	kɛlmtɛjn
kerha	kɛra
kewkba	kɛwɡbɐ
kiber	kɪbɛr
kiefer	kɪːfɛr
kiel	kɪːl
kiesaħ	kɪːsɐħ
kilwa	kɪlwa
kimika	kɪmiːkɐ
kiseb	kɪsɛp
kiser	kɪsɛr
kisser	kɪssɛr
kixef	kɪʃɛf
kkommunika	kkɔmmuːnɪka
klassifikazzjoni	klɐsːɪfɪkɐtːsjɔnːɪ
kliem	klɪːm
kliewi	klɪːwɪ
knisja	kniːsjɐ
kokk	kɔkː
kokka	kɔkːɐ
kokok	kɔkɔk
kollezzjoni	kɔlːɛtːsjɔːnɪ
kollha	kɔlla
kollhom	kɔllɔm
kollox	kɔllɔʃ
kollu	kɔllʊ
kompożizzjoni	kɔmpɔzɪtːsjɔːnɪ
komunità	kɔmʊnɪta
konservazzjoni	kɔnsɛrvɐtːsjɔːnɪ
kontra	kɔntrɐ
konġunzjoni	kɔnd͡ʒʊnt͡sjɔːnɪ
koordinazzjoni	kɔɔrdɪnɐt͡t͡sjɔːnɪ
koran	kɔraːn
koroh	kɔrɔħ
korsikan	kɔrsɪkɐːn
koxxa	kɔʃʃa
kristjaneżmu	krɪstjɐnɛzmʊ
kubrit	kʊbriːt
kukkudrill	kʊkːʊdrɪlː
kull	kʊll
kullimkien	kʊlːɪmkɪːn
kundizzjonali	kʊndɪtːsjɔnaːlɪ
kundizzjonalment	kʊndɪtːsjɔnɐlmɛnt
kundizzjoni	kʊndɪtːsjɔːnɪ
kuċċarina	kʊtt͡ʃariːna
kwiekeb	kwɪːkɛp
kwistjoni	kwɪstjɔːnɪ
kwotazzjoni	kʊɔtɐt͡t͡sjɔːnɪ
kwotazzjonijiet	kʊɔtɐt͡t͡sjɔnɪjɪːt
labar	lɐbɐr
labra	lɐbrɐ
lagħab	laːp
lagħab	laˤːp
lagħbu	laːbʊ
lagħbu	laˤːbʊ
lanqas	lanʔas
lanġasa	lɐndʒaːsɐ
lapes	laːpɛs
lapsijiet	lapsɪjɪːt
larinġ	lɐrɪntʃ
larinġa	lɐrɪndʒɐ
latin	lɐtiːn
lazarus	laːtsaʁʊs
laħaq	laħaʔ
lbieraħ	lbɪːraħ
le	lɛː
lejl	lɛjl
lejla	lɛjlɐ
lemin	lɛmiːn
