aachen	ɑː k eː n
bärs	b æː r s
bärsa	² b æ r s a
bävergäll	b ɛː v ɛ r j ɛ l
båda	b oː d a
båge	² b oː ɡ ɛ
bål	b oː l
bår	b oː r
båt	b oː t
böcker	¹ b ø kː ə r
bödel	b øː d ɛ l
bög	b øː ɡ
bögig	b øː ɡ ɪ ɡ
böra	b œ̞ r a
c	k
c	s
c	s eː
café	k a f eː
californium	k a l ɪ f oː r n ɪ ɵ m
calla	k oː l a
calle	² k a l ɛ
carina	k a ² r iː n a
carl	k ɑː r l
carpmes	k a ɾ p m eː s
centimeter	s ɛ n t ɪ m eː t ɛ r
centralort	² s ɛ n t r ɑː l ʊ r t
cesium	s eː s ɪ ɵ m
cettisångare	s ɛ t ɪ s ɔ ŋ a r ɛ
champagne	ɧ a m p a n j
champinjon	ɧ a m p ɪ n jː u n
chans	ɕ a n s
chans	ɕ a ŋ s
chans	ɧ a n s
chans	ɧ a ŋ s
chark	ɧ a r k
charkuteri	ɧ a r k ɵ t ɛ r iː
charlie	ɕ ɑː ɭ ɪ
charlotta	ɧ a r ² ɭ o t a
charlotte	ɧ a ɭ o t
charm	ɧ a r m
charmör	ɧ a r m ɶː r
chaufför	ɧ a f œː r
chaufför	ɧ ɔ f œː r
check	ɕ ɛ kː
cheddar	ɕ ɛ dː a r
chef	ɧ eː f
chef	ɧ ɛː f
chips	ɕ ɪ p s
choklad	ɧ ʊ k l ɑː d
cineast	s ɪ n e a s t
citron	s ɪ t r uː n
clown	k l a ʊ n
clownfisk	k l a ʊ n f ɪ s k
container	k ɔ n t ɛ j n ɛ r
cool	k uː l
cowboy	k a ʊ̯ b ɔ j
croissant	k r ʊ a s a ŋ
cup	k a p
cup	k ɵ p
cyberattack	s yː b ɛ r a t a k
cykel	s yː k e l
cykel	s ʏ k e l
dadel	¹ d a d ɛ l
dadel	¹ d ɑː d ɛ l
dag	d ɑː ɡ
dags	d a k s
dags	d ɑː ɡ s
dam	d ɑː m
damm	d a m
dammsnäppa	d a m s n ɛ p a
dan	d ɑː n
danmark	¹ d a n m a r k
dansk	d a n s k
danska	² d a n s k a
danskjävel	d a n s k j ɛː v ɛ l
dativ	d ɑː t iː v
dator	² d ɑː t ɔ r
dator	² d ɑː t ʊ r
de	d eː
de	d iː
de	d ɔ m
de	d ɪ
december	d ɛ s ɛ m b ɛ r
decennium	d ɛ s ɛ n ɪ ɵ m
decimeter	d ɛ s ɪ m eː t ɛ r
deg	d eː ɡ
dekameter	d ɛ k a m eː t ɛ r
dela	d eː l a
dem	d ɔ m
den	d ɛ nː
denne	d ɛ nː ɛ
derp	d ɚ p
derp	d ɝ p
design	d ɛ s a j n
designa	d ɪ s a j n a
dessa	d ɛ sː a
dessutom	d e s ʉː t ɔ m
det	d eː
det	d eː t
det	d ə
det	d ə t
det	d ɛː
det	r ɛ
det	ɛ t
detektiv	d ɛ t ɛ k t iː v
detta	d ɛ tː a
dig	d ɛ j
digitaliseringsminister	d ɪ ɡ ɪ t a l ɪ s eː r ɪ ŋ s m ɪ n ɪ s t ɛ r
dimmig	d ɪ m ɪ ɡ
ding	d ɪ ŋ
dirr	d ɪ r
diskrepans	d ɪ s k r ɛ p a n s
diskrepans	d ɪ s k r ɛ p a ŋ s
diskussion	d ɪ s k ɵ ɧ uː n
djungel	d j ʉ ŋ e l
djungel	j ɵ ŋ ɛ l
djup	j ʉː p
djuphav	j ʉː p h ɑː v
djupt	j ʉː p t
djur	j ʉː r
djärv	j ɛ r v
djävla	j ɛː v l a
dock	d ɔ kː
dog	d uː ɡ
dogg	d ɔ ɡ
doktor	d ɔ k t ɔ r
dom	d oː m
dom	d ʊ m
dopparedagen	² d ɔ p a r ɛ d ɑː n
dopparedagen	² d ɔ p a r ɛ d ɑː ɡ ɛ n
dopping	d ɔ p ɪ ŋ
dos	d uː s
dra	d r ɑː
dragen	² d r ɑː ɡ ɛ n
dragen	¹ d r ɑː ɡ ɛ n
dragon	d r a ɡ uː n
dragspel	d r ɑː ɡ s p eː l
drake	d r ɑː k ɛ
dras	d r a s
dras	d r ɑː s
dressing	d r e s i ŋ
dricka	d r ɪ kː a
dricker	d r ɪ kː e r
drillsnäppa	d r ɪ l s n ɛ p a
drog	d r oː ɡ
drog	d r uː ɡ
drogs	d r oː ɡ s
drogs	d r uː ɡ s
dromedar	d r ʊ m ɛ d ɑː r
droppen	d r ɔ pː ɛ n
dränera	d r ɛ ² n eː r a
dräng	d r ɛ ŋː
dröm	d r œ mː
du	d ʉː
dubbel	d ɵ b ɛ l
dubbelbeckasin	d ɵ b ɛ l b ɛ k a s iː n
dubbelgångare	d ɵ b ɛ l ɡ ɔ ŋ a r ɛ
duk	d ʉː k
dum	d ɵ mː
dumbom	d ɵ m b ʊ m
dumhuvud	d ɵ m h ɵ v ɵ d
dun	d ʉː n
dusch	d ɵ ɕ
dusch	d ɵ ɧ
duscha	² d ɵ ɕ a
duscha	² d ɵ ɧ a
dussin	² d ɵ s ɪ n
dvärg	d v ɛ r j
dvärgbeckasin	d v ɛ r j b ɛ k a s iː n
dvärgkanadagås	d v ɛ ɾ j k a n a d a ɡ oː s
dvärgmus	d v ɛ r j m ʉː s
dvärgmås	d v ɛ r j m oː s
dvärgskarv	d v ɛ r j s k a r v
dvärgspov	d v ɛ r j s p uː v
dvärgsumphöna	d v ɛ ɾ j s ɵ m p h øː n a
dvärgsångare	d v ɛ r j s ɔ ŋ a r ɛ
dygna	d ʏ ŋː n a
dyr	d yː r
dysfori	d y s f u r iː
dysterkvist	d ʏ s t ɛ r k v ɪ s t
däka	² d ɛː k a
där	d ɛː r
då	d oː
dålig	d oː l ɪ ɡ
död	d øː d
döda	² d øː d a
dölja	d œ l j a
dörr	d œ̞ rː
ed	eː d
edvin	eː d v ɪ n
efor	e f oː r
efter	ɛ f t ɛ r
egentlig	ɛ j ɛ n t l ɪ ɡ
egentlig	ɛ j ɛ ŋ k l ɪ ɡ
egentligen	ɛ j ɛ n t l ɪ ɡ ɛ n
egentligen	ɛ j ɛ ŋ k l ɪ ɡ ɛ n
egg	ɛ ɡː
egga	² ɛ ɡ a
egypten	ɛ ¹ j ʏ p t ɛ n
einsteinium	a j n s t a j n ɪ ɵ m
ek	eː k
ekmes	eː k m eː s
ekollon	² eː k ɔ l ɔ n
eksångare	eː k s ɔ ŋ a r ɛ
el	eː l
elak	eː l a k
elak	eː l ɑː k
elcykel	eː l s ʏ k ɛ l
eld	ɛ l d
eldar	ɛ l d a r
eldslandet	ɛ l d s l a n d ɛ t
elefanta	ɛ l ɛ f a n t a
elegant	ɛ l ɛ ɡ a n t
elektron	ɛ l ɛ k t r oː n
eleonorafalk	ɛ l ɛ ɔ n oː r a f a l k
elfte	ɛ l f t ɛ
eller	ɛ l ɛ r
elva	ɛ l v a
emigrant	ɛ m ɪ ɡ r a n t
emulera	ɛ m ɵ l eː r a
en	eː n
en	ɛ nː
en	ɛ ŋː
enastående	² eː n a s t oː ɛ n d ɛ
enda	ɛ n d a
energi	ɛ nː ə r ɧ iː
enfaldig	eː n f a l d ɪ ɡ
engagemang	a ŋ ɡ a ɧ ɛ m a ŋ
engagera	a ŋ ɡ a ɧ eː r a
engelska	e ŋ e l s k a
england	ɛ ŋ l a n d
england	ɛ ŋ l ɑ n
england	ɛ ŋ l ɑ n d
enhetlig	eː n h eː t l ɪ ɡ
enkel	ɛ ŋ k ɛ l
enkelbeckasin	ɛ n k ɛ l b ɛ k a s iː n
ensam	ɛ nː s a mː
ensamhet	eː n s a m h eː t
ensamhet	ɛ n s a m h eː t
entrecôte	a n t r ɛ k oː
entrecôte	a n t r ɛ k oː t
entrecôte	a ŋ t r ɛ k oː
entrecôte	a ŋ t r ɛ k oː t
entré	a n t r eː
entré	a ŋ t r eː
entusiasm	a n t ɵ s ɪ a s m
entusiasm	a ŋ t ɵ s ɪ a s m
entusiasm	ɛ n t ɵ s ɪ a s m
er	eː r
era	eː r a
erbium	ɛ r b ɪ ɵ m
erinra	eː r ɪ n r a
erkänna	eː r ɕ ɛ n a
erkänt	eː r ɕ ɛ n t
erkänt	ɛː r ɕ ɛ n t
errata	e r ɑː t a
errata	ɛ r ɑː t a
esperanto	ɛ s p ə r a n t ɔ
esperanto	ɛ s p ə r a n t ʊ
estniska	ɛ s t n ɪ s k a
ett	ɛ t
euro	¹ j uː r ʊ
euro	¹ ɛ v r ʊ
euro	¹ ɛ͡ɵ r ʊ
europa	ɛ r uː p a
europium	ɛ r uː p ɪ ɵ m
europé	ɛ r ʊ p eː
eva	² eː v a
evelina	ɛ v ɛ ² l iː n a
event	ɛ v ɛ n t
experiment	ɛ k s p ɛ r ɪ m ɛ n t
fabrik	f a b r iː k
fackverk	f a k v ɛ r k
fader	f ɑː d ɛ r
falang	f a l a ŋ
falla	f a lː a
fallskärm	f a l ɧ ɛ r m
fan	f aː aː n
fan	f aː n
fan	f ɛː n
far	f ɑː r
fars	f ɑː r s
fartkamera	f ɑː ʈ k ɑː m ɛ r a
farväl	f a r v ɛː l
farväl	f ɑː r v ɛː l
fatabur	² f ɑː t a b ʉː r
fattig	f a t ɪ ɡ
februari	f ɛ b r ɵ ɑː r ɪ
fejs	f ɛ j s
fem	f ɛ m
femtal	f ɛ m t ɑː l
femte	f ɛ m t ɛ
femtio	² f ɛ m t ɪ
femtio	² f ɛ m t ɪ ʊ
femtiöring	f ɛ m t ɪ œː r ɪ ŋ
femton	f ɛ m t ɔ n
fena	f eː n a
fest	f ɛ sː t
fet	f eː t
fett	f ɛ t
fia	² f iː a
ficka	f ɪ kː a
fiende	² f iː ɛ n d ɛ
fientlig	f ɪ ɛ n t l ɪ ɡ
figur	f ɪ ɡ ʉː r
fik	f iː k
fika	² f iː k a
fil	f iː l
filippa	f ɪ ² l ɪ p a
filippintörnskata	f ɪ l ɪ p iː n t øː r n s k ɑː t a
filmatisera	f ɪ l m a t ɪ s eː r a
filmjölk	f iː l m j œ l k
filosofie	f ɪ l ɔ s ɔ ² f iː ɛ
filosofie	f ɪ l ʊ s ʊ ² f iː ɛ
filosofisk	f ɪ l ʊ s oː f ɪ s k
fimpa	² f ɪ m p a
fin	f iː n
final	f ɪ n ɑː l
finger	f ɪ ŋ ɛ r
fingers	f ɪ ŋ ɛ r s
finland	f i n l ɑ n d
finland	f ɪ n l a n d
finna	f ɪ n a
finnjävel	f ɪ n j ɛː v ɛ l
finska	² f ɪ n s k a
firre	² f ɪ r ɛ
fisk	f ɪ s k
fiske	² f ɪ s k ɛ
fisken	f ɪ sː k ɛ n
fiskens	f ɪ sː k ɛ n s
fisktärna	f ɪ s k t ɜ r n a
fission	f ɪ ɧ uː n
fitta	f ɪ tː a
fittig	f ɪ tː ɪ ɡ
fjantig	² f j a n t ɪ ɡ
fjol	f j uː l
fjompig	f j ɔ mː p ɪ ɡ
fjor	f j uː r
fjord	f j oː r d
fjord	f j uː r d
fjortis	f j oː ʈ ɪ s
fjortis	f j uː ʈ ɪ s
fjorton	f j uː ʈ ɔ n
fjorton	f j ʊ ʈ ɔ n
fjällabb	f j ɛ l l a b
fjällgås	f j ɛ l ɡ oː s
fjällpipare	f j ɛ l p iː p a ɾ ɛ
fjällripa	f j ɛ l ɾ iː p a
fjälluggla	f j ɛ l ɵ ɡ l a
fjärd	f j æː ɖ
fjärde	f j ɛː r d ɛ
fjäril	f j ɛː r ɪ l
fjärt	f j æ ʈ
flarra	² f l a r a
flata	f l ɑː t a
flicka	f l ɪ kː a
flickan	f l ɪ kː a n
flickor	f l ɪ k ʊ r
flod	f l uː d
flodvåg	f l uː d v oː ɡ
flummig	f l ɵ m ɪ ɡ
fluor	f l oː r
flygskam	f l yː ɡ s k a m
flyktig	f l ʏ k t ɪ ɡ
flyta	² f l yː t a
flytta	f l ʏ tː a
fläckdrillsnäppa	f l ɛ k d r ɪ l s n ɛ p a
flå	f l oː
flöte	² f l øː t ɛ
focka	f ɔ k a
folkmusik	² f ɔ l k m ɵ s iː k
folköl	² f ɔ l k øː l
fonetik	f ɔ n e t iː k
formation	f ɔ r m a ɧ uː n
fors	f ɔ ʂː
forstmästare	f ɔ r s t m ɛ s t ɑ r e
forstmästare	² f ɔ r s t m ɛ s t a r ɛ
forstväsen	f ɔ r s t v eː s e n
forstväsen	² f ɔ r s t v ɛː s ɛ n
fort	f ɔ ʈ
fort	f ʊ ʈ
fosfor	f ɔ s f ɔ r
foster	f ʊ s t ɛ r
fosterland	f ʊ s t æ r l a n d
fot	f uː t
fotboll	² f uː t b ɔ l
fotnot	f uː t n uː t
foula	f a ʊ l a
foxtrot	f ɔ k s t r ɔ t
frakt	f r a k t
fram	f r a m
framför	² f r a m f œː r
fransk	f r a n s k
franska	² f r a n s k a
fred	f r eː d
fredag	f r eː d a
fredag	f r eː d ɑː ɡ
fredrika	f r eː d ² r iː k a
fredrika	f r ɛ d ² r iː k a
freestyle	f ɹ iː s t a j l
fri	f r iː
friggebod	² f r ɪ ɡ ɛ b uː d
frihet	f r iː h eː t
fritiof	¹ f r ɪ t ɕ ɔ f
fritis	¹ f r iː t ɪ s
fru	f r ʉː
frugge	² f r ɵ ɡ ɛ
frukt	f r ɵ k t
frunch	f r ɵ n ɧ
frys	f r yː s
främlingsfientlig	² f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ ɡ
främlingsfientlighet	² f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ ɡ h eː t
frände	f r ɛ n d ɛ
fråga	f r oː ɡ a
från	f r oː n
från	f r ɔ n
frånvaro	² f r oː n v ɑː r ʊ
frö	f r øː
fröjd	f r œ j d
fröken	f r øː k ɛ n
frös	f r øː s
fubbick	f ɵ b ɪ k
ful	f ʉː l
full	f ɵ l
fungera	f ɵ ŋ ɡ eː r a
funka	f ɵ ŋ k a
funktion	f ɵ ŋ k ɧ uː n
funktionell	f ɵ ŋ k ɧ ʊ n ɛ l
fur	f ʉː r
furnera	f ɵ r n eː r a
fusion	f ɵ ɧ uː n
fusk	f ɵ s k
futurum	f ɵ t ʉː r ɵ m
fy	f yː
fyr	f yː r
fyra	f yː r a
fyrmänning	² f yː r m ɛ n ɪ ŋ
fyrtal	f yː r t ɑː l
fyrtio	² f œ r t ɪ
fyrtio	² f œ r t ɪ ʊ
fä	f ɛː
fälad	² f ɛː l a d
fälad	² f ɛː l ɑː d
fältsångare	f ɛ l t s ɔ ŋ a r ɛ
fän	f ɛː n
fänkål	f ɛː n k oː l
fänrik	f ɛ n r ɪ k
färg	f ɛ r j
färsk	f ɛ r s k
färskvatten	f ɛ r s k v a t ɛ n
fäst	f ɛ s t
få	f oː
fågel	f oː ɡ ə l
fågel	f oː ɡ ɛ l
fårakläder	² f oː r a k l ɛː d ɛ r
fåtölj	f ɔ t œ l j
fåtölj	f ʊ t œ l j
föda	f øː d a
födelsedag	f øː d ɛ l s ɛ d ɑː ɡ
födelsedag	f øː l s ɛ d ɑː ɡ
fönster	f œ n s t ɛ r
fönstertittarsjuka	² f œ n s t ɛ r t ɪ t a r ɧ ʉ̟ː k a
för	f øː r
förbruka	f œ r b r ʉː k a
förbud	f œ r b ʉː d
förbundskapten	f œ r ² b ɵ n d s k a p t eː n
förbutik	f øː r b ʉː t iː k
fördriva	f œ r ɖ r iː v a
fördöma	f ɵ r d ɵ m a
före	² f øː r ɛ
förebrå	f øː r ɛ b r oː
föregångare	f øː r ɛ ɡ ɔ ŋ a r ɛ
förena	f œ r eː n a
förening	f œ r eː n ɪ ŋ
förete	f øː r ɛ t eː
förgänglig	f œ r j ɛ ŋ l ɪ ɡ
förgäves	f œ r j ɛː v ɛ s
förnuftig	f œ ɳ ɵ f t i ɡ
förr	f œ rː
förrän	f œ r ɛ n
försiktighet	f øː r s ɪ k t ɪ ɡ h eː t
förskolelärare	f øː r s k uː l ɛ l ɛː r a r ɛ
förskollärare	f øː r s k uː l ɛ l ɛː r a r ɛ
förskräcklig	f œ r s k r ɛ k l ɪ ɡ
först	f œ ʂ ʈ
första	f œ ʂ ʈ a
