ং	ŋ
অকৃতোদ্বাহা	ɔ k r i t̪ o d̪ b a ɦ a
অকৃত্য	ɔ k r i t̪ t̪ o
অকৃত্যকারী	ɔ k r i t̪ t̪ o k a r i
অকৃত্রিম	ɔ k r i t̪ t̪ r i m
অকৃত্রিমতা	ɔ k r i t̪ t̪ r i m ɔ t̪ a
অকৃপ	ɔ k r i p o
অকৃপণ	ɔ k r i p ɔ n
অকৃপণতা	ɔ k r i p ɔ n ɔ t̪ a
অকৃপা	ɔ k r i p a
অকৃষ্ট	ɔ k r i ʃ ʈ o
অকৃষ্ণ	ɔ k r i ʃ n o
অকৃষ্ণকর্মা	ɔ k r i ʃ n o k ɔ r m a
অকেলাস	ɔ k e l a s
অকেলাস	ɔ k e l a ʃ
অকেশ	ɔ k e ʃ
অকেশা	ɔ k e ʃ a
অকেশিনী	ɔ k e ʃ i n i
অকেশী	ɔ k e ʃ i
অকৈতব	ɔ k o i t̪ ɔ b
অকোপ	ɔ k o p
অকোপিত	ɔ k o p i t̪ o
অকোপী	ɔ k o p i
অকোবিদ	ɔ k o b i d̪
অকৌশল	ɔ k o u̯ ʃ ɔ l
অক্কা	ɔ kː a
অক্কাপ্রাপ্তি	ɔ k k a p r a p t̪ i
অক্টোপাস	ɔ k ʈ o p a ʃ
অক্টোবর	ɔ k ʈ o b ɔ ɾ
অক্ত	ɔ k t̪ o
অক্রম	ɔ k k r ɔ m
অক্রমিক	ɔ k k r ɔ m i k
অক্রিয়কর্মা	ɔ k ɾ i̯ ɔ k ɔ ɾ m a
অক্রীত	ɔ k k r i t̪ o
অক্রূর	ɔ k k r u r
অক্রূর	ɔ k k r u r o
অক্লম	ɔ k k l o m
অক্লান্ত	ɔ k k l a n t̪ o
অক্লান্তকর্মা	ɔ k k l a n t̪ o k ɔ r m a
অক্লিষ্ট	ɔ k l i ʃ ʈ o
অক্লিষ্টকর্মা	ɔ k l i ʃ ʈ o k ɔ r m a
অক্লিষ্টশোভা	ɔ k l i ʃ ʈ o ʃ o bʱ a
অক্লিষ্টস্নেহ	ɔ k l i ʃ ʈ o s n e h o
অক্লীব	ɔ k k l i b
অক্লীব	ɔ k k l i b o
অক্লেশ	ɔ k k l e ʃ
অক্লেশে	ɔ k k l e ʃ e
অক্ষ	ɔ k kʰ ɔ
অক্ষক্রীড়া	ɔ k kʰ o k r i ɽ a
অক্ষটি	ɔ k kʰ o ʈ i
অক্ষত	ɔ k kʰ ɔ t̪ o
অক্ষতদেহ	ɔ k kʰ ɔ t̪ o d̪ e h o
অক্ষতদেহে	ɔ k kʰ ɔ t̪ o d̪ e h e
অক্ষতশরীর	ɔ k kʰ ɔ t̪ o ʃ o r i r
অক্ষতশরীরে	ɔ k kʰ ɔ t̪ o ʃ o r i r e
অক্ষপাদ	ɔ k kʰ o p a d̪
অক্ষবাট	ɔ k kʰ o b a ʈ
অক্ষবিদ	ɔ k kʰ o b i d̪
অক্ষবিৎ	ɔ k kʰ o b i t̪
অক্ষবৃত্ত	ɔ kʰː ɔ b ɾ i t̪ː o
অক্ষবেত্তা	ɔ k kʰ o b e t̪ t̪ a
অক্ষম	ɔ k kʰ o m
অক্ষম	ɔ k kʰ ɔ m
অক্ষমতা	ɔ k kʰ o m o t̪ a
অক্ষমা	ɔ k kʰ ɔ m a
অক্ষমালা	ɔ k kʰ o m a l a
অক্ষয়	ɔ kʰː ɔ e̯
অক্ষয়কীর্তি	ɔ kʰː ɔ e̯ k i ɾ t̪ i
অক্ষর	o k kʰ o r
অক্ষর	ɔ k kʰ o r
অক্ষর	ɔ k kʰ ɔ r
অক্ষরজ্ঞান	ɔ k kʰ ɔ r ɡ æ n
অক্ষরডম্বর	ɔ kʰː ɔ ɾ o ɖ ɔ m b ɔ ɾ
অক্ষরবিন্যাস	ɔ k kʰ ɔ r b i n n a ʃ
অক্ষরবৃত্ত	ɔ k kʰ ɔ ɾ b ɾ i t̪ t̪ o
অক্ষরমালা	ɔ kʰː ɔ ɾ m a l a
অক্ষরান্তরীকরণ	ɔ k kʰ ɔ r a n t̪ o r i k ɔ r ɔ n
অক্ষরেখা	ɔ kʰː ɔ ɾ e kʰ a
অক্ষশক্তি	ɔ kʰː ɔ ʃ ɔ k t̪ i
অক্ষসূত্র	ɔ k kʰ o ʃ u t̪ t̪ r o
অক্ষহার	ɔ k kʰ o h a r
অক্ষাংশ	ɔ k kʰ a ŋ ʃ o
অক্ষার	ɔ k kʰ a r
অক্ষারলবণ	ɔ k kʰ a r l ɔ b ɔ n
অক্ষি	o kʰː i
অক্ষি	ɔ kʰː i
অক্ষিকোটর	o k kʰ i k o ʈ ɔ r
অক্ষিগত	o k kʰ i ɡ ɔ t̪ ɔ
অক্ষিগোলক	o k kʰ i ɡ o l o k
অক্ষিণ্ণ	ɔ k kʰ i n n ɔ
অক্ষিপক্ষ্ম	o k kʰ i p ɔ k k h ɔ
অক্ষিপট	o k kʰ i p ɔ ʈ
অক্ষিপটল	o k kʰ i p ɔ ʈ o l
অক্ষিপুট	o k kʰ i p u ʈ
অক্ষিভিষক	o k kʰ i bʱ i ʃ ɔ k
অক্ষিলোম	ɔ kʰː i l o m
অক্ষিশালাক্য	ɔ kʰː i ʃ a l a kː o
অক্ষীয়	ɔ kʰː i̯ o
অক্ষুণ্ণ	ɔ k kʰ u n n ɔ
অক্ষুব্ধ	ɔ k kʰ u b d̪ʱ o
অক্ষুভিত	ɔ k kʰ u bʱ i t̪ o
অক্ষেমা	ɔ k kʰ e m a
অক্ষোভ	ɔ k kʰ o bʱ
অক্ষোভিত	ɔ k kʰ o bʱ i t̪ o
অক্ষোভে	ɔ k kʰ o bʱ e
অক্ষোভ্য	ɔ k kʰ o b bʱ o
অক্ষৌহিণী	ɔ k kʰ o u ɦ i n i
অক্সফোর্ড	ɔ k ʃ ɔ pʰ o ɾ ɖ ɔ
অক্সাইড	ɔ k s a i ɖ
অক্সিজেন	ɔ k ʃ i d͡ʒ e n
অক্সিডেশন	ɔ k ʃ i ɖ e ʃ ɔ n
অখণ্ড	ɔ kʰ ɔ n ɖ o
অখণ্ডতা	ɔ kʰ ɔ n ɖ o t̪ a
অখণ্ডিত	ɔ kʰ o n ɖ i t̪ o
অখণ্ড্য	ɔ kʰ ɔ n ɖ o
অখন	ɔ kʰ o n
অখর্ব	ɔ kʰ ɔ r b o
অখল	ɔ kʰ ɔ l
অখাত	ɔ kʰ a t̪
অখাদ্য	ɔ kʰ a d̪ d̪ o
অখিণ্ণ	ɔ kʰ i n n o
অখিদ্য	ɔ kʰ i d̪ d̪ o
অখিদ্যমান	ɔ kʰ i d̪ d̪ o m a n
অখিল	o kʰ i l
অখিল	ɔ kʰ i l
অখিলআধান	ɔ kʰ i l a d̪ʱ a n
অখিলখণ্ড	ɔ kʰ i l kʰ ɔ n ɖ o
অখিলেশ	ɔ kʰ i l e ʃ
অখুশি	ɔ kʰ u ʃ i
অখেদ	ɔ kʰ e d̪
অখ্যাত	ɔ k kʰ æ t̪ o
অখ্যাতনামা	ɔ kʰ æ t̪ o n a m a
অখ্যাতনাম্নী	ɔ k kʰ æ t̪ o n a m n i
অখ্যাতি	ɔ k kʰ æ t̪ i
অখ্যাতিকর	ɔ k kʰ æ t̪ i k ɔ r
অখ্যাতিকারক	ɔ k kʰ æ t̪ i k a r ɔ k
অগচ্ছিত	ɔ ɡ o t͡ʃ t͡ʃʰ i t̪ o
অগঠন	ɔ ɡ ɔ ʈʰ ɔ n
অগণন	ɔ ɡ ɔ n ɔ n
অগণিত	ɔ ɡ o n i t̪ o
অগণ্য	ɔ ɡ o n n o
অগতি	ɔ ɡ o t̪ i
অগতিক	ɔ ɡ o t̪ i k
অগত্যা	ɔ ɡ o t̪ t̪ a
অগদ	ɔ ɡ ɔ d̪
অগদতন্ত্র	ɔ ɡ ɔ d̪ t̪ ɔ n t̪ r ɔ
অগন্তব্য	ɔ ɡ ɔ n t̪ o b b o
অগভীর	ɔ ɡ o bʱ i r
অগম	ɔ ɡ ɔ m
অগম্য	ɔ ɡ o m m o
অগম্যা	ɔ ɡ o m m a
অগরু	ɔ ɡ o r u
অগর্হিত	ɔ ɡ o r h i t̪
অগর্হিত	ɔ ɡ o r h i t̪ o
অগস্ট	ɔ ɡ ɔ s ʈ
অগস্ট	ɔ ɡ ɔ s ʈ o
অগস্ট	ɔ ɡ ɔ ʃ ʈ
অগস্ট	ɔ ɡ ɔ ʃ ʈ o
অগস্ত্য	ɔ ɡ o s t̪ o
অগস্ত্য	ɔ ɡ ɔ s t̪ o
অগস্ত্যমুনি	ɔ ɡ o s t̪ o m u n i
অগস্ত্যমুনি	ɔ ɡ ɔ s t̪ o m u n i
অগা	ɔ ɡ a
অগাকান্ত	ɔ ɡ a k a n t̪ o
অগাধ	ɔ ɡ a d̪ʱ
অগামারা	ɔ ɡ a m a r a
অগারাম	ɔ ɡ a r a m
অগাষ্ট	ɔ ɡ a s ʈ
অগাষ্ট	ɔ ɡ a ʃ ʈ
অগাস্ট	a ɡ ɔ s ʈ
অগীত	ɔ ɡ i t̪ o
অগুণ	ɔ ɡ u n
অগুনতি	ɔ ɡ u n o t̪ i
অগুনতি	ɔ ɡ u n t̪ i
অগুন্তি	ɔ ɡ u n t̪ i
অগুয়ান	ɔ ɡ u a n
অগুরু	ɔ ɡ u r u
অগো	ɔ ɡ o
অগোছালো	ɔ ɡ o t͡ʃʰ a l o
অগোপন	ɔ ɡ o p ɔ n
অগোর	ɔ ɡ o r
অগৌণ	ɔ ɡ o u n o
অগৌণে	ɔ ɡ o u n e
অগৌর	ɔ ɡ o u r
অগৌর	ɔ ɡ o u r o
অগৌরব	ɔ ɡ o u r ɔ b
অগৌরবর্ণ	ɔ ɡ o u r o b ɔ r n o
অগৌরবর্ণা	ɔ ɡ o u r o b ɔ r n a
অগৌরবা	ɔ ɡ o u r ɔ b a
অগৌরী	ɔ ɡ o u r i
অগ্নি	o ɡ n i
অগ্নিকণা	o ɡ n i k ɔ n a
অগ্নিকর্ম	o ɡ n i k ɔ r m o
অগ্নিকল্প	o ɡ n i k ɔ l p o
অগ্নিকাণ্ড	o ɡ n i k a n ɖ o
অগ্নিকুণ্ড	ɔ ɡ n i k u n ɖ o
অগ্নিকোণ	o ɡ n i k o n
অগ্নিক্রিয়া	ɔ ɡ n i k r i a
অগ্নিক্রীড়া	o ɡ n i k r i ɽ a
অগ্নিগর্ভ	o ɡ n i ɡ ɔ r bʱ o
অগ্নিগিরি	o ɡ n i ɡ i r i
অগ্নিতপ্ত	o ɡ n i t̪ ɔ p t̪ o
অগ্নিতুল্য	o ɡ n i t u l l o
অগ্নিদগ্ধ	o ɡ n i d̪ ɔ ɡ d̪ʱ o
অগ্নিদাতা	o ɡ n i d̪ a t̪ a
অগ্নিদাত্রী	o ɡ n i d̪ a t̪ t̪ r i
অগ্নিদাহ	o ɡ n i d̪ a h o
অগ্নিপক্ব	o ɡ n i p ɔ k k ɔ
অগ্নিপরীক্ষা	o ɡ n i p o r i k kʰ a
অগ্নিপুরুষ	o ɡ n i p u r u ʃ
অগ্নিপ্রবেশ	o ɡ n i p r o b e ʃ
অগ্নিপ্রস্তর	o ɡ n i p r ɔ s t̪ ɔ r
অগ্নিবর্ণ	o ɡ n i b ɔ r n o
অগ্নিবর্ধক	o ɡ n i b ɔ r d̪ʱ ɔ k
অগ্নিবর্ষণ	o ɡ n i b o r ʃ ɔ n
অগ্নিবর্ষী	o ɡ n i b o r ʃ i
অগ্নিবর্হ	o ɡ n i b ɔ r h o
অগ্নিবাণ	o ɡ n i b a n
অগ্নিবিম্ব	o ɡ n i b i m b ɔ
অগ্নিবৃদ্ধি	o ɡ n i b r i d̪ d̪ʱ i
অগ্নিবৃষ্টি	o ɡ n i b r i ʃ ʈ i
অগ্নিভাণ্ড	o ɡ n i bʱ a n ɖ o
অগ্নিমন্ত্র	o ɡ n i m ɔ n t̪ r o
অগ্নিমান্দ্য	o ɡ n i m a n d̪ o
অগ্নিমূর্তি	o ɡ n i m u r t̪ i
অগ্নিমূল্য	ɔ ɡ n i m u l l ɔ
অগ্নিশর্মা	o ɡ n i ʃ ɔ r m a
অগ্নিশিখা	o ɡ n i ʃ i kʰ a
অগ্নিশুদ্ধ	o ɡ n i ʃ u d̪ d̪ʱ o
অগ্নিশুদ্ধি	o ɡ n i ʃ u d̪ d̪ʱ i
অগ্নিসংস্কার	o ɡ n i ʃ ɔ ŋ s k a r
অগ্নিসহ	o ɡ n i ʃ ɔ h ɔ
অগ্নিসেবন	o ɡ n i ʃ e b ɔ n
অগ্নিস্ফুলিঙ্গ	o ɡ n i s pʰ u l i ŋ ɡ o
অগ্নিসৎকার	o ɡ n i ʃ ɔ t̪ k a r
অগ্নিহোত্র	o ɡ n i h o t̪ t̪ r o
অগ্নিহোত্রী	o ɡ n i h o t̪ t̪ r i
অগ্ন্যস্ত্র	o ɡ n o s t̪ r o
অগ্ন্যুদ্গম	o ɡ n u d̪ ɡ ɔ m
অগ্ন্যুদ্গার	o ɡ n u d̪ ɡ a r
অগ্ন্যুদ্‌গম	o ɡ n u d̪ ɡ ɔ m
অগ্ন্যুদ্‌গার	o ɡ n u d̪ ɡ a r
অগ্ন্যুৎপাত	o ɡ n u t̪ p a t̪
অগ্ন্যুৎসব	o ɡ n u t̪ ʃ ɔ b
অগ্র	ɔ ɡ ɡ r o
অগ্রগ	ɔ ɡ ɡ r ɔ ɡ ɔ
অগ্রগণ্য	ɔ ɡ ɡ r o ɡ o n n o
অগ্রগতি	ɔ ɡ ɡ r o ɡ o t̪ i
অগ্রগমন	ɔ ɡ ɡ r o ɡ ɔ m ɔ n
অগ্রগামিনী	ɔ ɡ ɡ r ɔ ɡ a m i n i
অগ্রগামী	ɔ ɡ ɡ r ɔ ɡ a m i
অগ্রণী	ɔ ɡ ɡ r o n i
অগ্রণীশোভন	ɔ ɡ ɡ r o n i ʃ o bʱ o n
অগ্রদানী	ɔ ɡ ɡ r o d̪ a n i
অগ্রদূত	ɔ ɡ ɡ r o d̪ u t̪
অগ্রনী	ɔ ɡ ɡ r o n i
অগ্রনেতা	ɔ ɡ ɡ r o n e t̪ a
অগ্রপথিক	ɔ ɡ ɡ r o p o t̪ʰ i k
অগ্রবর্তিনী	ɔ ɡ ɡ r o b o r t̪ i n i
অগ্রবর্তী	ɔ ɡ ɡ r o b o r t̪ i
অগ্রভাগ	ɔ ɡ ɡ r o bʱ a ɡ
অগ্রমহিষী	ɔ ɡ ɡ r o m o h i ʃ i
অগ্রসর	ɔ ɡ ɡ r ɔ ʃ ɔ r
অগ্রসরণ	ɔ ɡ ɡ r o ʃ ɔ r ɔ n
অগ্রসূচনা	ɔ ɡ ɡ ɾ ɔ ʃ u t ʃ ɔ n a
অগ্রসৃতি	ɔ ɡ ɡ r o s r i t̪ i
অগ্রস্থ	ɔ ɡ ɡ r ɔ s t̪ʰ ɔ
অগ্রস্থিত	ɔ ɡ ɡ r o s t̪ʰ i t o
অগ্রহায়ণ	ɔ ɾ ɡ o ɦ a e̯ ɔ n
অগ্রাধিকার	ɔ ɡ ɡ r a d̪ʱ i k a r
অগ্রিম	o ɡ ɡ r i m
অগ্রিমক	o ɡ ɡ r i m ɔ k
অগ্রে	ɔ ɡ ɡ r e
অগ্র‍্য	ɔ ɡ ɡ r o
অঘ	ɔ ɡʱ
অঘটন	ɔ ɡʱ ɔ ʈ ɔ n
অঘটিত	ɔ ɡʱ o ʈ i t̪ o
অঘর	ɔ ɡʱ ɔ r
অঘা	ɔ ɡʱ a
অঘাকান্ত	ɔ ɡʱ a k a n t̪ o
অঘাট	ɔ ɡʱ a ʈ
অঘামারা	ɔ ɡʱ a m a r a
অঘারাম	ɔ ɡʱ a r a m
অঘৃণ্য	ɔ ɡʱ r i n n o
অঘোর	ɔ ɡʱ o r
অঘোরতন্ত্রী	ɔ ɡʱ o r o t̪ o n t̪ r i
অঘোরপন্থি	ɔ ɡʱ o r o p o n t̪ʰ i
অঘোরমন্ত্র	ɔ ɡʱ o r o m ɔ n t̪ r o
অঘোরী	ɔ ɡʱ o r i
অঘোরে	ɔ ɡʱ o r e
অঘোষ	ɔ ɡʱ o ʃ
অঘোষধ্বনি	ɔ ɡʱ o ʃ d̪ʱ o n i
অঘোষবর্ণ	ɔ ɡʱ o ʃ b ɔ r n o
অঘ্রাত	ɔ ɡ ɡʱ r a t̪ o
অঘ্রান	ɔ ɡʱ ɾ a n
অঙ্ক	ɔ ŋ k o
অঙ্কগত	ɔ ŋ k o ɡ ɔ t̪ o
অঙ্কদেশ	ɔ ŋ k o d̪ e ʃ
অঙ্কন	ɔ ŋ k o n
অঙ্কনি	ɔ ŋ k o n i
অঙ্কপাত	ɔ ŋ k o p a t̪
অঙ্কপাতন	ɔ ŋ k o p a t̪ o n
অঙ্কবিদ	ɔ ŋ k o b i d̪
অঙ্কবিদ্যা	ɔ ŋ k o b i d̪ d̪ a
অঙ্কবেত্তা	ɔ ŋ k o b e t̪ t̪ a
অঙ্কলগ্ন	ɔ ŋ k o l ɔ ɡ n o
অঙ্কশাস্ত্র	ɔ ŋ k o ʃ a s t̪ r o
অঙ্কশাস্ত্রবিদ	ɔ ŋ k o ʃ a s t̪ r o b i d̪
অঙ্কশাস্ত্রবেত্তা	ɔ ŋ k o ʃ a s t̪ r o b e t̪ t̪ a
অঙ্কস্থ	ɔ ŋ k o s t̪ʰ ɔ
অঙ্কস্থলী	ɔ ŋ k o s t̪ʰ o l i
অঙ্কস্থিত	ɔ ŋ k o s t̪ʰ i t̪ o
অঙ্কারূঢ়	ɔ ŋ k a r u ɽʱ o
অঙ্কিত	o ŋ k i t̪ o
অঙ্কুট	o ŋ k u ʈ
অঙ্কুর	o ŋ k u ɾ
অঙ্কুরিত	o ŋ k u ɾ i t̪ o
অঙ্কুরোদগম	o ŋ k u r o d̪ ɡ ɔ m
অঙ্কুরোদ্গম	o ŋ k u r o d̪ ɡ ɔ m
অঙ্কুরোদ্‌গম	o ŋ k u r o d̪ ɡ ɔ m
অঙ্কুশ	o ŋ k u ʃ
অঙ্কুশী	o ŋ k u ʃ i
অঙ্কুষ	o ŋ k u ʃ
অঙ্কোপরি	ɔ ŋ k o p o ɾ i
অঙ্ক্য	ɔ ŋ k o
অঙ্গ	ɔ ŋ ɡ o
অঙ্গন	ɔ ŋ ɡ o n
অঙ্গার	ɔ ŋ ɡ a ɾ
অঙ্গুষ্ঠ	ɔ ŋ ɡ u ʃ ʈʰ o
অচেনা	ɔ t ʃ e n a
অঞ্চল	ɔ n t ʃ ɔ l
অড়হর	ɔ ɽ o ɾ
অড়হর	ɔ ɽ ɔ ɾ
অড়হর	ɔ ɽʱ o ɾ
অড়হর	ɔ ɽʱ ɔ ɾ
অড়হর	ɔ ɾ ɦ o ɾ
অড়হর	ɔ ɾ ɦ ɔ ɾ
অণ্ড	ɔ n ɖ o
অতিথি	o t̪ i t̪ʰ i
অতিমঙ্গল্য	o t i m o ŋ ɡ o lː ɔ
অত্যাচার	o t̪ː a t ʃ a ɾ
অথচ	ɔ t̪ʰ ɔ t͡ʃ o
অথবা	ɔ t̪ʰ o b a
অদৃশ্য	ɔ d̪ ɾ i ʃː o
অদৃষ্ট	ɔ d̪ ɹ i ʃ t o
অধর্ম	ɔ d̪ʱ ɔ ɾ m ɔ
অধিকাংশ	o dʱ i k a ŋ ʃ o
অধিকার	o d̪ʱ i k a ɾ
অধিকার	ɔ d̪ʱ i k a ɾ
অধ্যায়	ɔ d̪ʱː a e̯
অনন্যা	ɔ n o nː a
অনাঘ্রাত	ɔ n a ɡ ɡʱ r a t̪ o
অনাঘ্রাতা	ɔ n a ɡ ɡʱ r a t̪ a
অনুনাসিক	o n u n a ʃ i k
অনুবাদ	o n u b a d̪
অনুবাদক	o n u b a d̪ ɔ k
অনুভব	ɔ n u bʱ ɔ b
অনুভব	ɔ n u v ɔ b
অনুমতি	o n u m o t̪ i
অনুরাগ	o n u ɾ a ɡ
অনুরোধে	o n u ɾ o d̪ʱ e
অনুষ্ঠান	o n u ʃ ʈʰ a n
অনুস্বর	o n u ʃː ɔ ɾ
অনুস্বার	o n u ʃː a ɾ
অনেক	ɔ n e k
অন্টারিও	ɔ n ʈ a ɾ i̯ o
অন্তর	ɔ n t̪ ɔ ɾ
অন্ধকার	ɔ n d̪ʱ o k a ɾ
অন্ধত্ব	ɔ n dʱ o t̪ t̪ o
অন্ধপ্রায়	ɔ n d̪ʱ ɔ p ɾ a e̯
অন্ধ্র	ɔ n d̪ʱ ɾ ɔ
অন্ধ্রপ্রদেশ	ɔ n d̪ʱ ɾ ɔ p ɾ o d̪ e ʃ
অন্ন	ɔ nː o
অন্বেষণ	ɔ nː e ʃ ɔ n
অন্য	o nː o
অন্যতম	o nː o t̪ ɔ m o
অন্যায়	ɔ n n ɛ e̯
অপভ্রংশ	ɔ p o bʱ ɾ ɔ ŋ ʃ o
অপরাধ	ɔ p o ɾ a d̪ʱ
অপারেশন	ɔ p a ɾ e ʃ o n
অপিনিহিতি	ɔ p i n i ɦ i t̪ i
অপ্সরা	ɔ p ʃ ɔ ɾ a
অফিস	ɔ f i s
অফিস	ɔ f i ʃ
অবগুন্ঠন	ɔ b o ɡ u n ʈʰ o n
অবতার	ɔ b o t̪ a ɾ
অবশ্য	ɔ b o ʃː o
অবাক	ɔ b a k
অভদ্র	ɔ bʱ ɔ d̪ ɾ ɔ
অভিজ্ঞতা	o bʱ i ɡː ɔ t̪ a
