ഁ	◌̃
അക്രോസെന്റ്രിക്ക്	ɐ k r oː s e n̪ t t i k k ɨ̆
അക്രോസോം	ɐ k r oː s oː m
അക്ലമിഡിയസ്	ɐ k l ɐ m i ɖ i j ɐ s ɨ̆
അക്ഷം	ɐ k ʂ ɐ m
അക്ഷരം	ɐ k ʂ ɐ ɾ ɐ m
അക്ഷരത്തെറ്റ്	ɐ k ʂ ɐ ɾ ɐ t̪ t̪ e t t ɨ̆
അക്ഷരപ്പിശക്	ɐ k ʂ ɐ ɾ ɐ p p i ʃ ɐ ɡ ɨ̆
അക്ഷി	ɐ k ʂ i
അക്ഷിശ്രവസ്സ്	ɐ k ʂ i ʃ r ɐ ʋ ɐ s s ɨ̆
അകൽച്ച	ɐ ɡ ɐ l t͡ʃ t͡ʃ ɐ
അഖണ്ഡം	ɐ kʰ ɐ ɳ ɖ ɐ m
അഗജം	ɐ ɡ ɐ d͡ʒ ɐ m
അഗതി	ɐ ɡ ɐ d̪ i
അഗാധത	ɐ ɡ aː d̪ʱ ɐ d̪ ɐ
അഗിരം	ɐ ɡ i ɾ ɐ m
അഗ്നി	ɐ ɡ n i
അഗ്നിപർവ്വതം	ɐ ɡ n i b ɐ r ʋ ʋ ɐ d̪ ɐ m
അഗ്നിശമനം	ɐ ɡ n i ʃ ɐ m ɐ n ɐ m
അഗ്രം	ɐ ɡ ɾ ɐ m
അഗ്രകേന്ദ്രീകൃതം	ɐ ɡ ɾ ɐ ɡ eː n̪ d̪ r iː k r i d̪ ɐ m
അങ്കം	ɐ ŋ ɡ ɐ m
അങ്കക്കളരി	ɐ ŋ ɡ ɐ k k ɐ ɭ ɐ ɾ i
അങ്കഗണിതം	ɐ ŋ ɡ ɐ ɡ ɐ ɳ i d̪ ɐ m
അങ്കച്ചേകവർ	ɐ ŋ ɡ ɐ t͡ʃ t͡ʃ eː ɡ ɐ ʋ ɐ r
അങ്കണം	ɐ ŋ ɡ ɐ ɳ ɐ m
അങ്കണവാടി	ɐ ŋ ɡ ɐ ɳ ɐ ʋ aː ɖ i
അങ്കി	ɐ ŋ ɡ i
അങ്കുശം	ɐ ŋ ɡ u ʃ ɐ m
അങ്ങനെ	ɐ ŋ ŋ ɐ n e
അങ്ങാടി	ɐ ŋ ŋ aː ɖ i
അങ്ങേയറ്റം	ɐ ŋ ŋ eː j ɐ t t ɐ m
അങ്ങോട്	ɐ ŋ ŋ oː ɖ ɨ̆
അങ്ങോട്ട്	ɐ ŋ ŋ oː ʈ ʈ ɨ̆
അങ്ങ്	ɐ ŋ ŋ ɨ̆
അച്ചടക്ക	ɐ t͡ʃ t͡ʃ ɐ ɖ ɐ k k ɐ
അച്ചടക്കം	ɐ t͡ʃ t͡ʃ ɐ ɖ ɐ k k ɐ m
അച്ചടിക്കുക	ɐ t͡ʃ t͡ʃ ɐ ɖ i k k u ɡ ɐ
അച്ചടിയന്ത്രം	ɐ t͡ʃ t͡ʃ ɐ ɖ i j ɐ n̪ d̪ r ɐ m
അച്ചായൻ	ɐ t͡ʃ t͡ʃ aː j ɐ n
അച്ചാർ	ɐ t͡ʃ t͡ʃ aː r
അച്ചി	ɐ t͡ʃ t͡ʃ i
അച്ചിങ്ങ	ɐ t͡ʃ t͡ʃ i ŋ ŋ ɐ
അച്ചുതൻ	ɐ t͡ʃ t͡ʃ u d̪ ɐ n
അച്ച്	ɐ t͡ʃ t͡ʃ ɨ̆
അച്ചൻ	ɐ t͡ʃ t͡ʃ ɐ n
അച്ഛൻ	ɐ t͡ʃ t͡ʃʰ ɐ n
അജീവിയ	ɐ d͡ʒ iː ʋ i j ɐ
അജീവിയഘടകം	ɐ d͡ʒ iː ʋ i j ɐ ɡʱ ɐ ɖ ɐ ɡ ɐ m
അജൈവം	ɐ d͡ʒ ɐ i̯ ʋ ɐ m
അജൈവഘടകം	ɐ d͡ʒ ɐ i̯ ʋ ɐ ɡʱ ɐ ɖ ɐ ɡ ɐ m
അജൈവജനനം	ɐ d͡ʒ ɐ i̯ ʋ ɐ d͡ʒ ɐ n ɐ n̪ ɐ m
അജൈവജീവോൽപത്തി	ɐ d͡ʒ ɐ i̯ ʋ ɐ d͡ʒ iː ʋ oː l p ɐ t̪ t̪ i
അജ്ഞത	ɐ d͡ʒ ɲ ɐ d̪ ɐ
അജ്ഞാത	ɐ d͡ʒ ɲ aː d̪ ɐ
അജ്ഞാനം	ɐ d͡ʒ ɲ aː n ɐ m
അഞ്ചനം	ɐ ɲ d͡ʒ ɐ n ɐ m
അഞ്ചാം	ɐ ɲ d͡ʒ aː m
അഞ്ചിതം	ɐ ɲ d͡ʒ i d̪ ɐ m
അഞ്ചുക	ɐ ɲ d͡ʒ u ɡ ɐ
അഞ്ചുവണ്ണം	ɐ ɲ d͡ʒ u ʋ ɐ ɳ ɳ ɐ m
അഞ്ച്	ɐ ɲ d͡ʒ ɨ̆
അഞ്ജന	ɐ ɲ d͡ʒ ɐ n ɐ
അഞ്ജനവർണ്ണൻ	ɐ ɲ d͡ʒ ɐ n ɐ ʋ ɐ r ɳ ɳ ɐ n
അഞ്ജലി	ɐ ɲ d͡ʒ ɐ l i
അഞ്ഞനം	ɐ ɲ ɲ ɐ n ɐ m
അഞ്ഞലി	ɐ ɲ ɲ ɐ l i
അഞ്ഞൂറാം	ɐ ɲ ɲ uː r aː m
അഞ്ഞൂറ്	ɐ ɲ ɲ uː r ɨ̆
അടക്ക	ɐ ɖ ɐ k k ɐ
അടക്കം	ɐ ɖ ɐ k k ɐ m
അടക്കാമരം	ɐ ɖ ɐ k k aː m ɐ ɾ ɐ m
അടങ്ങുക	ɐ ɖ ɐ ŋ ŋ u ɡ ɐ
അടപ്പ്	ɐ ɖ ɐ p p ɨ̆
അടയാളം	ɐ ɖ ɐ j aː ɭ ɐ m
അടയ്ക്ക	ɐ ɖ ɐ j k k ɐ
അടയ്ക്കുക	ɐ ɖ ɐ j k k u ɡ ɐ
അടവുശിഷ്ടബാക്കി	ɐ ɖ ɐ ʋ u ʃ i ʂ ʈ ɐ b aː k k i
അടി	ɐ ɖ i
അടിക്കടി	ɐ ɖ i k k ɐ ɖ i
അടിക്കുക	ɐ ɖ i k k u ɡ ɐ
അടിക്കുറിപ്പ്	ɐ ɖ i k k u r i p p ɨ̆
അടിക്ക്	ɐ ɖ i k k ɨ̆
അടിച്ചുവാരുക	ɐ ɖ i t͡ʃ t͡ʃ u ʋ aː ɾ u ɡ ɐ
അടിത്തറ	ɐ ɖ i t̪ t̪ ɐ r ɐ
അടിപിടി	ɐ ɖ i b i ɖ i
അടിപൊളി	ɐ ɖ i b o ɭ i
അടിമ	ɐ ɖ i m ɐ
അടിമത്തം	ɐ ɖ i m ɐ t̪ t̪ ɐ m
അടിയന്തര	ɐ ɖ i j ɐ n̪ d̪ ɐ ɾ ɐ
അടിയന്തരം	ɐ ɖ i j ɐ n̪ d̪ ɐ ɾ ɐ m
അടിയന്തരാവസ്ഥ	ɐ ɖ i j ɐ n̪ d̪ ɐ ɾ aː ʋ ɐ s t̪ʰ ɐ
അടിവസ്തം	ɐ ɖ i ʋ ɐ s t̪ ɐ m
അടിവസ്ത്രം	ɐ ɖ i ʋ ɐ s t̪ r ɐ m
അടിസ്ഥാന	ɐ ɖ i s t̪ʰ aː n ɐ
അടിസ്ഥാനം	ɐ ɖ i s t̪ʰ aː n ɐ m
അടുക്കള	ɐ ɖ u k k ɐ ɭ ɐ
അടുക്കളത്തോട്ടം	ɐ ɖ u k k ɐ ɭ ɐ t̪ t̪ oː ʈ ʈ ɐ m
അടുക്കുക	ɐ ɖ u k k u ɡ ɐ
അടുക്ക്	ɐ ɖ u k k ɨ̆
അടുതാപ്പ്	ɐ ɖ u d̪ aː p p ɨ̆
അടുത്ത	ɐ ɖ u t̪ t̪ ɐ
അടുത്തത്	ɐ ɖ u t̪ t̪ ɐ d̪ ɨ̆
അടുത്തിടെ	ɐ ɖ u t̪ t̪ i ɖ e
അടുത്തൂൺ	a ɖ u t̪ː uː ɳ
അടുത്ത്	ɐ ɖ u t̪ t̪ ɨ̆
അടുപ്പ്	ɐ ɖ u p p ɨ̆
അട്ട	ɐ ʈ ʈ ɐ
അട്ടഹാസം	ɐ ʈ ʈ ɐ h aː s ɐ m
അട്ടിപ്പേർ	ɐ ʈ ʈ i p p eː r
അട്ടിമറി	ɐ ʈ ʈ i m ɐ r i
അടൽ	ɐ ɖ ɐ l
അടൽക്കളം	ɐ ɖ ɐ l k k ɐ ɭ ɐ m
അണ	ɐ ɳ ɐ
അണക്കെട്ട്	ɐ ɳ ɐ k k e ʈ ʈ ɨ̆
അണപ്പല്ല്	ɐ ɳ ɐ p p ɐ l l ɨ̆
അണലി	ɐ ɳ ɐ l i
അണി	ɐ ɳ i
അണിചേരുക	ɐ ɳ i d͡ʒ eː ɾ u ɡ ɐ
അണിയുക	ɐ ɳ i j u ɡ ɐ
അണു	ɐ ɳ u
അണുക്കൾ	ɐ ɳ u k k ɐ ɭ
അണുവിഘടനം	ɐ ɳ u ʋ i ɡʱ ɐ ɖ ɐ n ɐ m
അണുസംയോജനം	ɐ ɳ u s ɐ m j oː d͡ʒ ɐ n ɐ m
അണ്ടി	ɐ ɳ ɖ i
അണ്ഡം	ɐ ɳ ɖ ɐ m
അണ്ഡകടാഹം	ɐ ɳ ɖ ɐ ɡ ɐ ɖ aː h ɐ m
അണ്ഡവിസർജനം	ɐ ɳ ɖ ɐ ʋ i s ɐ r d͡ʒ ɐ n ɐ m
അണ്ഡാകാര	ɐ ɳ ɖ aː ɡ aː ɾ ɐ
അണ്ണാക്ക്	ɐ ɳ ɳ aː k k ɨ̆
അണ്ണാര	ɐ ɳ ɳ aː ɾ ɐ
അണ്ണാരക്കണ്ണൻ	ɐ ɳ ɳ aː ɾ ɐ k k ɐ ɳ ɳ ɐ n
അണ്ണാറക്കണ്ണൻ	ɐ ɳ ɳ aː r ɐ k k ɐ ɳ ɳ ɐ n
അണ്ണാൻ	ɐ ɳ ɳ aː n
അണ്ണൻ	ɐ ɳ ɳ ɐ n
അതത്	ɐ d̪ ɐ t̪ ɨ̆
അതാത്	ɐ d̪ aː t̪ ɨ̆
അതിഥി	ɐ d̪ i t̪ʰ i
അതിമദ്യാസക്തി	ɐ d̪ i m ɐ d̪ j aː s ɐ k t̪ i
അതിര്	ɐ d̪ i ɾ ɨ̆
അതിവിടയം	ɐ d̪ i ʋ i ɖ ɐ j ɐ m
അതിശയം	ɐ d̪ i ʃ ɐ j ɐ m
അതിശയിക്കുക	ɐ d̪ i ʃ ɐ j i k k u ɡ ɐ
അതിശോക്തി	ɐ d̪ i ʃ oː k t̪ i
അതിസാരം	ɐ d̪ i s aː ɾ ɐ m
അതിർത്തി	ɐ d̪ i r t̪ː i
അതീവ	ɐ d̪ iː ʋ ɐ
അതുകൊണ്ട്	ɐ d̪ u ɡ o ɳ ɖ ɨ̆
അതുപോലെ	ɐ d̪ u b oː l e
അതൃപ്തി	ɐ t̪ r i p t̪ i
അതെ	ɐ d̪ e
അത്	ɐ d̪ ɨ̆
അത്ത	ɐ t̪ t̪ ɐ
അത്തം	ɐ t̪ t̪ ɐ m
അത്താഴം	ɐ t̪ t̪ aː ɻ ɐ m
അത്തി	ɐ t̪ t̪ i
അത്തർ	ä t̪ː ɐ r
അത്ഭുതം	ɐ t̪ bʱ u d̪ ɐ m
അത്യാഗ്രഹം	ɐ t̪ j aː ɡ ɾ ɐ h ɐ m
അത്യാഹിത	ɐ t̪ j aː h i d̪ ɐ
അത്യാഹിതം	ɐ t̪ j aː h i d̪ ɐ m
അത്യാർത്തി	ä t̪ j äː r t̪ː i
അത്യുത്തമം	ɐ t̪ j u t̪ t̪ ɐ m ɐ m
അത്ര	ɐ t̪ r ɐ
അഥവാ	ɐ t̪ʰ ɐ ʋ aː
അദാലത്ത്	ä d̪ äː l ɐ t̪ː ɨ̆
അദിതി	ɐ d̪ i d̪ i
അദ്ദേഹം	ɐ d̪ d̪ eː h ɐ m
അദ്ധ്യാപകൻ	ɐ d̪ d̪ʱ j aː b ɐ ɡ ɐ n
അദ്ധ്യാപനം	ä d̪ʱ j äː b ɐ n ɐ m
അദ്ധ്യാപിക	ɐ d̪ d̪ʱ j aː b i ɡ ɐ
അദ്ധ്യായം	ɐ d̪ d̪ʱ j aː j ɐ m
അദ്ഭുതം	ɐ d̪ bʱ u d̪ ɐ m
അധഃപതനം	ä d̪ʰ ä h p ä d̪ ɐ n ɐ m
അധഃപതിക്കുക	ä d̪ʰ ä h p ä d̪ i kː u ɡ ä
അധരം	ɐ d̪ʱ ɐ ɾ ɐ m
അധാർമിക	ä d̪ʱ äː r m i ɡ ä
അധിക	ɐ d̪ʱ i ɡ ɐ
അധികം	ä d̪ʱ i ɡ ɐ m
അധികാരം	a d̪ʱ i ɡ aː ɾ a m
അധികാരി	ɐ d̪ʱ i ɡ aː ɾ i
അധികാരികൾ	ɐ d̪ʱ i ɡ aː ɾ i ɡ ɐ ɭ
അധിക്ഷേപിക്കുക	ɐ d̪ʱ i k ʂ eː b i k k u ɡ ɐ
അധിദൂതൻ	ɐ d̪ʱ i d̪ uː d̪ ɐ n
അധിപതി	ɐ d̪ʱ i b ɐ d̪ i
അധിപൻ	ä d̪ʱ i b ɐ n
അധിയം	ä d̪ʱ i j ɐ m
അധിരാജ്യം	ɐ d̪ʱ i ɾ aː d͡ʒ j ɐ m
അധിരാജൻ	ɐ d̪ʱ i ɾ aː d͡ʒ ɐ n
അധിരാട്ട്	ɐ d̪ʱ i ɾ aː ʈ ʈ ɨ̆
അധിശോഷണം	ɐ d̪ʱ i ʃ oː ʂ ɐ ɳ ɐ m
അധിഷ്ഠിത	ɐ d̪ʱ i ʂ ʈʰ i d̪ ɐ
അധീന	ɐ d̪ʱ iː n ɐ
അധീനത	ɐ d̪ʱ iː n ɐ d̪ ɐ
അധോഭാഗം	ä d̪ʱ oː bʱ ä ɡ ɐ m
അധോഭുവനം	ɐ d̪ʱ oː bʱ u ʋ ɐ n ɐ m
അധോവായു	ɐ d̪ʱ oː ʋ aː j u
അധ്യയന	ɐ d̪ʱ j ɐ j ɐ n ɐ
അധ്യാപകൻ	ɐ d̪ʱ j aː b ɐ ɡ ɐ n
അധ്വാനിക്കുക	ɐ d̪ʱ ʋ aː n i k k u ɡ ɐ
അനക്കുക	ɐ n ɐ k k u ɡ ɐ
അനങ്ങുക	ɐ n ɐ ŋ ŋ u ɡ ɐ
അനഡുഹി	ɐ n ɐ ɖ u h i
അനത്തുക	ɐ n ɐ t̪ t̪ u ɡ ɐ
അനന്തരം	ä n ɐ n̪ t̪ ä ɾ ɐ m
അനന്തരഫലം	ä n ɐ n̪ t̪ ä ɾ ɐ pʰ ä l ɐ m
അനന്തരവൻ	a n a n̪ t̪ a ɾ a ʋ a n
അനവസരം	a n a ʋ a s a ɾ a m
അനശ്വര	ɐ n ɐ ʃ ʋ ɐ ɾ ɐ
അനശ്വരം	ɐ n ɐ ʃ ʋ ɐ ɾ ɐ m
അനസ്തികം	ɐ n ɐ s t̪ i ɡ ɐ m
അനാഗത	ɐ n aː ɡ ɐ d̪ ɐ
അനാദരിക്കുക	ɐ n aː d̪ ɐ ɾ i k k u ɡ ɐ
അനാമത്ത്	ä n äː m ɐ t̪ː ɨ̆
അനാമിക	ɐ n aː m i ɡ ɐ
അനായാസ	ɐ n aː j aː s ɐ
അനായാസം	ɐ n aː j aː s ɐ m
അനാവശ്യ	ɐ n aː ʋ ɐ ʃ j ɐ
അനാവശ്യമായ	ɐ n aː ʋ ɐ ʃ j ɐ m aː j ɐ
അനിയത്തി	ɐ n i j ɐ t̪ t̪ i
അനിയൻ	ä n i j ɐ n
അനിരൂപം	ä n u ɾ uː b ɐ m
അനിവാര്യ	ɐ n i ʋ aː ɾ j ɐ
അനിവാര്യം	ɐ n i ʋ aː ɾ j ɐ m
അനിഷ്ടം	ä n i ʂ ʈ ɐ m
അനുകമ്പ	ɐ n u ɡ ɐ m b ɐ
അനുകരണം	ɐ n u ɡ ɐ ɾ ɐ ɳ ɐ m
അനുകൂല	ɐ n u ɡ uː l ɐ
അനുകൂലം	ä n u ɡ uː l ɐ m
അനുകൂലി	ɐ n u ɡ uː l i
അനുകൂലിക്കുക	ɐ n u ɡ uː l i k k u ɡ ɐ
അനുക്രമണിക	ɐ n u k r ɐ m ɐ ɳ i ɡ ɐ
അനുക്രോശം	ä n u ɡ ɾ oː ʃ ɐ m
അനുഗൃഹീത	ɐ n u ɡ r i h iː d̪ ɐ
അനുഗൃഹീതൻ	a n u ɡ r̩ h iː d̪ a n
അനുഗ്രഹം	ä n u ɡ ɾ ɐ h ɐ m
അനുഗ്രഹിക്കുക	ɐ n u ɡ ɾ ɐ h i k k u ɡ ɐ
അനുചിത	ɐ n u d͡ʒ i d̪ ɐ
അനുജത്തി	ɐ n u d͡ʒ ɐ t̪ t̪ i
അനുപാതം	ɐ n u b aː d̪ ɐ m
അനുപാലനം	ɐ n u b aː l ɐ n ɐ m
അനുപ്രസ്ഥതരംഗം	ɐ n u p r ɐ s t̪ʰ ɐ d̪ ɐ ɾ ɐ ŋ ɡ ɐ m
അനുഭവം	ɐ n u bʱ ɐ ʋ ɐ m
അനുഭവിക്കുക	ɐ n u bʱ ɐ ʋ i k k u ɡ ɐ
അനുമതി	ɐ n u m ɐ d̪ i
അനുമതിപത്രം	ɐ n u m ɐ d̪ i b ɐ t̪ r ɐ m
അനുമാനം	ä n u m äː n ɐ m
അനുമോദനം	ä n u m oː d̪ ɐ n ɐ n
അനുയോജ്യ	a n u j oː d͡ʒ j a
അനുയോജ്യം	a n u j oː d͡ʒ j a m
അനുയോജ്യത	ɐ n u j oː d͡ʒ j ɐ d̪ ɐ
അനുരഞ്ജനം	ä n u ɾ ä ɲ d͡ʒ ɐ n ɐ m
അനുരാഗം	ä n u ɾ äː ɡ ɐ m
അനുലോമവിലോമപദം	ɐ n u l oː m ɐ ʋ i l oː m ɐ b ɐ d̪ ɐ m
അനുവദിക്കുക	ɐ n u ʋ ɐ d̪ i k k u ɡ ɐ
അനുവാദം	a n u ʋ aː d̪ a m
അനുഷ്ഠിക്കുക	ä n u ʂ ʈʰ i kʲː u ɡ ä
അനുസരണ	ɐ n u s ɐ ɾ ɐ ɳ ɐ
അനുസരണം	ɐ n u s ɐ ɾ ɐ ɳ ɐ m
അനുസരണക്കേട്	ɐ n u s ɐ ɾ ɐ ɳ ɐ k k eː ɖ ɨ̆
അനുസരിക്കുക	ɐ n u s ɐ ɾ i k k u ɡ ɐ
അനുസരിച്ച്	ä n u s ɐ ɾ i t͡ʃː ɨ̆
അന്തം	ɐ n̪ d̪ ɐ m
അന്തഃപുരം	ɐ n̪ d̪ ɐ h p u ɾ ɐ m
അന്തഃസത്ത	ɐ n̪ d̪ ɐ h s ɐ t̪ t̪ ɐ
അന്തഃസ്രവവിജ്ഞാനീയം	ä n̪ t̪ ä h s ɾ ä ʋ ʋ i d͡ʒ ɲ äː n i j ɐ m
അന്തരം	ɐ n̪ d̪ ɐ ɾ ɐ m
അന്തരിക്കുക	ɐ n̪ d̪ ɐ ɾ i k k u ɡ ɐ
അന്തരീക്ഷ	ɐ n̪ d̪ ɐ ɾ iː k ʂ ɐ
അന്തരീക്ഷം	ä n̪ t̪ ɐ ɾ i k ʂ ɐ m
അന്തരീക്ഷമലിനീകരണം	ä n̪ t̪ ɐ ɾ i k ʂ ɐ m ä l i n iː ɡ ɐ ɾ ɐ ɳ ɐ m
അന്തരീയം	ɐ n̪ d̪ ɐ ɾ iː j ɐ m
അന്തസ്സ്	ɐ n̪ d̪ ɐ s s ə
അന്താക്ഷരി	ɐ n̪ d̪ aː k ʂ ɐ ɾ i
അന്താരാഷ്ട്ര	ɐ n̪ d̪ aː ɾ aː ʂ ʈ r ɐ
അന്തി	ɐ n̪ d̪ i
അന്തിമ	ɐ n̪ d̪ i m ɐ
അന്തേവാസി	ɐ n̪ d̪ eː ʋ aː s i
അന്ത്യശാസനം	a n̪ t̪ j a ʃ aː s a n a m
അന്തർദേശീയ	ɐ n̪ d̪ ɐ r e e ɐ r d̪ eː ʃ iː j ɐ
അന്തർവാഹിനി	ä n̪ t̪ ɐ r ʋ äː h i n i
അന്ധത	ɐ n̪ d̪ʱ ɐ d̪ ɐ
അന്ധവിശ്വാസം	ɐ n̪ d̪ʱ ɐ ʋ i ʃ ʋ aː s ɐ m
അന്ധാളിക്കുക	ɐ n̪ d̪ʱ aː ɭ i k k u ɡ ɐ
അന്ധി	ɐ n̪ d̪ʱ i
അന്ധൻ	ä n̪ d̪ʰ ɐ n
അന്ന	ɐ n n ɐ
അന്നം	ä nː ɐ m
അന്നകോഷ്ഠകം	ɐ n̪ n̪ ɐ ɡ oː ʂ ʈʰ ɐ ɡ ɐ m
അന്നനാളം	ɐ n̪ n̪ ɐ n aː ɭ ɐ m
അന്നനാളി	ɐ n̪ n̪ ɐ n aː ɭ i
അന്നിയായം	ä nː i j äː j ɐ m
അന്ന്	ä n̪ː ɨ̆
അന്യഭാഷ	ɐ n j ɐ bʱ aː ʂ ɐ
അന്യായം	ä n j äː j ɐ m
അന്യോന്യം	a n j oː n j a m
അന്റാർട്ടിക്ക	ɐ n d aː r ʈ ʈ i k k ɐ
അന്വേഷണം	ɐ n ʋ eː ʂ ɐ ɳ ɐ m
അന്വേഷിക്കുക	ɐ n ʋ eː ʂ i k k u ɡ ɐ
അനർത്ഥം	ɐ n ɐ r t̪ t̪ʰ ɐ m
അപകട	ɐ b ɐ ɡ ɐ ɖ ɐ
അപകടപ്പെടുത്തുക	ɐ b ɐ ɡ ɐ ɖ ɐ p p e ɖ u t̪ t̪ u ɡ ɐ
അപകേന്ദ്രബലം	ɐ b ɐ ɡ eː n̪ d̪ r ɐ b ɐ l ɐ m
അപഗ്രഥനം	a b a ɡ ɾ a t̪ʰ a n a m
അപജയം	ɐ b ɐ d͡ʒ ɐ j ɐ m
അപദ്രവ്യം	ä b ɐ d̪ ɾ ɐ ʋ j ɐ m
അപമാനം	ɐ b ɐ m aː n ɐ m
അപമാനിക്കുക	ɐ b ɐ m aː n i k k u ɡ ɐ
അപരനാമം	ɐ b ɐ ɾ ɐ n aː m ɐ m
അപരാധം	ä b ɐ ɾ äː d̪ʱ ɐ m
അപരാധി	ɐ b ɐ ɾ aː d̪ʱ i
അപരാഹ്നം	ä b ɐ ɾ äː h n ɐ m
അപരിചിതൻ	a b a ɾ i d͡ʒ i d̪ a n
അപരിഷ്കൃത	ɐ b ɐ ɾ i ʂ k r i d̪ ɐ
അപര്യാപ്തത	ɐ b ɐ ɾ j aː p t̪ ɐ d̪ ɐ
അപരൻ	ɐ b ɐ ɾ ɐ n
അപവാദം	ä b ɐ ʋ äː d̪ ɐ m
അപാക്ഷം	ä b äː k ʂ ɐ m
അപായം	ɐ b aː j ɐ m
അപൂർണ	ä b uː r ɳ ä
അപൂർണം	ä b uː r ɳ ä m
അപൂർണ്ണം	ä b uː r ɳː ɐ m
അപൂർണ്ണമായ	ä b uː r ɳː ɐ m äː j ɐ
അപേക്ഷ	ɐ b eː k ʂ ɐ
അപേക്ഷിക്കുക	ɐ b eː k ʂ i k k u ɡ ɐ
അപ്പ	ɐ p p ɐ
അപ്പക്കാരൻ	ɐ p p ɐ k k aː ɾ ɐ n
അപ്പച്ച	ɐ p p ɐ t͡ʃ t͡ʃ ɐ
അപ്പച്ചി	ɐ p p ɐ t͡ʃ t͡ʃ i
അപ്പച്ചൻ	ɐ pː ɐ t͡ː ʃ ɐ n
അപ്പസ്തോലൻ	ɐ p p ɐ s t̪ oː l ɐ n
അപ്പി	ɐ p p i
അപ്പു	ɐ p p u
അപ്പുറം	ä pː u r ɐ m
അപ്പോത്തിക്കരി	ɐ p p oː t̪ t̪ i k k ɐ ɾ i
അപ്പോൾ	ɐ p p oː ɭ
അപ്പ്	ä pː ɨ̆
അപ്പൻ	a p p a n
അപ്രതീക്ഷിതം	ɐ p r ɐ d̪ iː k ʂ i d̪ ɐ m
അപ്രത്യക്ഷമാക്കുക	ɐ p r ɐ t̪ j ɐ k ʂ ɐ m aː k k u ɡ ɐ
അപ്രദക്ഷിണദിശ	ɐ p r ɐ d̪ ɐ k ʂ i ɳ ɐ d̪ i ʃ ɐ
അപ്രായോഗിക	ɐ p r aː j oː ɡ i ɡ ɐ
അപ്രീതി	ɐ p r iː d̪ i
അഫ്ഗാനിസ്ഥാൻ	a f ɡ aː n i s t̪ʰ aː n
അബദ്ധം	ä b eː d d̪ʱ ɐ m
അബയോട്ടിക്	ä b ä j oː ʈː i ɡ ɨ̆
അബാക്സിയൽ	ä b äː k s i j ɐ l
