abdampfentöler	a p d a m p f ɛ n t øː l ɐ
abdanken	ʔ a p d a ŋ k ŋ̩
abdanken	ʔ a p d a ŋ k ə n
abdankung	a p d a ŋ k ʊ ŋ
abdankungsgrund	a p d a ŋ k ʊ ŋ s ɡ ʁ ʊ n t
abdankungsgrundes	a p d a ŋ k ʊ ŋ s ɡ ʁ ʊ n d ə s
abdankungsgründe	a p d a ŋ k ʊ ŋ s ɡ ʁ ʏ n d ə
abdecken	a p d ɛ k ə n
abdeckung	a p d ɛ k ʊ ŋ
abdestillieren	a p d ɛ s t i l iː ʁ ə n
abdirigieren	a p d i ʁ i ɡ iː ʁ ə n
abdominal	a p d o m i n aː l
abdringen	a p d ʁ ɪ ŋ ə n
abdruck	a p d ʁ ʊ k
abduktor	a p d ʊ k t oː ɐ̯
abdämpfen	a p d ɛ m f ə n
abdämpfen	a p d ɛ m p f ə n
abeisen	a b̥ a ɛ̯ s n̩
abend	aː b ə n t
abend	aː m t
abendbrot	aː b ə n t b r oː t
abendbrot	aː m b r oː t
abendessen	aː b ə n t ɛ s ə n
abendessen	aː m t ɛ s ə n
abendessen	ʔ aː b ə n t ʔ ɛ s ə n
abendkasse	aː b ə n t k a s ə
abendkleider	aː b ə n t k l a ɪ̯ d ɐ
abendlich	aː b n̩ t l ɪ ç
abendlied	aː b ə n t l iː t
abendluft	aː b ə n t l ʊ f t
abendmahlsgemeinschaft	aː b n̩ t m aː l s ɡ ə m a ɪ̯ n ʃ a f t
abendmahlsgottesdienst	aː b n̩ t m aː l s ɡ ɔ t ə s d iː n s t
abends	aː b ə n t s
abendspaziergang	a b n̩ t ʃ p a t͡s iː ɐ̯ ɡ a ŋ
abendspaziergang	aː b m̩̩ t ʃ p a t͡s iː ɐ̯ ɡ a ŋ
abendstimmung	aː b ə n t ʃ t ɪ m ʊ ŋ
abendstunde	aː b n̩ t ʃ t ʊ n d ə
abendwärts	aː b n̩ t v ɛ ʁ t͡s
abenteuer	aː b ə n t ɔ ʏ̯ ɐ
abenteuerdurstig	aː b n̩ t ɔ ɪ̯ ɐ d ʊ ʁ s t ɪ ç
abenteuerhungrig	aː b n̩ t ɔ ɪ̯ ɐ h ʊ ŋ ʁ ɪ ç
abenteuerlich	ʔ aː b m̩ t ɔ ɪ̯ ɐ l ɪ ç
abenteuerlich	ʔ aː b ə n t ɔ ɪ̯ ɐ l ɪ ç
abenteuerlustig	ʔ aː b m̩ t ɔ ɪ̯ ɐ l ʊ s t ɪ ç
abenteuerlustig	ʔ aː b ə n t ɔ ɪ̯ ɐ l ʊ s t ɪ ç
abenteuerreise	aː b n̩ t ɔ ɪ̯ ɐ ʁ a ɪ̯ z ə
abenteuerroman	aː b n̩ t ɔ ɪ̯ ɐ ʁ o m aː n
abenteuerromane	aː b n̩ t ɔ ɪ̯ ɐ ʁ o m aː n
abenteuerromanes	aː b n̩ t ɔ ɪ̯ ɐ ʁ o m aː n ɛ s
abenteuerromans	aː b n̩ t ɔ ɪ̯ ɐ ʁ o m aː n s
abenteuerspielplatz	aː b n̩ t ɔ ɪ̯ ɐ ʃ p iː l p l a t͡s
abenteuersüchtig	aː b n̩ t ɔ ɪ̯ ɐ z ʏ ç t ɪ ç
aber	a b ɐ
aber	aː b ɐ
aberglaube	aː b ɐ ɡ l a ʊ̯ b ə
aberglaubens	ʔ aː b ɐ ɡ l a ʊ̯ b m̩ s
aberglaubens	ʔ aː b ɐ ɡ l a ʊ̯ b ə n s
abergläubisch	ʔ aː b ɐ ɡ l ɔ ɪ̯ b ɪ ʃ
aberhundert	aː b ɐ h ʊ n d ɐ t
abernten	a p ɛ r n t ə n
abertausend	aː b ɐ t a ʊ̯ z n̩ t
aberwitz	aː b ɐ v ɪ t͡s
aberwitzig	aː b ɐ v ɪ t s ɪ k
aberwitzig	aː b ɐ v ɪ t s ɪ ç
abfackeln	a p f a k ə l n
abfahrer	a p f aː ʁ ɐ
abfahrt	a p f aː r t
abfallbehälter	a p f a l b ə h ɛ l t ɐ
abfallbehälters	a p f a l b ə h ɛ l t ɐ s
abfalleimer	a p f a l ʔ a ɪ̯ m ɐ
abfallen	ʔ a p f a l n̩
abfallen	ʔ a p f a l ə n
abfallkorb	a p f a l k ɔ ʁ p
abfalltonne	a p f a l t ɔ n ə
abfangen	ʔ a p f a ŋ ə n
abfassen	a p f a s n̩
abfasser	a p f a s ɐ
abfassung	a p f a s ʊ ŋ
abfedern	a p f eː d ə ʁ n
abfeiern	a p f a ɪ̯ ɐ n
abfertigen	a p f ɛ ʁ t i ɡ ə n
abfertigung	a p f ɛ ʁ t i ɡ ʊ ŋ
abfertigungsgebäude	a p f ɛ ʁ t i ɡ ʊ ŋ s ɡ ə b ɔ ɪ̯ d ə
abfertigungsschalter	a p f ɛ ʁ t i ɡ ʊ ŋ s ʃ a l t ɐ
abfeuern	ʔ a p f ɔ ɪ̯ ɐ n
abfeuerung	a p f ɔ ʏ̯ ə ʁ ʊ ŋ
abfiltern	a p f ɪ l t ɐ n
abfinden	a p f ɪ n d ə n
abfindung	a p f ɪ n d ʊ ŋ
abflachen	a p f l a χ ə n
abflauen	a p f l a ʊ̯ ə n
abfliegen	ʔ a p f l iː ɡ ŋ̩
abfliegen	ʔ a p f l iː ɡ ə n
abflug	ʔ a p f l uː k
abfluges	ʔ a p f l uː ɡ ə s
abflugs	ʔ a p f l uː k s
abflugzeit	a p f l uː k t s a ɪ̯ t
abfluss	a p f l ʊ s
abflussrohr	a p f l ʊ s ʁ oː ɐ̯
abflüge	ʔ a p f l yː ɡ ə
abfolge	a p f ɔ l ɡ ə
abfrage	ʔ a p f ʁ aː ɡ ə
abfragen	a p f r aː ɡ ə n
abfragen	ʔ a p f ʁ aː ɡ ŋ̩
abfragen	ʔ a p f ʁ aː ɡ ə n
abfretten	ʔ a p f r ɛ t n̩
abfräsen	a p f ʁ eː z ə n
abfräsen	a p f ʁ ɛː z ə n
abfrühstücken	a p f ʁ yː ʃ t ʏ k n̩
abfucken	a p f a k ə n
abfuhr	a p f uː ɐ̯
abfällig	a p f ɛ l ɪ k
abfällig	a p f ɛ l ɪ ç
abführmittel	a p f yː ɐ̯ m ɪ t l̩
abgabe	a p ɡ aː b ə
abgabeleistung	ʔ a p ɡ aː b ə l a ɪ̯ s t ʊ ŋ
abgang	a p ɡ a ŋ
abganges	ʔ a p ɡ a ŋ ə s
abgangs	ʔ a p ɡ a ŋ s
abgasskandal	a p ɡ aː s s k a n d aː l
abgassonderuntersuchung	a p ɡ aː s z ɔ n d ɐ ʊ n t ɐ z uː x ʊ ŋ
abgassonderuntersuchungen	a p ɡ aː s z ɔ n d ɐ ʔ ʊ n t ɐ z uː x ʊ ŋ ə n
abgasstrom	a p ɡ aː s ʃ t r oː m
abgebrüht	a p ɡ ə b ʁ yː t
abgedreht	a p ɡ ə d ʁ eː t
abgefahren	ʔ a p ɡ ə f aː ɐ̯ n
abgefahren	ʔ a p ɡ ə f aː ʁ ə n
abgefeimt	a p ɡ ə f a ɪ̯ m t
abgefeimtheit	a p ɡ ə f a ɪ̯ m t h a ɪ̯ t
abgefuckt	a p ɡ ə f a k t
abgefüllt	ʔ a p ɡ ə f ʏ l t
abgehen	a p ɡ eː ə n
abgeher	a p ɡ eː ɐ
abgehoben	a p ɡ ə h oː b n̩
abgelegen	ʔ a p ɡ ə l eː ɡ ŋ̩
abgelegen	ʔ a p ɡ ə l eː ɡ ə n
abgelegenheit	ʔ a p ɡ ə l eː ɡ ŋ̩ h a ɪ̯ t
abgelöst	ʔ a p ɡ ə l œ s t
abgeneigt	a p ɡ ə n a ɪ̯ k t
abgeordnetenhaus	a p ɡ ə ʔ ɔ ʁ d n ə t n̩ h a ʊ̯ s
abgerockt	a p ɡ ə ʁ ɔ k t
abgesandt	a p ɡ ə z a n t
abgesandte	a p ɡ ə z a n t ə
abgesandter	a p ɡ ə z a n t ɐ
abgeschieden	ʔ a p ɡ ə ʃ iː d n̩
abgeschieden	ʔ a p ɡ ə ʃ iː d ə n
abgeschiedenheit	ʔ a p ɡ ə ʃ iː d n̩ h a ɪ̯ t
abgeschiedenheit	ʔ a p ɡ ə ʃ iː d ə n h a ɪ̯ t
abgeschlossen	ʔ a p ɡ ə ʃ l ɔ s n̩
abgeschlossen	ʔ a p ɡ ə ʃ l ɔ s ə n
abgeschmackt	a p ɡ ə ʃ m a k t
abgeschrägte	a p ɡ ə ʃ ʁ ɛː k t ə
abgeschrägten	a p ɡ ə ʃ ʁ ɛː k t ə n
abgesendet	a p ɡ ə z ɛ n d ə t
abgespannt	ʔ a p ɡ ə ʃ p a n t
abgesperrt	ʔ a p ɡ ə ʃ p ɛ ɐ̯ t
abgestumpft	a p ɡ ə ʃ t ʊ m p͡f t
abgewaschen	a p ɡ ə v a ʃ n̩
abgezockt	a p ɡ ə t͡s ɔ k t
abgeändert	a p ɡ ə ɛ n d ɐ t
abglanz	a p ɡ l a n t͡s
abgott	a p ɡ ɔ t
abgrenzen	a p ɡ ʁ ɛ n t s ə n
abgrenzung	a p ɡ ʁ ɛ n t s ʊ ŋ
abgrund	a p ɡ ʁ ʊ n t
abgrundtief	a p ɡ ʁ ʊ n t t iː f
abgründig	ʔ a p ɡ ʁ ʏ n d ɪ k
abgründig	ʔ a p ɡ ʁ ʏ n d ɪ ç
abguss	a p ɡ ʊ s
abgänger	a p ɡ ɛ ŋ ɐ
abgängig	a p ɡ ɛ ŋ ɪ k
abgängig	a p ɡ ɛ ŋ ɪ ç
abgötterei	a p ɡ œ t ə ʁ a ɪ̯
abgöttisch	a p ɡ œ t ɪ ʃ
abgünstig	a p ɡ ʏ n s t ɪ ç
abhaken	ʔ a p h aː k n̩
abhaken	ʔ a p h aː k ə n
abhanden	a p h a n d n̩
abhandenkommen	a p h a n d n̩ k ɔ m ə n
abhandlung	a p h a n d l ʊ ŋ
abhandlungen	a p h a n d l ʊ ŋ ə n
abheben	a p h eː b ə n
abheben	ʔ a p h eː b m̩
abheben	ʔ a p h eː b ə n
abheber	a p h eː b ɐ
abhelfen	a p h ɛ l f n̩
abhocken	a p h ɔ k ə n
abhold	a p h ɔ l t
abholen	a p h oː l ə n
abholen	ʔ a p h oː l n̩
abholen	ʔ a p h oː l ə n
abholung	a p h oː l ʊ ŋ
abholzen	a p h ɔ l t s ə n
abholzung	a p h ɔ l t s ʊ ŋ
abhorreszieren	a p h ɔ ʁ ɛ s t͡s iː ʁ ə n
abhorrieren	a p h ɔ ʁ iː ʁ ə n
abhusten	a b h uː s t n̩
abhängen	ʔ a p h ɛ ŋ ə n
abhängig	a p h ɛ ŋ ɪ k
abhängig	a p h ɛ ŋ ɪ ç
abhängigkeit	a p h ɛ ŋ ɪ ç k a ɪ̯ t
abhören	a p h øː r ə n
abhörer	a p h øː r ɐ
abhörgeräte	a p h øː ɐ̯ ɡ ə ʁ ɛː t ə
abhörgeräten	a p h øː ɐ̯ ɡ ə ʁ ɛː t n̩
abhörgerätes	a p h øː ɐ̯ ɡ ə ʁ ɛː t ə s
abhörgeräts	a p h øː ɐ̯ ɡ ə ʁ ɛː t͡s
abi	a b i
abirren	a p ɪ ʁ ə n
abisolierzange	a p ʔ i z o l iː ɐ̯ t͡s a ŋ ə
abiturient	a b i t u ʁ i̯ ɛ n t
abiturieren	a b i t u ʁ iː ɐ̯ n
abiturieren	a b i t u ʁ iː ʁ ə n
abkacken	ʔ a p k a k ŋ̩
abkacken	ʔ a p k a k ə n
abkaufen	a p k a ʊ̯ f ə n
abkehlen	a p k eː l ə n
abkehren	a p k eː ʁ ə n
abklatschen	a p k l a t ʃ ə n
abklingen	a p k l ɪ ŋ ə n
abklären	a p k l ɛː ɐ̯ n
abklären	a p k l ɛː ʁ ə n
abklärer	a p k l ɛː ʁ ɐ
abklärung	ʔ a p k l eː ʁ ʊ ŋ
abklärung	ʔ a p k l ɛː ʁ ʊ ŋ
abknipsen	a p k n ɪ p s n̩
abkochen	a p k ɔ χ ə n
abkommandieren	a p k ɔ m a n d iː ʁ ə n
abkommen	a p k ɔ m ə n
abkommen	ʔ a p k ɔ m ə n
abkunft	a p k ʊ n f t
abkupfern	a p k ʊ p͡f ɐ n
abkupfern	ʔ a p k ʊ p f ɐ n
abkämmen	a p k ɛ m ə n
abkömmlich	a p k œ m l ɪ ç
abkömmling	a p k œ m l ɪ ŋ
abkönnen	a p k œ n ə n
abkühlen	a p k yː l ə n
abkühlung	ʔ a p k yː l ʊ ŋ
abkürzung	a p k ʏ ʁ t s ʊ ŋ
abkürzungsdschungel	a p k ʏ ʁ t͡s ʊ ŋ s d͡ʒ ʊ ŋ ə l
abkürzungsverzeichnis	a p k ʏ ʁ t͡s ʊ ŋ s f ɛ ɐ̯ t͡s a ɪ̯ ç n ɪ s
abkürzungszeichen	a p k ʏ ʁ t͡s ʊ ŋ s t͡s a ɪ̯ ç ə n
abladen	a p l aː d ə n
abladeplätze	ʔ a p l aː d ə p l ɛ t s ə
ablage	a p l aː ɡ ə
ablandig	a p l a n d ɪ k
ablandig	a p l a n d ɪ ç
ablass	a p l a s
ablassbrief	a p l a s b ʁ iː f
ablassen	ʔ a p l a s n̩
ablassen	ʔ a p l a s ə n
ablativ	a p l a t iː f
ablaufen	ʔ a p l a ʊ̯ f ə n
ablaufen	ʔ a p l a ʊ̯ f ɱ̩
ablaut	a p l a ʊ̯ t
ableben	a p l eː b m̩
ableben	a p l eː b ə n
ablecken	a p l ɛ k n̩
ableger	a p l eː ɡ ɐ
ablehnen	a p l eː n ə n
ableismus	ɛ ɪ̯ b ə l ɪ s m ʊ s
ableistisch	ɛ ɪ̯ b ə l ɪ s t ɪ ʃ
ableitbar	a p l a ɪ̯ t b aː ɐ̯
ableitungsmorphem	a p l a ɪ̯ t ʊ ŋ s m ɔ ʁ f eː m
ablenken	a p l ɛ ŋ k ə n
ablenkung	a p l ɛ ŋ k ʊ ŋ
ablenkungsmanöver	a p l ɛ ŋ k ʊ ŋ s m a n øː v ɐ
ablenkungstaktik	a p l ɛ ŋ k ʊ ŋ s t a k t ɪ k
ablichtung	a p l ɪ ç t ʊ ŋ
abliefern	a p l iː f ɐ n
abliegen	a p l iː ɡ n̩
abluchsen	a p l ʊ k s ə n
abluft	a p l ʊ f t
ablöschen	a p l œ ʃ n̩
ablösen	a p l øː z ə n
ablösung	a p l øː z ʊ ŋ
abmachung	a p m a χ ʊ ŋ
abmagern	ʔ a p m aː ɡ ɐ n
abmagerung	a p m aː ɡ ə ʁ ʊ ŋ
abmagerungskur	a p m aː ɡ ə ʁ ʊ ŋ s k uː ɐ̯
abmatten	a p m a t n̩
abmeiern	a p m a ɪ̯ ə ʁ n
abmelden	a p m ɛ l d ə n
abmeldungen	a p m ɛ l d ʊ ŋ ə n
abmessen	ʔ a p m ɛ s n̩
abmessen	ʔ a p m ɛ s ə n
abmessung	a p m ɛ s ʊ ŋ
abmähen	a p m ɛː ə n
abmühen	a p m yː ə n
abnagen	a p n aː ɡ n̩
abnager	a p n aː ɡ ɐ
abnahme	a p n aː m ə
abnehmen	a p n eː m ə n
abnehmer	a p n eː m ɐ
abneigung	ʔ a p n a ɪ̯ ɡ ʊ ŋ
abneigungen	ʔ a p n a ɪ̯ ɡ ʊ ŋ ə n
abnutzen	ʔ a p n ʊ t s n̩
abnutzen	ʔ a p n ʊ t s ə n
abnutzung	a p n ʊ t s ʊ ŋ
abnutzungskriegen	a p n ʊ t͡s ʊ ŋ s k ʁ iː ɡ n̩
abnutzungskriegen	a p n ʊ t͡s ʊ ŋ s k ʁ iː ɡ ŋ̩
abnötigen	a p n øː t ɪ ɡ n̩
abo	a b o
abonnieren	a b ɔ n iː ʁ ə n
abordnen	a p ʔ ɔ ʁ d n ə n
abordnung	a p ʔ ɔ ʁ t n ʊ ŋ
abort	a b ɔ ʁ t
abort	a p ʔ ɔ ʁ t
abpassen	a pː a s ə n
abpausen	a p p a ʊ̯ z n̩
abperlen	a p p ɛ ʁ l ə n
abpfiff	ʔ a p p f ɪ f
abpfiffe	ʔ a p p f ɪ f ə
abpfiffes	ʔ a p p f ɪ f ə s
abpfiffs	ʔ a p p f ɪ f s
abprallen	a p p ʁ a l ə n
abrackern	a p ʁ a k ɐ n
abraham	aː b ʁ a h aː m
abraham	aː b ʁ aː m
abrasionsplatte	a p ʁ a z i̯ oː n s p l a t ə
abrasiv	a b ʁ a z iː f
abreagieren	a p ʁ e a ɡ iː ʁ ə n
abrechnen	a p ʁ ɛ ç n ə n
abrechnung	a p ʁ ɛ ç n ʊ ŋ
abrede	ʔ a p ʁ eː d ə
abregend	a p ʁ eː ɡ n̩ t
abreiben	ʔ a p ʁ a ɪ̯ b m̩
abreiben	ʔ a p ʁ a ɪ̯ b ə n
abreise	ʔ a p ʀ a ɪ̯ z ə
abreisen	ʔ a p ʁ a ɪ̯ z n̩
abreisen	ʔ a p ʁ a ɪ̯ z ə n
abreissen	ʔ a p ʁ a ɪ̯ s n̩
abreissen	ʔ a p ʁ a ɪ̯ s ə n
abreisser	a p ʁ a ɪ̯ s ɐ
abreissers	a p ʁ a ɪ̯ s ɐ s
abringen	a p ʁ ɪ ŋ ə n
abrissbirne	a p ʁ ɪ s b ɪ ʁ n ə
abrissparty	a p r ɪ s p aː ɐ̯ t i
abrollen	a p ʁ ɔ l n̩
abrufen	a p ʁ uː f ə n
abrunden	a p r ʊ n d ə n
abrupt	a b ʁ ʊ p t
abrupt	a p ʁ ʊ p t
abrüsten	a p ʁ ʏ s t n̩
abrüstung	a p ʁ ʏ s t ʊ ŋ
abrüstungskonferenz	a p ʁ ʏ s t ʊ ŋ s k ɔ n f e ʁ ɛ n t͡s
absage	a p s aː ɡ ə
absagen	a p z aː ɡ n̩
absahnen	a p z aː n ə n
absandte	a p z a n t ə
absandten	a p z a n t n̩
absandtest	a p z a n t ə s t
absandtet	a p z a n t ə t
absatteln	a p z a t ə l n
absatz	a p z a t͡s
absatzmarkt	a p z a t͡s m a ʁ k t
absatzzeichen	a p z a t s t s a ɪ̯ ç ə n
absaufen	a p z a ʊ̯ f ə n
absaugen	a p s a ʊ̯ ɡ ə n
abschaffen	a p ʃ a f ə n
abschaffung	a p ʃ a f ʊ ŋ
abschalten	ʔ a p ʃ a l t n̩
abschalten	ʔ a p ʃ a l t ə n
abschaum	a p ʃ a ʊ̯ m
abscheu	ʔ a p ʃ ɔ ʏ̯
abscheulich	ʔ a b ʃ ɔ ʏ̯ l ɪ ç
abscheulicher	ʔ a p ʃ ɔ ɪ̯ l ɪ ç ɐ
abscheulichkeit	ʔ a p ʃ ɔ ɪ̯ l ɪ ç k a ɪ̯ t
abscheulichsten	a p ʃ ɔ ɪ̯ l ɪ ç s t ə n
abschieben	ʔ a p ʃ iː b m̩
abschieben	ʔ a p ʃ iː b ə n
abschied	a p ʃ iː t
abschiedsfeier	a p ʃ iː t͡s f a ɪ̯ ɐ
abschiedskuss	a p ʃ iː t͡s k ʊ s
abschiessen	a p ʃ iː s ə n
abschiessend	a p ʃ iː s ə n t
abschirmen	a p ʃ ɪ ʁ m ə n
abschirmung	a p ʃ ɪ ʁ m ʊ ŋ
abschlachten	a p ʃ l a x t n̩
abschlachten	a p ʃ l a χ t ə n
abschlag	a p ʃ l aː k
abschlagen	a p ʃ l aː ɡ ŋ
abschleifen	a p ʃ l a ɪ̯ f ə n
abschleppen	a p ʃ l ɛ p ə n
abschleppwagen	a p ʃ l ɛ p v aː ɡ ə n
abschliessen	ʔ a p ʃ l iː s n̩
abschliessen	ʔ a p ʃ l iː s ə n
abschluss	a p ʃ l ʊ s
abschlussfeier	a p ʃ l ʊ s f a ɪ̯ ɐ
abschlägig	a p ʃ l eː ɡ ɪ k
abschlägig	a p ʃ l eː ɡ ɪ ç
abschlägig	a p ʃ l ɛː ɡ ɪ k
abschlägig	a p ʃ l ɛː ɡ ɪ ç
abschmelzung	a p ʃ m ɛ l t s ʊ ŋ
abschnallen	a p ʃ n a l ə n
abschneiden	ʔ a p ʃ n a ɪ̯ d n̩
abschneiden	ʔ a p ʃ n a ɪ̯ d ə n
abschneider	a p ʃ n a ɪ̯ d ɐ
abschneiders	a p ʃ n a ɪ̯ d ɐ s
abschneidung	a p ʃ n a ɪ̯ d ʊ ŋ
abschnitt	a p ʃ n ɪ t
abschnittsende	a p ʃ n ɪ t s ɛ n d ə
abschnittweise	a p ʃ n ɪ t v a ɪ̯ z ə
abschottung	a p ʃ ɔ t ʊ ŋ
abschrecken	a p ʃ ʁ ɛ k ə n
abschreckend	a p ʃ ʁ ɛ k n̩ t
abschreckung	a p ʃ ʁ ɛ k ʊ ŋ
abschreiben	ʔ a p ʃ ʁ a ɪ̯ b m̩
abschreiben	ʔ a p ʃ ʁ a ɪ̯ b ə n
abschreibung	a p ʃ ʁ a ɪ̯ b ʊ ŋ
abschreiten	a p ʃ r a ɪ̯ t ə n
abschrift	a p ʃ ʁ ɪ f t
abschub	a p ʃ uː p
abschuften	a p ʃ ʊ f t ə n
abschuss	a p ʃ ʊ s
abschweifen	a p ʃ v a ɪ̯ f ə n
abschweifung	a p ʃ v a ɪ̯ f ʊ ŋ
abschwung	a p ʃ v ʊ ŋ
abschwächen	a p ʃ v ɛ ç n̩
abschwächend	a p ʃ v ɛ ç n̩ t
abschwören	a p ʃ v øː ʁ ə n
abschälen	a p ʃ ɛː l ə n
abschätzen	a p ʃ ɛ t͡s n̩
abschätzig	a p ʃ ɛ t͡s ɪ k
abschätzig	a p ʃ ɛ t͡s ɪ ç
abschüssig	a p ʃ ʏ s ɪ k
abschüssig	a p ʃ ʏ s ɪ ç
absehbar	a p z̥ eː b aː ɐ̯
absehen	a b s eː n
abseihen	a p z a ɪ̯ ə n
abseilen	a p z a ɪ̯ l ə n
abseitig	a p z a ɪ̯ t ɪ ç
abseits	a p z a ɪ̯ t s
abseits	a p z a ɪ̯ t͡s
abseitsfalle	a p z a ɪ̯ t͡s f a l ə
abseitstor	a p z a ɪ̯ t͡s t oː ɐ̯
abseitsverdächtig	a p z a ɪ̯ t͡s f ɛ ɐ̯ d ɛ ç t ɪ ç
absence	a p s ãː s
absende	a p z ɛ n d ə
absenden	a p z ɛ n d ə n
absendend	a p z ɛ n d n̩ t
absender	a p z ɛ n d ɐ
absenderin	a p z ɛ n d ə ʁ ɪ n
absendest	a p z ɛ n d ə s t
absendet	a p z ɛ n d ə t
absendete	a p z ɛ n d ə t ə
absendeten	a p z ɛ n d ə t n̩
absendetest	a p z ɛ n d ə t ə s t
absendetet	a p z ɛ n d ə t ə t
absenken	a p z ɛ ŋ k ə n
