oğrağusı	o ʁ r ɑ
oğrağusı	o ʁ r ɑ ʁ u s ɨ
oğrağusı	u ʁ r ɑ
oğrağusı	u ʁ r ɑ ʁ u s ɨ
oğrı	o ʁ r ɨ
palmañ	pʰ ɑ l m u ŋ
palmañ	pʰ ɑ l m ɑ ŋ
palçıq	p ɑ l t͡ɕ ɨ χ
palçıq	pʰ ɑ l t͡ɕ ɨ χ
pancir	pʰ æ n ʝ i r
pancir	pʰ ɑ n ʝ i r
peyğüsi	pʰ e j ɣ y s i
piñ	pʰ i ŋ
piğür	pʰ i o ɣ u r
piğür	pʰ i ɣ y r
piş	pʰ i ʃ
pişdiğüsi	pʰ i ʃ t e ɣ y s i
pişdiğüsi	pʰ i ʃ t i ɣ y s i
pişe	pʰ i ɕ e
pişe	pʰ i ɕ i
pişe	pʰ i ɕ ɑ
pişgüsi	pʰ i ʃ k y s i
pişirğüsi	pʰ i ʃ i r
pişirğüsi	pʰ i ʃ i r k y s i
pişirğüsi	pʰ i ʃ u r
pişirğüsi	pʰ i ʃ u r k y s i
pişqu	pʰ i̥ ʃ q u
pişt	pʰ i ɕ t
pola	p o l ɑ
pola	pʰ o l ɑ
poq	p o χ
poq	pʰ o χ
poñ	pʰ o ŋ
puldır	pʰ u l d ɨ r
puldır	pʰ ʊ l d ɨ ɹ
purnaq	pʰ u r n ɑ χ
purnaq	pʰ u r n ɨ χ
purnı	pʰ u r n ɨ
purun	pʰ u r n ɨ
purun	pʰ u r u n
puxrağusı	pʰ o χ r ɑ ʁ u s ɨ
puxrağusı	pʰ u χ r ɑ ʁ u s ɨ
püxgüsi	pʰ y̥ x k y s i
pıçaq	pʰ i t͡ɕ ɑ χ
pıçaq	pʰ i t͡ʃ ɑ qʰ
pıçaq	pʰ i t͡ʃ ɑ χ
pıçaq	pʰ i ɕ ʝ ɑ χ
pıçaq	pʰ u̥ t͡ɕ ɑ qʰ
pıçaq	pʰ ɨ t͡ɕ ɑ χ
pıçaq	pʰ ɨ t͡ʃ ɑ χ
pıçaq	pʰ ɨ ʃ t͡ʃ ɑ χ
qabaq	q ɑ b ɑ χ
qacağusı	q ɑ ʝ ɑ
qacağusı	q ɑ ʝ ɑ ʁ u s ɨ
qad	q ɑ d
qad	q ɑ t
qadaq	q ɑ d ɑ χ
qadağusı	q ɑ d ɑ ʁ u s ɨ
qadın	q ɑ d u n
qadın	q ɑ d ɨ n
qalağusı	q ɑ l ɑ ʁ u s ɨ
qalğusı	q ɑ l ʁ u s ɨ
qamcu	q ɑ m ʝ u
qan	q ɑ n
qanat	q ɑ n ɑ t
qanat	q ɑ n ɑ tʰ
qanağusı	q ɑ n ɑ
qanağusı	q ɑ n ɑ ʁ u s ɨ
qancıq	q ɑ n ʝ i x
qaranqu	q ɑ r ɑ ŋ ɢ u
qarğa	q ɑ r ʁ ɑ
qarın	q ɑ r ɨ n
qarışqusı	q ɑ r ɨ ʃ
qarışqusı	q ɑ r ɨ ʃ ʁ u s ɨ
qayda	q ɑ j d ɑ
qaynağusı	q ɑ j n ɑ ʁ u s ɨ
qaz	q ɑ z
qazan	q ɑ z ɑ n
qazan	q ɑ z ɨ n
qazmaq	q ɑ z m ɑ χ
qazqan	q ɑ z q ɑ n
qazuq	q ɑ z u χ
qazığusı	q ɑ z ɨ ʁ u s ɨ
qaşqusı	q ɑ ʃ
qaşqusı	q ɑ ʃ ʁ u s ɨ
qoduq	q o d o χ
qoduq	q o t u χ
qoduq	q o t ɑ χ
qoduq	q u d u χ
qoduq	qʰ u d æ qʰ
qol	q o l
qonaq	q o n ɑ χ
qonaq	q o n ə χ
qosqur	qʰ o s qʰ u r
qox	k o x
qox	q o χ
qox	q oː χ
qox	qʰ o χ
qoxqa	q o χ q ɑ
qoxqa	q o χ q ɑ n
qoy	k o j
qoy	q o j
qoylağusı	q o j l ɑ
qoylağusı	q o j l ɑ ʁ u s ɨ
qoylağusı	q o l ɑ
qoylağusı	q o l ɑ ʁ u s ɨ
qoylağusı	q o ɣ l ɑ
qoylağusı	q o ɣ l ɑ ʁ u s ɨ
qoyğusı	q o j ʁ u s ɨ
qozı	q o z ɨ
qozı	q u z ɨ
qoñır	q o ŋ o r
qoñır	q o ŋ u r
qoñır	q o ŋ ɨ r
qoñırçıq	q o ŋ ɨ r t͡ʃ ɨ χ
qoñırçıq	q o ŋ ɨ r ʒʰ u χ
qoş	q o ɕ
qoşluq	q o ʃ l ɨ χ
qoşqur	q o ʃ q u r
quda	q u d ɑ
qulaq	q u l ɑ qʰ
qulaq	q u l ɑ χ
qulaq	q u l ɘ χ
qulaş	q u l i ʃ
qulaş	q u l ɑ ʃ
qumqusı	q o n
qumqusı	q o n ʁ u s ɨ
qumqusı	q u m
qumqusı	q u m ʁ u s ɨ
qumqusı	q u n
qumqusı	q u n ʁ u s ɨ
qurlanqusı	q u r l ɑ n
qurlanqusı	q u r l ɑ n ʁ u s ɨ
quruq	q u r u χ
quruq	q u r ɨ χ
quruq	q u r ʁ u
qurğusı	q u r
qurğusı	q u r ʁ u s ɨ
qurı	q u r ɨ
qut	q u t
qut	q u tʰ
qut	qʰ u t
qut	qʰ u tʰ
quş	q u ʃ
quşqun	q u ʃ q u n
qıl	q ɨ l
qın	q ɨ n
qırqu	q i q u
qırqu	q ɨ q u r
qırqu	q ɨ r q u
qıru	q e r u
qıru	q i r i
qıru	q i r o
qıru	q i r u
qıru	q ɨ r u
qıru	q ɨː r u
qırğı	q ɨ r ʁ ɑ
qırğı	q ɨ r ʁ ɨ
qırıq	q e r ɨ χ
qırıq	q i r ɨ χ
qırıq	q ɨ r ɨ χ
qız	q ɨ z
qızqanqusı	q ɨ z q ɑ n q u s ɨ
qızıl	q ɨ z i l
qızıl	q ɨ z ɨ
qızıq	q ɨ z ɨ x
qızığusı	q ɨ z ɨ ʁ u s ɨ
sadaq	s ɑ d ɑ χ
sadaq	s ɑ d ɨ χ
salağusı	s ɑ l ɑ
salağusı	s ɑ l ɑ ʁ u s ɨ
salağusı	s ɑ l ɨ
salağusı	s ɑ l ɨ ʁ u s ɨ
sallançaq	s ɑ l e n t͡ɕ ɨ χ
sallançaq	s ɑ l l ɑ n t ɕ ɨ χ
saluq	s ɑ l u χ
salğusı	s ɑ l
salğusı	s ɑ l ʁ u s ɨ
salınqusı	s ɑ l ɨ n
salınqusı	s ɑ l ɨ n ʁ u s ɨ
samagu	s ɑ m ɑ k u
san	s ɑ n
sanaq	s ɑ n ɑ χ
sanaq	s ɑ n ɨ χ
sanağusı	s ɑ n ɑ
sanağusı	s ɑ n ɑ ʁ u s ɨ
sanduq	s a n d u χ
sap	s ɑ pʰ
sap	s ɨ pʰ
sappa	s ɑʰ p ɑ
sappa	s ɨ χ p ɑ
sappa	z ɑ p ɑ
saqsıq	s ɑ χ s ɨ χ
sarğalğusı	s ɑ r ʁ ɑ l
sarğalğusı	s ɑ r ʁ ɑ l ʁ u s ɨ
sarğalğusı	s ɑ r ʁ ɑ n
sarğalğusı	s ɑ r ʁ ɑ n ʁ u s ɨ
sarı	s ɑ r ɨ
satqusı	s ɑ tʰ ʁ u s ɨ
satqusı	s ɑʰ ʁ u s ɨ
sağır	s ɑ ʁ ɨ r
saş	s ɑ ɕ
saş	s ɨ ɕ
sece	s e ʝ e
sece	s e ʝ i
sekkis	s eʰ k i s
seksen	s e x s e n
semüs	s e m i s
semüs	s e m i z
semüs	s e m u s
semüs	s i m e s
semüs	s i m u s
sengüsi	s e n
sengüsi	s e n ɣ y s i
sengüsi	s æ n
sengüsi	s æ n ɣ y s i
serek	s e r e x
singañ	s i ŋ ɡ ɑ ŋ
sinik	s i n e x
sinik	s i n i x
sinik	s i n i x ʝ y j i
sinik	s i n i x ʝ y j i n
siniği	s e
siniği	s e n i
siniği	s e n i ɣ i
siniği	s e ɣ i
siniği	s i
siniği	s i n i
siniği	s i n i ɣ i
siniği	s i ŋ k i
siniği	s i ɣ i
sirge	s i r kʰ æ
sirge	s i r ɣ e
sirge	s i r ɣ æ
siçirağusı	s i t͡ɕ r ɑ
siçirağusı	s i ʝ i r ɑ
siçirağusı	s i ʝ r ɑ
siñgirğüsi	s i ŋ ɡ i r
siñgirğüsi	s i ŋ ɡ i r ɣ y s i
so	s o
solaq	s o l o χ
solaq	s o l u χ
solaq	s o l ɑ χ
solaq	s u l u χ
sorma	s o r m ɑ
sovcı	s oː ʝ i
sovcı	s u ʒ ɨ
sox	s o χ
soğulcañ	s o ʁ o l ʝ ɑ ŋ
soğulcañ	s o ʁ u l ʝ ɑ ŋ
soğulcañ	s o ʁ ɑ l ʝ ɑ ŋ
soğulcañ	s o ʁ ɨ l ʝ ɑ ŋ
soğulcañ	s o ʁ ɨ r t͡ʂ ɑ ŋ
sunqusı	s u n q u s ɨ
susağusı	i s s ɑ
susağusı	i s s ɑ ʁ u s ɨ
susağusı	s u s ɑ
susağusı	s u s ɑ ʁ u s ɨ
susağusı	s u s ɨ
susağusı	s u s ɨ ʁ u s ɨ
susağusı	s u v s ɑ
susağusı	s u v s ɑ ʁ u s ɨ
sutqusı	s u t
sutqusı	s u t ʁ u s ɨ
suvarğusı	s u v ɑ r ʁ u s ɨ
suvağusı	s u v ɑ
suvağusı	s u v ɑ ʁ u s ɨ
söge	s o ɣ e
söge	s o ɣ u
söge	s u x u
söge	s ø ɣ ø
söngür	s o ŋ ɡ u r
söxlen	s i u x l i e n
söxlen	s y̥ x l æ n
söxlen	s ø x l e n
söyingüsi	s o j i n ɣ y s i
söyingüsi	s ø j i n ɣ y s i
söğineğüsi	s ø ɣ i n e
söğineğüsi	s ø ɣ i n e ɣ y s i
südük	s y d y x
süle	s i u l i
süle	s u l i
süle	s uː l e
sürğüsi	s y r
sürğüsi	s y r ɣ y s i
sürğüsi	s yː r
sürğüsi	s yː r ɣ y s i
süt	s y t
sütgüsi	s y tʰ
sütgüsi	s y tʰ ɣ y s i
sırnaq	s i r n ɑ χ
sırnaq	s ɨ r n ɑ χ
sırğa	s ɨ r ʁ ɑ
sıx	s ɑ χ
sıx	s ɨ χ
sıxlağusı	s i χ l ɑ
sıxlağusı	s i χ l ɑ ʁ u s ɨ
sıxlağusı	s ɨ χ l ɑ
sıxlağusı	s ɨ χ l ɑ ʁ u s ɨ
sıxqusı	s ɑ χ q u s ɨ
sıxqusı	s ɨ χ q u s ɨ
sıxsağan	s ɨ χ s i ʁ ɑ n
sıxsağan	s ɨ χ s i ʁ ɨ n
sıxsağan	s ɨ χ s ɨ ɣ ɑ n
sıxsağan	s ɨ χ z i ʁ ɨ n
sıxsağan	s ɨ χ z ɑ ʁ ɑ n
sıxır	s ɨ χ ɨ r
tadağusı	tʰ ɑ d ɑ ʁ u s ɨ
tallar	t ɑ l l ɑ r
tangun	tʰ ɑ ŋ ɢ u n
tañnı	tʰ ɑ ŋ n ɨ
terci	tʰ e r e ʝ e
terci	tʰ e r i ʝ e
terci	tʰ e r ʝ i
terengüsi	tʰ e r e n
terengüsi	tʰ e r e n ɣ y s i
terengüsi	tʰ ø r ø n
terengüsi	tʰ ø r ø n ɣ y s i
tiga	t i k k e
tiga	tʰ i k ɑ
tiga	tʰ i x ɑ
tiri	tʰ i r ɨ
tixgüsi	t i̥ x k y s i
tiş	tʰ i ɕ
tiş	tʰ y ɕ
tiş	t͡ɕ i
tiş	t͡ɕ i ɕ
tolağusı	tʰ oː l ɑ ʁ u s ɨ
tormu	tʰ o r m u
tosqusı	tʰ o s
tosqusı	tʰ o s ʁ u s ɨ
tox	tʰ o χ
toxmaq	tʰ o χ m ɑ χ
toğıla	tʰ o ʁ l ɑ
toğıla	tʰ o ʁ o l ɑ
toğıla	tʰ o ʁ ɨ l ɑ
töngüsi	tʰ ø n
töngüsi	tʰ ø n ɣ y s i
tüdün	tʰ y d e n
tüdün	tʰ y d y n
tüdün	tʰ y t y n
tüdün	t͡ɕ i t͡ɕ i n
tüle	tʰ i u l i
tüle	tʰ y l e
türı	tʰ y r æ
türı	tʰ y r ɨ
tüx	tʰ i u x
tüx	tʰ y x
tüxlis	tʰ y x l e s
tüxlis	tʰ y x l i s
tüxlis	t͡ɕ i x l i s
tüxürğüsi	tʰ y x u r
tüxürğüsi	tʰ y x u r ɣ y s i
tüxürğüsi	t͡ɕ y x u r
tüxürğüsi	t͡ɕ y x u r ɣ y s i
tüxürğüsi	ʒʰ i x u r
tüxürğüsi	ʒʰ i x u r ɣ y s i
tırna	tʰ i r n ɑ
tırna	tʰ ɨ r n ɑ
tıxda	tʰ ɨ χ t ɑ
uc	u ʒ
uc	u ʝ
ullı	u l l ɨ
ullı	u l u
ullı	u l ɨ
un	u n
urxan	o r χ ɑ n
urxan	u r χ ɑ n
urxan	u r χ ɨ n
usgu	u s k u
usgu	u s q u
usgu	ʏ s kʰ u
uslağusı	u s l ɑ ʁ u s ɨ
uslağusı	v u s l ɑ ʁ u s ɨ
uvğusı	uː
uvğusı	uː ʁ u s ɨ
uxasqusı	u χ u s q u s ɨ
uxasqusı	u χ ɑ s q u s ɨ
uxlağusı	u χ l ɑ
uxlağusı	u χ l ɑ ʁ u s ɨ
uxqusı	u χ
uxqusı	u χ ʁ u s ɨ
uzaq	u z ɑ χ
uzın	u z u n
uzın	u z ɨ n
uğutqusı	u ʁ u t q u s ɨ
uşaq	u ʃ ɑ χ
vaxqusı	p ɑ χ
vaxqusı	p ɑ χ ʁ u s ɨ
vaxqusı	v ɑ χ
vaxqusı	v ɑ χ ʁ u s ɨ
vağusı	p ɑ ʁ u s ɨ
vağusı	p ɑː ʁ u s ɨ
vağusı	v ɑ ʁ u s ɨ
vağusı	v ɑː ʁ u s ɨ
viğüsi	b eː ɣ y s i )
viğüsi	v iː ɣ y s i
voğusı	p o ʁ u s ɨ
voğusı	p oː ʁ u s ɨ
voğusı	v o ʁ u s ɨ
voğusı	v oː ʁ u s ɨ
vurğusı	v u r ʁ u s ɨ
xabagu	χ ɑ b ɑ k u
xaluñ	χ ɑ l u ŋ
xantar	χ ɑ n tʰ ɑ r
xantar	χ ɑ n tʰ ɨ r
xap	χ ɑ p
xarsı	χ ɑ r s ɨ
xarı	χ ɑ r ɨ
xatqusı	χ ɑ tʰ q u s ɨ
xaşuq	χ ɑ ʃ u χ
xodarğusı	χ o d ɑ r
xodarğusı	χ o d ɑ r ʁ u s ɨ
xodarğusı	χ o d ɨ r
xodarğusı	χ o d ɨ r ʁ u s ɨ
xoltuq	χ o l t u χ
xoltuq	χ o l tʰ u χ
xona	χ o n a
xotqusı	χ o pʰ q u s ɨ
xotqusı	χ o tʰ q u s ɨ )
xovarğusı	χ o v ɑ r ʁ u s ɨ
xovarğusı	χ o v ɨ r ʁ u s ɨ
xovarğusı	χ o ɑː r ʁ u s ɨ
xovarğusı	χ oʰ p ɑ r ʁ u s ɨ
xovarğusı	χ oː r ʁ u s ɨ
xovarğusı	χ u p ɑ r ʁ u s ɨ
xoy	x o j
xoy	x u j
xoy	χ u j
xoy	χ ɨ j
xoz	χ o z
xoğun	χ o ʁ u n
xoşmaq	χ o ɕ m ɑ χ
xurlağusı	χ u r l ɑ
xurlağusı	χ u r l ɑ ʁ u s ɨ
xusaq	qʰ u s ɑ χ
xusaq	χ u s ɑ ɣ i
xusaq	χ u s ɑ χ
xusqusı	qʰ u s q u s ɨ
xusqusı	χ u s q u s ɨ
xuçaq	χ u t͡ɕ ɑ χ
xuçaq	χ u t͡ɕ ɨ χ
xuñnağusı	χ u ŋ n ɑ
xuñnağusı	χ u ŋ n ɑ ʁ u s ɨ
xuñnağusı	χ uː n ɑ
xuñnağusı	χ uː n ɑ ʁ u s ɨ
xuşañ	χ u ʃ ɑ ŋ
xılçıq	χ ɨ l t͡ʃ ɨ χ
xılçıq	χ ɨ l ʝ ɨ χ
xısdağusı	χ ɨ s t ɑ ʁ u s ɨ
xısqa	qʰ ɯ s q ɑ
xısqa	qʰ ɯ s q ɨ
xısqa	χ ɯ s q ɑ
xısqa	χ ɯ s q ɨ
xısqusı	χ ɨ s q u s ɨ
xıtqusı	χ ɨ tʰ q u s ɨ
xıttı	χ ɑʰ t ɨ
xıttı	χ ɨ t ʝ i
xıttı	χ ɨʰ t ɨ
xığırdaq	χ ɨ ʁ ɨ r t ɑ χ
yaba	j ɑ b ɑ
yaba	j ɑ b ɨ
yadağusı	j ɑ d ɑ
yadağusı	j ɑ d ɑ ʁ u s ɨ
yafqusı	j ɑ h q u s ɨ
yafqusı	j ɑ pʰ q u s ɨ
yafraq	j ɑ f r ɑ χ
yafraq	j ɑ h r ɑ χ
yafraq	j ɑ h r ɨ χ
yafraq	j ɑ r v ɑ χ
yafraq	j ɑ ɹ f ɑ χ
yafraq	j ɑ χ r ɑ χ
yaltaci	j ɑ l tʰ ɑ d͡ʒ i
yamaq	j ɑ m ɑ χ
yamus	j ɑ m u s
yamus	j ɑ m ɨ s
yan	j ɑ n
yan	j ɑː n
yana	j ɑ n ɑ
yana	j ɑ n ɨ
yanqusı	j ɑ n q u s ɨ
yançuq	j e n t͡ɕ u χ
yançuq	j e n ʝ u χ
yançuq	j ɑ n t͡ɕ u χ
yançuq	j ɑ n ʝ u χ
yanıt	j ɑː n i t
yanşağusı	e j i ɕ ɑ ʁ u s ɨ
yanşağusı	j e n ɕ i ɣ y s i
yanşağusı	j e ɕ ɑ ʁ u s ɨ
yanşağusı	j i ɕ e ɣ y s i
yanşağusı	j i ɕ i ɣ y s i
yanşağusı	j i ɕ ɑ ʁ u s ɨ
yanşağusı	j æ n ɕ æ ɣ y s i
yanşağusı	j ɑ i ɕ ɑ ʁ u s ɨ
yanşağusı	j ɑ n ɕ ɑ ʁ u s ɨ
yanşağusı	j ɑ ŋ ɕ ɑ ʁ u s ɨ
yarasan	j e r e s e n
yarasan	j e r s e n
yarasan	j e r s i n
yarasan	j e r s ɑ n
yarasan	j ɑ r ɑ s ɑ n
yarasan	j ɑ r ɑ s ə n
yarvalğusı	j ɑ r ɑ l
yarvalğusı	j ɑ r ɑ l ʁ u s ɨ
yarvalğusı	j ɑ r ɨ l
yarvalğusı	j ɑ r ɨ l ʁ u s ɨ
yarı	j ɑ r ɨ
yarımtuq	j ɑ r ɨ m tʰ u χ
yarımtuq	j ɑ r ɨ n tʰ u χ
yarıqçı	j ɑ r ɨ χ t͡ʃ ɨ
yasmuq	j ɑ s m u χ
yasuq	j ɑ s u χ
yatqusı	j ɑ tʰ q u s ɨ
yattañ	j ɑ l ɨ t ɑ ŋ
yattañ	j ɑʰ t ɑ ŋ
yattuq	j ɑʰ tʰ u χ
yaxqusı	j ɑ χ q u s ɨ
yaxın	j ɑ χ ɨ n
yaxşi	j ɑ χ ʃ i
yaz	j ɑ z
yaççuq	j ɑ χ t͡ʃ u χ
yaççuq	j ɑʰ t͡ʃ u χ
yañaq	j ɑ ŋ ɑ χ
yañyü	j ɑ ŋ j y
yağrı	j ɑ r ɢ ɨ
yağrı	j ɑ ʁ n ɨ
yağrı	j ɑ ʁ r ɑ
yağrı	j ɑ ʁ r ɨ
yağrı	j ɑ ʁ r ɨ n
yağrı	j ɑ ʁ ɨ ɹ
yağur	j ɑ ʁ u r
yağırnı	j ɑ ʁ ɨ r n i
yağırnı	j ɑ ʁ ɨ r n ɨ
yaşınğusı	j ɑ ʃ i n
yaşınğusı	j ɑ ʃ i n ɣ y s i
yaşınğusı	j ɑ ʃ ɨ n
yaşınğusı	j ɑ ʃ ɨ n ʁ u s ɨ
yehlegüsi	j e h l e
yehlegüsi	j e h l e ɣ y s i
yekşembe	j e s ʃ e m b e
yekşembe	j e x ʃ e m
yekşembe	j e x ʃ e m b e
yel	j e l
yelinküt	j e l e ŋ kʰ y t
yelinküt	j e l i n kʰ y t
yelpüğüsi	j e l p y
yelpüğüsi	j e l p y ɣ y s i
yemcük	j e m ʝ y x
yengü	j e ŋ k u
yengü	j æ ŋ k y
yengü	j ɑ ŋ k u
yengü	j ɑ ŋ k y
yetgüsi	j e t k y s i
yetə	j e t ə
yetə	j i t ə
yide	j e d͡ʒ i
yide	j i d i
yide	j i t e
yide	j i t ɨ
yidemiş	j e tʰ m i ʃ
yidemiş	j eʰ m u ʃ
yidemiş	j i t e m i ʃ
yidemiş	j iʰ m i ʃ
yidigen	j i d i ɣ e n
yigit	j i x t e
yigit	j i x t i
yigit	j i ɣ i t
yilağusı	j i l i
yilağusı	j i l ɑ
yilağusı	j i l ɨ
yilağusı	j ɨ l ɑ
yilik	j i l i x
yilim	j i l i m
yiliğüş	i l i ɣ y ʃ
yiliğüş	j i l i ɣ y ʃ
yimaq	j i m ɑ χ
yimiş	j i m i ɕ
yimiş	j i m y ɕ
yimiş	j y m i ɕ
yirek	j i r e x
yirek	j i r i x
yirek	j y r e x
yiriñ	j i r ɨ ŋ
yirtaq	j e r tʰ ɑ χ
yirtaq	j i r tʰ ɑ χ
yirtaq	j i r tʰ ɨ χ
yirtaq	r i tʰ u χ
yirtaq	r i tʰ ɑ χ
yirtaq	r i tʰ ɨ χ
yitim	j i t i m
yitim	j i tʰ i m
yitli	j i h l i
yiy	j i j
yiy	j iː
yiğrengüsi	j i ɣ r e n k y s i
yiğüsi	j e ɣ y s i
yiğüsi	j i ɣ y s i
yolaq	j o l u χ
yolaq	j o l ɑ χ
yolaq	j o l ɨ χ
yoppa	j o h p a
yorğan	j o r ʁ ɑ n
yox	j o χ
yoxba	j o h p ɑ
yoxba	j o χ p ɑ
yoxba	j u χ p ɑ
yoğan	j o ʁ ɑ n
yul	j u l
yul	j y l
yulduz	j u l d u z
yumaq	j u m ɑ χ
yumutta	j u m u t u
yumutta	j u m u t ɑ
yumutta	j u m u tʰ u
yumutta	j u m u tʰ ɑ
yumutta	j u m uʰ t ɑ
yumutta	j ɨ m ɨ r t ɑ
yumutta	j ɨ m ɨ r tʰ ɑ
yuñ	j u ŋ
yuñxuñ	j u ŋ x u ŋ
yuğurdaq	j u ɣ u r d ɑ χ
yuğurdaq	j u ʁ u r d u χ
yuğurdaq	j u ʁ u r d ɑ χ
yuğurğusı	j u ʁ u r
yuğurğusı	j u ʁ u r ʁ u s ɨ
yörğeğüsi	j u r m e
yörğeğüsi	j u r m e ɣ y s i
yörğeğüsi	j ø r ɣ e
yörğeğüsi	j ø r ɣ e ɣ y s i
yörğeğüsi	j ø r ɣ ø
yörğeğüsi	j ø r ɣ ø ɣ y s i
yükkürğüsi	j yʰ k y r
yükkürğüsi	j yʰ k y r ɣ y s i
yüküngüsi	j y k y n
yüküngüsi	j y k y n ɣ y s i
yüküngüsi	j yʰ k u n
yüküngüsi	j yʰ k u n ɣ y s i
yür	j y r
yürğüsi	j y r ɣ y s i
yüz	j y z
yıldırcañ	j ɨ l d ɨ r ʝ ɑ ŋ
yıxağusı	j i χ
yıxağusı	j i χ ɑ
yıxağusı	j i χ ɑ ʁ u s ɨ
yıxağusı	j i χ ʁ u s ɨ
yığılğusı	j i ʁ ɨ l ʁ u s ɨ
yığılğusı	j ɨ ʁ ɨ l ʁ u s ɨ
zaqarağusı	z ɑ q ɑ r ɑ
zaqarağusı	z ɑ q ɑ r ɑ ʁ u s ɨ
zaqarağusı	z ɑ q ɨ r
zaqarağusı	z ɑ q ɨ r ʁ u s ɨ
zassañ	z ɑ s ɑ ŋ
zassañ	z ɑʰ s ɑ ŋ
zen	z e n
zen	z æ n
ziqırağusı	z i q ɨ r ɑ
ziqırağusı	z i q ɨ r ɑ ʁ u s ɨ
zoraq	z o r ɑ χ
zoğzığusı	z o ʁ z ɑ
zoğzığusı	z o ʁ z ɑ ʁ u s ɨ
zoğzığusı	z o ʁ z ɨ
zoğzığusı	z o ʁ z ɨ ʁ u s ɨ
çad	t͡ɕ ɑ d
çad	t͡ɕ ɑ d ɨ
çalağusı	t͡ʃ ɑ l ɑ
çalağusı	t͡ʃ ɑ l ɑ ʁ u s ɨ
çalğum	t͡ɕ ɑ l ɨ ʁ u m
çalğum	t͡ɕ ɑ l ʁ u n
çalğum	t͡ɕ ɑ l ʁ ɨ m
çalğum	t͡ɕ ɑ l ʁ ɨ n
çalğusı	t͡ʃ ɑ l
çalğusı	t͡ʃ ɑ l ʁ u s ɨ
çalınqusı	t͡ʃ ɑ l ɨ n
çalınqusı	t͡ʃ ɑ l ɨ n ʁ u s ɨ
çatqusı	t͡ʃ ɑ pʰ q u s ɨ
çatqusı	t͡ʃ ɑ tʰ q u s ɨ
çaxmaq	t͡ʃ ɑ χ m ɑ χ
çaxmaq	t͡ʃ ɨ χ m ɨ χ
çaşqusı	t͡ɕ ɑ ɕ q u s ɨ
çeden	t͡ɕ e d e n
çel	t͡ʃ e l
çel	t͡ʃ æ l
çeneğüsi	t͡ʃ e n e
çeneğüsi	t͡ʃ e n e ɣ y s i
çira	t͡ʃ i r ɑ
çira	t͡ʃ i r ɑː
çiraluq	t͡ʃ i r ɑ l u χ
çirik	t͡ʃ i r i x
çix	t͡ɕ e x
çix	t͡ɕ i x
çixgüsi	t͡ɕ e x k y s i
çixgüsi	t͡ɕ i h k y s i
çixgüsi	t͡ɕ i x k y s i
çixişgüsi	t͡ɕ i x i ɕ ɣ y s i
çiyik	t͡ɕ i j i x
çiyik	t͡ɕ i x
çiyik	t͡ɕ iː x
çiyik	t͡ɕ iː x i
çiyik	t͡ɕ i̥ x
çiyğüsi	t͡ɕ i j
çiyğüsi	t͡ɕ i j ɣ y s i
çiçek	t͡s iː t͡s e x
çiñnağusı	t͡ɕ i ŋ n ɑ ʁ u s ɨ
çişgüsi	t͡ɕ i ʃ
çişgüsi	t͡ɕ i ʃ ɣ y s i
çodar	t͡ʃ o d ɑ r
çodar	t͡ʃ o d ɨ r
çodar	t͡ʃ oː d ɨ r
çoldoñ	t͡ɕ o l t o ŋ
çollağusı	t͡ʃ o l l ɑ
çollağusı	t͡ʃ o l l ɑ ʁ u s ɨ
çubuğan	t͡ʃ u b u ʁ ɑ n
çugu	t͡ɕ u k u
çulur	t͡ɕ u l u r
çuxraq	t͡ɕ u χ r u χ
çuxraq	t͡ɕ u χ r ɑ χ
çuxrağusı	t͡ɕ u χ r ɑ
çuxrağusı	t͡ɕ u χ r ɑ ʁ u s ɨ
çuxur	t͡ɕ u χ u r
çömgüsi	t͡ɕ o m
çömgüsi	t͡ɕ o m ɣ y s i
çömgüsi	t͡ɕ u m
çömgüsi	t͡ɕ u m ɣ y s i
çömgüsi	t͡ɕ ø m
çömgüsi	t͡ɕ ø m ɣ y s i
çömneğüsi	t͡ɕ o m n e ɣ y s i
çömneğüsi	ʝ ø m n e ɣ y s i
çömneğüsi	ʝ ø m n ɑ ɣ y s i
çöp	t͡ɕ y pʰ
çöp	t͡ɕ ø pʰ
çöxgüsi	t͡ɕ u kʰ k y s i
çöxgüsi	t͡ɕ y x k y s i
çöxgüsi	t͡ɕ ø x k y s i
çöyğüsi	t͡ɕ y j ɣ y s i
çöyğüsi	t͡ɕ ø j ɣ y s i
çüp	t͡ɕ o p
çüp	t͡ɕ y p
çüreğüsi	t͡ɕ i u r e ɣ y s i
çüreğüsi	t͡ɕ i u r i ɣ y s i
çüreğüsi	t͡ɕ i y r ɣ y s i
çüreğüsi	t͡ɕ o u r i ɣ y s i
çüreğüsi	t͡ɕ u v u r ɣ y s i
çüreğüsi	t͡ɕ uː r ɣ y s i
çüreğüsi	t͡ɕ y r ɣ y s i
çüreğüsi	t͡ɕ y v i r ɣ y s i
çürğüsi	t͡ɕ i y r ɣ y s i
çürğüsi	t͡ɕ u v u r ɣ y s i
çürğüsi	t͡ɕ uː r ɣ y s i
çürğüsi	t͡ɕ y r ɣ y s i
çürğüsi	t͡ɕ y v i r ɣ y s i
çıxqusı	t͡ɕ ɨ χ q u s ɨ ~ t͡ɕ i χ q u s ɨ
çıxrağusı	t͡ɕ ɑ χ r ɨ ʁ u s ɨ
