Adar	ɑː d ɑː ɾ
absans	ɑː b s ɑː n s
adaptasyon	ɑː d ɑː p t ɑː s j oː n
ade	ɑː d ɛ
adilî	ɑː d ɪ l iː
adrenalîn	ɑː d ɾ ɛ n ɑː l iː n
afirand	ɑː f ɪ ɾ ɑː n d
afirandibe	ɑː f ɪ ɾ ɑː n d ɪ b ɛ
afirandibim	ɑː f ɪ ɾ ɑː n d ɪ b ɪ m
afirandibin	ɑː f ɪ ɾ ɑː n d ɪ b ɪ n
afirandibî	ɑː f ɪ ɾ ɑː n d ɪ b iː
afirandibû	ɑː f ɪ ɾ ɑː n d ɪ b uː
afirandibûya	ɑː f ɪ ɾ ɑː n d ɪ b uː j ɑː
afirandibûye	ɑː f ɪ ɾ ɑː n d ɪ b uː j ɛ
afirandin	ɑː f ɪ ɾ ɑː n d ɪ n
afirandiye	ɑː f ɪ ɾ ɑː n d ɪ j ɛ
afirmend	ɑː f ɪ ɾ m ɛ n d
afirîner	ɑː f ɪ ɾ iː n ɛ ɾ
afret	ɑː f ɾ ɛ t
afrîkansî	ɑː f ɾ iː k ɑː n s iː
agahdar	ɑː ɡ ɑː h d ɑː ɾ
agahî	ɑː ɡ ɑː h iː
agir	ɑː ɡ ɪ ɾ
agirbest	ɑː ɡ ɪ ɾ b ɛ s t
agonîzm	ɑː ɡ oː n iː z m
ahengsazî	ɑː h ɛ ŋ ɡ s ɑː z iː
ajalnasî	ɑː ʒ ɑː l n ɑː s iː
ajanda	ɑː ʒ ɑː n d ɑː
ajans	ɑː ʒ ɑː n s
ajoname	ɑː ʒ oː n ɑː m ɛ
ajotin	ɑː ʒ oː t ɪ n
ajovan	ɑː ʒ oː v ɑː n
akronîm	ɑː k ɾ oː n iː m
aksiyon	ɑː k s ɪ j oː n
aktîvîzm	ɑː k t iː v iː z m
ala	ɑː l ɑː
alandibe	ɑː l ɑː n d ɪ b ɛ
alandibim	ɑː l ɑː n d ɪ b ɪ m
alandibin	ɑː l ɑː n d ɪ b ɪ n
alandibî	ɑː l ɑː n d ɪ b iː
alandibû	ɑː l ɑː n d ɪ b uː
alandibûya	ɑː l ɑː n d ɪ b uː j ɑː
alandin	ɑː l ɑː n d ɪ n
alandiye	ɑː l ɑː n d ɪ j ɛ
alanîn	ɑː l ɑː n iː n
alav	ɑː l ɑː v
alegorî	ɑː l ɛ ɡ oː ɾ iː
alek	ɑː l ɛ k
alif	ɑː l ɪ f
almanî	ɑː l m ɑː n iː
alternatîv	ɑː l t ɛ ɾ n ɑː t iː v
alî	ɑː l iː
alîgir	ɑː l iː ɡ ɪ ɾ
alîkar	ɑː l iː k ɑː ɾ
alîkarî	ɑː l iː k ɑː ɾ iː
alîstin	ɑː l iː s t ɪ n
amade	ɑː m ɑː d ɛ
amadekarî	ɑː m ɑː d ɛ k ɑː ɾ iː
ambasad	ɑː m b ɑː s ɑː d
ambûlans	ɑː m b uː l ɑː n s
amfetamîn	ɑː m f ɛ t ɑː m iː n
amûr	ɑː m uː ɾ
analojî	ɑː n ɑː l oː ʒ iː
anatoksîn	ɑː n ɑː t oː k s iː n
anatomî	ɑː n ɑː t oː m iː
androlojî	ɑː n d ɾ oː l oː ʒ iː
androtomî	ɑː n d ɾ oː t oː m iː
antagonîzm	ɑː n t ɑː ɡ oː n iː z m
antonîm	ɑː n t oː n iː m
antrenor	ɑː n t ɾ ɛ n oː ɾ
antîhîstamîn	ɑː n t iː h iː s t ɑː m iː n
anîlîn	ɑː n iː l iː n
anîmasyon	ɑː n iː m ɑː s j oː n
anîn	ɑː n iː n
aqil	ɑː q ɪ l
arkeolojî	ɑː ɾ k ɛ oː l oː ʒ iː
armanc	ɑː ɾ m ɑː n d͡ʒ
artêş	ɑː ɾ t eː ʃ
arû	ɑː ɾ uː
arûk	ɑː ɾ uː k
arşîv	ɑː ɾ ʃ iː v
asanî	ɑː s ɑː n iː
asetenîl	ɑː s ɛ t ɛ n iː l
asparagîn	ɑː s p ɑː ɾ ɑː ɡ iː n
asteng	ɑː s t ɛ ŋ ɡ
astronomî	ɑː s t ɾ oː n oː m iː
asîstan	ɑː s iː s t ɑː n
atraksiyon	ɑː t ɾ ɑː k s ɪ j oː n
av	ɑː v
avahî	ɑː v ɑː h iː
avbend	ɑː v b ɛ n d
avrêl	ɑː v ɾ eː l
avêtin	ɑː v eː t ɪ n
axa	ɑː x ɑː
axaftin	ɑː x ɑː f t ɪ n
axil	ɑː x ɪ l
axîn	ɑː x iː n
aymara	ɑː j m ɑː ɾ ɑː
azadîhez	ɑː z ɑː d iː h ɛ z
azadîxwaz	ɑː z ɑː d iː x w ɑː z
azirandin	ɑː z ɪ ɾ ɑː n d ɪ n
açar	ɑː t͡ʃ ɑː ɾ
aş	ɑː ʃ
aştî	ɑː ʃ t iː
aşît	ɑː ʃ iː t
ba	b ɑː
babirk	b ɑː b ɪ ɾ k
badegêr	b ɑː d ɛ ɡ eː ɾ
bafûn	b ɑː f uː n
bager	b ɑː ɡ ɛ ɾ
bajar	b ɑː ʒ ɑː ɾ
bajarok	b ɑː ʒ ɑː ɾ oː k
bajarî	b ɑː ʒ ɑː ɾ iː
bakteriyolojî	b ɑː k t ɛ ɾ ɪ j oː l oː ʒ iː
bakur	b ɑː k ʊ ɾ
balafir	b ɑː l ɑː f ɪ ɾ
balafirgeh	b ɑː l ɑː f ɪ ɾ ɡ ɛ h
balafirvan	b ɑː l ɑː f ɪ ɾ v ɑː n
balexanî	b ɑː l ɛ x ɑː n iː
balinde	b ɑː l ɪ n d ɛ
balkêş	b ɑː l k eː ʃ
balkêşî	b ɑː l k eː ʃ iː
balyoz	b ɑː l j oː z
balyozxane	b ɑː l j oː z x ɑː n ɛ
balîna	b ɑː l iː n ɑː
ban	b ɑː n
bandev	b ɑː n d ɛ v
bandor	b ɑː n d oː ɾ
bandorker	b ɑː n d oː ɾ k ɛ ɾ
bang	b ɑː ŋ ɡ
bangkirin	b ɑː ŋ ɡ k ɪ ɾ ɪ n
bar	b ɑː ɾ
baregeh	b ɑː ɾ ɛ ɡ ɛ h
bastîq	b ɑː s t iː q
bav	b ɑː v
baweşînk	b ɑː w ɛ ʃ iː ŋ k
baxçe	b ɑː x t͡ʃ ɛ
bazdan	b ɑː z d ɑː n
bazirgan	b ɑː z ɪ ɾ ɡ ɑː n
bazirganî	b ɑː z ɪ ɾ ɡ ɑː n iː
baçîk	b ɑː t͡ʃ iː k
baş	b ɑː ʃ
baştir	b ɑː ʃ t ɪ ɾ
baştirîn	b ɑː ʃ t ɪ ɾ iː n
başî	b ɑː ʃ iː
başûr	b ɑː ʃ uː ɾ
bedbext	b ɛ d b ɛ x t
bedenî	b ɛ d ɛ n iː
bedew	b ɛ d ɛ w
belav	b ɛ l ɑː v
belavok	b ɛ l ɑː v oː k
belediye	b ɛ l ɛ d ɪ j ɛ
belişandin	b ɛ l ɪ ʃ ɑː n d ɪ n
belê	b ɛ l eː
benîşt	b ɛ n iː ʃ t
beq	b ɛ q
berbijar	b ɛ ɾ b ɪ ʒ ɑː ɾ
berbilavî	b ɛ ɾ b ɪ l ɑː v iː
berdan	b ɛ ɾ d ɑː n
berdewam	b ɛ ɾ d ɛ w ɑː m
berfire	b ɛ ɾ f ɪ ɾ ɛ
berhevdanî	b ɛ ɾ h ɛ v d ɑː n iː
bernamekirin	b ɛ ɾ n ɑː m ɛ k ɪ ɾ ɪ n
bersiv	b ɛ ɾ s ɪ v
bersivandin	b ɛ ɾ s ɪ v ɑː n d ɪ n
bertîl	b ɛ ɾ t iː l
bertîlxwer	b ɛ ɾ t iː l x w ɛ ɾ
bertîlxwerî	b ɛ ɾ t iː l x w ɛ ɾ iː
berxwedan	b ɛ ɾ x w ɛ d ɑː n
berêkane	b ɛ ɾ eː k ɑː n ɛ
betilandin	b ɛ t ɪ l ɑː n d ɪ n
bezok	b ɛ z oː k
beşdar	b ɛ ʃ d ɑː ɾ
biencam	b ɪ ɛ n d͡ʒ ɑː m
biencamî	b ɪ ɛ n d͡ʒ ɑː m iː
biguman	b ɪ ɡ ʊ m ɑː n
bigumanî	b ɪ ɡ ʊ m ɑː n iː
bihar	b ɪ h ɑː ɾ
bihêvî	b ɪ h eː v iː
bijî	b ɪ ʒ iː
bijîşk	b ɪ ʒ iː ʃ k
bikarhêner	b ɪ k ɑː ɾ h eː n ɛ ɾ
bikenin	b ɪ k ɛ n ɪ n
bikevin	b ɪ k ɛ v ɪ n
bilez	b ɪ l ɛ z
bilgîsayar	b ɪ l ɡ iː s ɑː j ɑː ɾ
bilind	b ɪ l ɪ n d
bilûr	b ɪ l uː ɾ
bindestî	b ɪ n d ɛ s t iː
binefş	b ɪ n ɛ f ʃ
binefşî	b ɪ n ɛ f ʃ iː
bingeh	b ɪ n ɡ ɛ h
binkom	b ɪ n k oː m
binpêker	b ɪ n p eː k ɛ ɾ
binpêkerî	b ɪ n p eː k ɛ ɾ iː
binrûpel	b ɪ n ɾ uː p ɛ l
binîya	b ɪ n iː j ɑː
biratî	b ɪ ɾ ɑː t iː
birc	b ɪ ɾ d͡ʒ
birek	b ɪ ɾ ɛ k
birin	b ɪ ɾ ɪ n
birçî	b ɪ ɾ t͡ʃʰ iː
birîn	b ɪ ɾ iː n
birîndar	b ɪ ɾ iː n d ɑː ɾ
biçûk	b ɪ t͡ʃ uː k
bişirîn	b ɪ ʃ ɪ ɾ iː n
borandin	b oː ɾ ɑː n d ɪ n
bêbandor	b eː b ɑː n d oː ɾ
bêbav	b eː b ɑː v
bêbingeh	b eː b ɪ n ɡ ɛ h
bêcil	b eː d͡ʒ ɪ l
bêcilî	b eː d͡ʒ ɪ l iː
bêdilî	b eː d ɪ l iː
bêdiran	b eː d ɪ ɾ ɑː n
bêdê	b eː d eː
bêencam	b eː ɛ n d͡ʒ ɑː m
bêencamî	b eː ɛ n d͡ʒ ɑː m iː
bêguman	b eː ɡ ʊ m ɑː n
bêgumanî	b eː ɡ ʊ m ɑː n iː
bêhtirpêr	b eː h t ɪ ɾ p eː ɾ
bêhêvî	b eː h eː v iː
bêhêvîtî	b eː h eː v iː t iː
bêjenasî	b eː ʒ ɛ n ɑː s iː
bêjing	b eː ʒ ɪ ŋ ɡ
bêkar	b eː k ɑː ɾ
bêkêrî	b eː k eː ɾ iː
bênav	b eː n ɑː v
bênaverok	b eː n ɑː v ɛ ɾ oː k
bênavî	b eː n ɑː v iː
bêpergal	b eː p ɛ ɾ ɡ ɑː l
bêrehm	b eː ɾ ɛ h m
bêwate	b eː w ɑː t ɛ
bêwelat	b eː w ɛ l ɑː t
bêwelatî	b eː w ɛ l ɑː t iː
bêzarok	b eː z ɑː ɾ oː k
bêşerm	b eː ʃ ɛ ɾ m
bîr	b iː ɾ
bîra	b iː ɾ ɑː
bîrkarî	b iː ɾ k ɑː ɾ iː
bîst	b iː s t
bîstin	b iː s t ɪ n
bûn	b uː n
bûyer	b uː j ɛ ɾ
cade	d͡ʒ ɑː d ɛ
camedank	d͡ʒ ɑː m ɛ d ɑː ŋ k
can	d͡ʒ ɑː n
carcaran	d͡ʒ ɑː ɾ d͡ʒ ɑː ɾ ɑː n
carinan	d͡ʒ ɑː ɾ ɪ n ɑː n
ceh	d͡ʒ ɛ h
cem	d͡ʒ ɛ m
cemidandin	d͡ʒ ɛ m ɪ d ɑː n d ɪ n
ceng	d͡ʒ ɛ ŋ ɡ
ceribandin	d͡ʒ ɛ ɾ ɪ b ɑː n d ɪ n
cihûtî	d͡ʒ ɪ h uː t iː
cildank	d͡ʒ ɪ l d ɑː ŋ k
cilixandin	d͡ʒ ɪ l ɪ x ɑː n d ɪ n
civak	d͡ʒ ɪ v ɑː k
civaknas	d͡ʒ ɪ v ɑː k n ɑː s
civat	d͡ʒ ɪ v ɑː t
civîn	d͡ʒ ɪ v iː n
ciwan	d͡ʒ ɪ w ɑː n
ciwanî	d͡ʒ ɪ w ɑː n iː
cotkar	d͡ʒ oː t k ɑː ɾ
cotkarî	d͡ʒ oː t k ɑː ɾ iː
cotmeh	d͡ʒ oː t m ɛ h
cotyar	d͡ʒ oː t j ɑː ɾ
cumle	d͡ʒ ʊ m l ɛ
cînav	d͡ʒ iː n ɑː v
cîzme	d͡ʒ iː z m ɛ
cûtin	d͡ʒ uː t ɪ n
dabaş	d ɑː b ɑː ʃ
dadgeh	d ɑː d ɡ ɛ h
dadmend	d ɑː d m ɛ n d
damezrandin	d ɑː m ɛ z ɾ ɑː n d ɪ n
danegeh	d ɑː n ɛ ɡ ɛ h
danîn	d ɑː n iː n
daqurtandin	d ɑː q ʊ ɾ t ɑː n d ɪ n
daristan	d ɑː ɾ ɪ s t ɑː n
dasî	d ɑː s iː
daxuyanî	d ɑː x ʊ j ɑː n iː
daxwaz	d ɑː x w ɑː z
dayik	d ɑː j ɪ k
daçek	d ɑː t͡ʃ ɛ k
daûrandin	d ɑː uː ɾ ɑː n d ɪ n
defter	d ɛ f t ɛ ɾ
delalî	d ɛ l ɑː l iː
delîl	d ɛ l iː l
demokratîk	d ɛ m oː k ɾ ɑː t iː k
demsal	d ɛ m s ɑː l
dendikî	d ɛ n d ɪ k iː
dendrokronolojî	d ɛ n d ɾ oː k ɾ oː n oː l oː ʒ iː
dereng	d ɛ ɾ ɛ ŋ ɡ
derew	d ɛ ɾ ɛ w
derfet	d ɛ ɾ f ɛ t
dergeh	d ɛ ɾ ɡ ɛ h
derhêner	d ɛ ɾ h eː n ɛ ɾ
derzî	d ɛ ɾ z iː
destan	d ɛ s t ɑː n
desthilat	d ɛ s t h ɪ l ɑː t
destnivîs	d ɛ s t n ɪ v iː s
destpêk	d ɛ s tˤ pˤ eː kˤ
destûr	d ɛ s tˤ uː ɾ
dev	d ɛ v
dever	d ɛ v ɛ ɾ
devkî	d ɛ v k iː
dewisandin	d ɛ w ɪ s ɑː n d ɪ n
dewlemend	d ɛ w l ɛ m ɛ n d
dews	d ɛ w s
dexalet	d ɛ x ɑː l ɛ t
dexl	d ɛ x l
deyndêr	d ɛ j n d eː ɾ
dezî	d ɛ z iː
dibistan	d ɪ b ɪ s t ɑː n
digel	d ɪ ɡ ɛ l
dihî	d ɪ h iː
dijdemokratîk	d ɪ ʒ d ɛ m oː k ɾ ɑː t iː k
dijmin	d ɪ ʒ m ɪ n
dijmirovî	d ɪ ʒ m ɪ ɾ oː v iː
dijwate	d ɪ ʒ w ɑː t ɛ
dijî	d ɪ ʒ iː
dikak	d ɪ k ɑː k
dil	d ɪ l
dilop	d ɪ l oː p
dilsozî	d ɪ l s oː z iː
diltengî	d ɪ l t ɛ n ɡ iː
dilşewat	d ɪ l ʃ ɛ w ɑː t
dinyalik	d ɪ n j ɑː l ɪ k
diranî	d ɪ ɾ ɑː n iː
dirust	d ɪ ɾ ʊ s t
dirêj	d ɪ ɾ eː ʒ
dirêş	d ɪ ɾ eː ʃ
dirî	d ɪ ɾ iː
dizîkî	d ɪ z iː k iː
dizîn	d ɪ z iː n
dolab	d oː l ɑː b
domandin	d oː m ɑː n d ɪ n
domiz	d oː m ɪ z
dotin	d oː t ɪ n
dozgêr	d oː z ɡ eː ɾ
doşîn	d oː ʃ iː n
duşem	d ʊ ʃ ɛ m
dê	d eː
dêdik	d eː d ɪ k
dêl	d eː l
dêw	d eː w
dîn	d iː n
dîrok	d iː ɾ oː k
dîroknas	d iː ɾ oː k n ɑː s
dîrokî	d iː ɾ oː k iː
dîsa	d iː s ɑː
dîtin	d iː t ɪ n
dîyar	d iː j ɑː ɾ
dîz	d iː z
dûr	d uː ɾ
dûrbîn	d uː ɾ b iː n
ebedî	ɛ b ɛ d iː
ecibandin	ɛ d͡ʒ ɪ b ɑː n d ɪ n
edalet	ɛ d ɑː l ɛ t
edilandin	ɛ d ɪ l ɑː n d ɪ n
efendî	ɛ f ɛ n d iː
efsûnî	ɛ f s uː n iː
ejdeha	ɛ ʒ d ɛ h ɑː
elmanî	ɛ l m ɑː n iː
emerîkî	ɛ m ɛ ɾ iː k iː
encumen	ɛ n d͡ʒ ʊ m ɛ n
enextar	ɛ n ɛ x t ɑː ɾ
engizandin	ɛ n ɡ ɪ z ɑː n d ɪ n
epoksîd	ɛ p oː k s iː d
erotîk	ɛ ɾ oː t iː k
erê	ɛ ɾ eː
evîndar	ɛ v iː n d ɑː ɾ
evîndarî	ɛ v iː n d ɑː ɾ iː
ewlehî	ɛ w l ɛ h iː
ewr	ɛ w ɾ
ewrkirin	ɛ w ɾ k ɪ ɾ ɪ n
eylo	ɛ j l oː
eşq	ɛ ʃ q
eşya	ɛ ʃ j ɑː
eşîr	ɛ ʃ iː ɾ
farisî	f ɑː ɾ ɪ s iː
ferec	f ɛ ɾ ɛ d͡ʒ
ferfûr	f ɛ ɾ f uː ɾ
ferheng	f ɛ ɾ h ɛ ŋ ɡ
fermî	f ɛ ɾ m iː
fetisandin	f ɛ t ɪ s ɑː n d ɪ n
fikirîn	f ɪ k ɪ ɾ iː n
filitîn	f ɪ l ɪ t iː n
firaq	f ɪ ɾ ɑː q
firavîn	f ɪ ɾ ɑː v iː n
fireh	f ɪ ɾ ɛ h
firotin	f ɪ ɾ oː t ɪ n
firrîn	f ɪ ɾ ɾ iː n
firîn	f ɪ ɾ iː n
fistiq	f ɪ s t ɪ q
fonetîk	f oː n ɛ t iː k
frên	f ɾ eː n
fîrma	f iː ɾ m ɑː
fîtotomî	f iː t oː t oː m iː
garantî	ɡ ɑː ɾ ɑː n t iː
gazî	ɡ ɑː z iː
gelek	ɡ ɛ l ɛ k
genim	ɡ ɛ n ɪ m
gerden	ɡ ɛ ɾ d ɛ n
gewdeyî	ɡ ɛ w d ɛ j iː
gewr	ɡ ɛ w ɾ
gewrî	ɡ ɛ w ɾ iː
gihanek	ɡ ɪ h ɑː n ɛ k
girrnijîn	ɡ ɪ r n ɪ ʒ iː n
girtin	ɡ ɪ ɾ t ɪ n
girtîgeh	ɡ ɪ ɾ t iː ɡ ɛ h
girêdan	ɡ ɪ ɾ eː d ɑː n
girîng	ɡ ɪ ɾ iː ŋ ɡ
gizêr	ɡ ɪ z eː ɾ
giştî	ɡ ɪ ʃ t iː
gor	ɡ oː r
goristan	ɡ oː r ɪ s t ɑː n
gotin	ɡ oː t ɪ n
govend	ɡ oː v ɛ n d
goşe	ɡ oː ʃ ɛ
goşt	ɡ oː ʃ t
goştxwer	ɡ oː ʃ t xʷ ɛ ɾ
guldank	ɡ ʊ l d ɑː ŋ k
guman	ɡ ʊ m ɑː n
gund	ɡ ʊ n d
gurî	ɡ ʊ r iː
gêj	ɡ eː ʒ
gêjî	ɡ eː ʒ iː
gêlaz	ɡ eː l ɑː z
gêzer	ɡ eː z ɛ ɾ
gûz	ɡ uː z
han	h ɑː n
haqas	h ɑː q ɑː s
hatin	h ɑː t ɪ n
hebûn	h ɛ b uː n
hedef	h ɛ d ɛ f
heft	ħ æ f t
hefte	h ɛ f t ɛ
hefteyane	h ɛ f t ɛ j ɑː n ɛ
hejmar	h ɛ ʒ m ɑː ɾ
hejîr	h ɛ ʒ iː ɾ
helbest	h ɛ l b ɛ s t
henek	h ɛ n ɛ k
herherî	h ɛ ɾ h ɛ ɾ iː
herheyî	h ɛ ɾ h ɛ j iː
herimandin	h ɛ ɾ ɪ m ɑː n d ɪ n
herêm	h ɛ ɾ eː m
hesin	h ɛ s ɪ n
hesp	h ɛ s p
hest	h ɛ s t
hetikandin	h ɛ t ɪ k ɑː n d ɪ n
heval	h ɛ v ɑː l
hevalkar	h ɛ v ɑː l k ɑː ɾ
hevalo	h ɛ v ɑː l oː
hevaltî	h ɛ v ɑː l t iː
hevalê	h ɛ v ɑː l eː
hevenav	h ɛ v ɛ n ɑː v
hevok	h ɛ v oː k
hevrikî	h ɛ v ɾ ɪ k iː
hevris	h ɛ v ɾ ɪ s
hevsengî	h ɛ v s ɛ n ɡ iː
hevser	h ɛ v s ɛ ɾ
hevwate	h ɛ v w ɑː t ɛ
hevîr	h ɛ v iː ɾ
hevûrî	h ɛ v uː ɾ iː
hewa	h ɛ w ɑː
hewce	h ɛ w d͡ʒ ɛ
hewl	h ɛ w l
hewq	h ɛ w q
heyam	h ɛ j ɑː m
heyranî	h ɛ j ɾ ɑː n iː
heyşet	h ɛ j ʃ ɛ t
hezarpê	h ɛ z ɑː ɾ p eː
hezarsal	h ɛ z ɑː ɾ s ɑː l
hikûmet	h ɪ k uː m ɛ t
hilbijêr	h ɪ l b ɪ ʒ eː ɾ
hildan	h ɪ l d ɑː n
hilweşandin	h ɪ l w ɛ ʃ ɑː n d ɪ n
hinartin	h ɪ n ɑː ɾ t ɪ n
hingiv	h ɪ n ɡ ɪ v
hirî	h ɪ ɾ iː
hizirîn	h ɪ z ɪ ɾ iː n
hişk	h ɪ ʃ k
hodax	h oː d ɑː x
hogir	h oː ɡ ɪ ɾ
hoker	h oː k ɛ ɾ
holendî	h oː l ɛ n d iː
homonîm	h oː m oː n iː m
hox	h oː x
hozanvan	h oː z ɑː n v ɑː n
hunerhez	h ʊ n ɛ ɾ h ɛ z
hêdî	h eː d iː
hêja	h eː ʒ ɑː
hêjatî	h eː ʒ ɑː t iː
hêkesor	h eː k ɛ s oː ɾ
hêlekan	h eː l ɛ k ɑː n
hêlîn	h eː l iː n
hênan	h eː n ɑː n
hênik	h eː n ɪ k
hêsan	h eː s ɑː n
hêstir	h eː s t ɪ ɾ
hêvî	h eː v iː
hêvîdar	h eː v iː d ɑː ɾ
hêz	h eː z
hîdrojen	h iː d ɾ oː ʒ ɛ n
hîndarî	h iː n d ɑː ɾ iː
hîponîm	h iː p oː n iː m
hîstamîn	h iː s t ɑː m iː n
hîv	h iː v
ihtiyac	ɪ h t ɪ j ɑː d͡ʒ
inglîzî	ɪ ŋ ɡ l iː z iː
japonî	ʒ ɑː p oː n iː
jehr	ʒ ɛ h ɾ
jinebî	ʒ ɪ n ɛ b iː
jixwe	ʒ ɪ x w ɛ
jiyan	ʒ ɪ j ɑː n
jêder	ʒ eː d ɛ ɾ
jêrnivîs	ʒ eː ɾ n ɪ v iː s
jî	ʒ iː
jîn	ʒ iː n
jîyan	ʒ iː j ɑː n
kanabîs	k ɑː n ɑː b iː s
karbidest	k ɑː ɾ b ɪ d ɛ s t
kardînal	k ɑː ɾ d iː n ɑː l
kareba	k ɑː ɾ ɛ b ɑː
kargeh	k ɑː ɾ ɡ ɛ h
karûbar	k ɑː ɾ uː b ɑː ɾ
kat	k ɑː t
katalanî	k ɑː t ɑː l ɑː n iː
kategorî	k ɑː t ɛ ɡ oː ɾ iː
kedî	k ɛ d iː
kef	k ɛ f
kefen	k ɛ f ɛ n
kelex	k ɛ l ɛ x
keleş	k ɛ l ɛ ʃ
kelwaş	k ɛ l w ɑː ʃ
keman	k ɛ m ɑː n
kemer	k ɛ m ɛ ɾ
ken	k ɛ n
kenîn	k ɛ n iː n
ker	k ɛ ɾ
kerb	k ɛ ɾ b
keskesor	k ɛ s k ɛ s oː ɾ
keskûala	k ɛ s k uː ɑː l ɑː
ketamîn	k ɛ t ɑː m iː n
ketin	k ɛ t ɪ n
kevan	k ɛ v ɑː n
kevanî	k ɛ v ɑː n iː
kevir	k ɛ v ɪ ɾ
kevn	k ɛ v n
kevok	k ɛ v oː k
kevçî	k ɛ v t͡ʃ iː
kew	k ɛ w
kewandin	k ɛ w ɑː n d ɪ n
keç	k ɛ t͡ʃ
keçik	k ɛ t͡ʃ ɪ k
keştî	k ɛ ʃ t iː
kilîd	k ɪ l iː d
kilîl	k ɪ l iː l
kirrîn	k ɪ r iː n
kirîn	k ɪ r iː n
kitik	k ɪ t ɪ k
kitêb	k ɪ t eː b
kizir	k ɪ z ɪ ɾ
klorîn	k l oː ɾ iː n
kokaîn	k oː k ɑː iː n
kolan	k oː l ɑː n
kolonî	k oː l oː n iː
komenav	k oː m ɛ n ɑː v
kompanya	k oː m p ɑː n j ɑː
komîte	k oː m iː t ɛ
kongresman	k oː ŋ ɡ ɾ ɛ s m ɑː n
konsolosxane	k oː n s oː l oː s x ɑː n ɛ
kor	k oː ɾ
kovar	k oː v ɑː ɾ
kox	k oː x
kromatîd	k ɾ oː m ɑː t iː d
kudik	k ʊ d ɪ k
kujêr	k ʊ ʒ eː ɾ
kultûr	k ʊ l t uː ɾ
kulîlk	k ʊ l iː l k
kund	k ʊ n d
kundir	k ʊ n d ɪ ɾ
kur	k ʊ ɾ
kurd	k ʊ ɾ d
kurdmancî	k ʊ ɾ d m ɑː n d͡ʒ iː
kurdî	k ʊ ɾ d iː
kurik	k ʊ ɾ ɪ k
kurmancí	k ʊ ɾ m ɑː n d͡ʒ í
kurtedaw	k ʊ ɾ t ɛ d ɑː w
kurtedawên	k ʊ ɾ t ɛ d ɑː w eː n
kurtenav	k ʊ ɾ t ɛ n ɑː v
kurtetenore	k ʊ ɾ t ɛ t ɛ n oː ɾ ɛ
kurteçîrok	k ʊ ɾ t ɛ t͡ʃ iː ɾ oː k
kuç	k ʊ t͡ʃ
kuş	k ʊ ʃ
kuştin	k ʊ ʃ t ɪ n
kêlî	kˤ eː l iː
kêç	k eː t͡ʃ
kîjan	kʰ iː ʒ ɑː n
kîkongoyî	k iː k oː n ɡ oː j iː
kîr	k iː ɾ
kûr	kʰ uː ɾ
