aha	ɐ h ə
kahele	k ə h ɛ l ɛ
kahiki	k ə h i t i
kahu	k ɐ h u
kahue	k ə h u w e
kahula	k ə h u l ə
kahuna	k ə h u n ə
kai	k ɐ j
kai	k ɛ j
kaila	k ɐ j l ə
kaila	k ɛ j l ə
kailani	k ɐ j l ɐ n i
kailani	k ɛ j l ɐ n i
kaimana	k ɐ j m ɐ n ə
kaimana	k ɛ j m ɐ n ə
kainalu	k ɐ j n ɐ l u
kainalu	k ɛ j n ɐ l u
kainoa	k ɐ j n o w ə
kainoa	k ɛ j n o w ə
kaipo	k ɐ j p o
kaipo	k ɛ j p o
kaiwi	k ɐ j ʋ i
kaiwi	k ɛ j ʋ i
kakahiaka	k ə k ə h i j ɐ k ə
kakalia	k ə k ə l i j ə
kakalina	k ə k ə l i n ə
kala	k ɐ l ə
kalai	k ə l ɐ j
kalai	k ə l ɛ j
kalaina	k ə l ɐ j n ə
kalaina	k ə l ɛ j n ə
kalalaina	k ə l ə l ɐ j n ə
kalalaina	k ə l ə l ɛ j n ə
kalama	k ə l ɐ m ə
kalani	k ə l ɐ n i
kalawaiʻa	k ə l ə ʋ ɐ j ʔ ə
kalawaiʻa	k ə l ə ʋ ɛ j ʔ ə
kalaʻi	k ə l ɐ ʔ i
kale	k ɐ l e
kalehua	k ə l e h u w ə
kalei	k ə l ɛ j
kaleialoha	k ə l e j j ə l o h ə
kaleikaumaka	k ə l e j k ɐ w m ɐ k ə
kaleikaumaka	k ə l e j k ɔ w m ɐ k ə
kaleiokalani	k ə l e j j o k ə l ɐ n i
kalena	k ə l ɛ n ə
kaleo	k ə l ɛ j o
kaleolani	k ə l e j o l ɐ n i
kalia	k ə l i j ə
kalikimaka	k ə l i t i m ɐ k ə
kaliko	k ə l i k o
kalili	k ə l i l i
kaliʻa	k ə l i ʔ ə
kalolaina	k ə l o l ɐ j n ə
kalolaina	k ə l o l ɛ j n ə
kalua	k ə l u w ə
kalukalu	k ə l u k ɐ l u
kalā	k ə l aː
kama	k ɐ m ə
kamahiʻai	k ə m ə h i ʔ ɐ j
kamahiʻai	k ə m ə h i ʔ ɛ j
kamaile	k ə m ɐ j l e
kamaile	k ə m ɛ j l e
kamaka	k ə m ɐ k ə
kamaki	k ə m ɐ t i
kamala	k ə m ɐ l ə
kamalani	k ə m ə l ɐ n i
kamalei	k ə m ə l ɛ j
kamaʻāina	k ə m ə ʔ aː j n ə
kameāloha	k ə m e j aː l o h ə
kamila	k ə m i l ə
kanaloa	k ə n ə l o w ə
kanani	k ə n ɐ n i
kanikau	k ə n i k ɐ w
kanikau	k ə n i k ɔ w
kanoa	k ə n o w ə
kanoelani	k ə n o w e l ɐ n i
kapeka	k ə p ɛ k ə
kapika	k ə p i k ə
kapiʻolani	k ə p i ʔ o l ɐ n i
kapono	k ə p o n o
kapua	k ə p u w ə
kapule	k ə p u l e
kau	k ɐ w
kau	k ɔ w
kauaʻi	k ɐ w w ɐ ʔ i
kauhi	k ɐ w h i
kauhi	k ɔ w h i
kaulana	k ɐ w l ɐ n ə
kaulana	k ɔ w l ɐ n ə
kaumokuʻāina	k ɐ w m o k u ʔ aː j n ə
kaumokuʻāina	k ɔ w m o k u ʔ aː j n ə
kauʻi	k ɐ w ʔ i
kauʻi	k ɔ w ʔ i
kauʻilani	k ɐ w ʔ i l ɐ n i
kauʻilani	k ɔ w ʔ i l ɐ n i
kawai	k ə ʋ ɐ j
kawai	k ə ʋ ɛ j
kawailani	k ə ʋ ɐ j l ɐ n i
kawailani	k ə ʋ ɛ j l ɐ n i
kawehi	k ə ʋ ɛ h i
kawelo	k ə ʋ ɛ l o
kawena	k ə ʋ ɛ n ə
kawenaʻulaokalaniahiʻiakaikapoliopelekawahineʻaihonuaināleilehuaapele	k ə ʋ e n ə ʔ u l ɐ o̯ k ə l ə n i j ə h i ʔ i j ə k ɐ j k ə p o l i j o p e l e k ə ʋ ə h i n e ʔ ɐ j h o n u w ɐ j n aː l e j l e h u w ə ɐ p ɛ l ɛ
kawenaʻulaokalaniahiʻiakaikapoliopelekawahineʻaihonuaināleilehuaapele	k ə ʋ e n ə ʔ u l ɐ o̯ k ə l ə n i j ə h i ʔ i j ə k ɛ j k ə p o l i j o p e l e k ə ʋ ə h i n e ʔ ɛ j h o n u w ɛ j n aː l e j l e h u w ə ɐ p ɛ l ɛ
kaʻaukai	k ə ʔ ɐ w k ɐ j
kaʻaukai	k ə ʔ ɔ w k ɛ j
kaʻehu	k ə ʔ ɛ h u
kaʻena	k ə ʔ ɛ n ə
kaʻili	k ə ʔ i l i
kaʻimi	k ə ʔ i m i
kaʻiulani	k ə ʔ j u l ɐ n i
kaʻohu	k ə ʔ o h u
kaʻuhane	k ə ʔ u h ɐ n e
kea	k ɛ j ə
keahi	k e j ɐ h i
keaka	k e j ɐ k ə
keala	k e j ɐ l ə
kealalaina	k e j ə l ə l ɐ j n ə
kealalaina	k e j ə l ə l ɛ j n ə
kealani	k e j ə l ɐ n i
kealiʻi	k e j ə l i ʔ i
kealoha	k e j ə l o h ə
keanu	k e j ɐ n u
keao	k e j ɐ o̯
keawe	k e j ɐ ʋ e
keikilani	k e j t i l ɐ n i
kekoa	k e k o w ə
keleka	k ɛ l ɛ k ə
kelekia	k e l e t i j ə
kelekolio	k e l e k o l i j o
keliʻi	k e l i ʔ i
kelupaina	k e l u p ɐ j n ə
kelupaina	k e l u p ɛ j n ə
keoki	k e j o t i
keola	k e j o l ə
keona	k e j o n ə
keonaona	k e j o n ɐ o̯ n ə
keone	k e j o n e
kepano	k e p ɐ n o
kepola	k e p o l ə
keō	k e j oː
keʻala	k e ʔ ɐ l ə
keʻalohilani	k e ʔ ə l o h i l ɐ n i
kia	t i j ə
kiana	t i j ɐ n ə
kiele	t i ɛ l ɛ
kikilia	t i t i l i j ə
kila	t i l ə
kilia	t i l i j ə
kilikina	t i l i t i n ə
kimo	t i m o
kimokeo	t i m o k ɛ j o
kimona	t i m o n ə
kimu	t i m u
kina	t i n ə
kini	t i n i
kinohi	t i n o h i
kio	t i j o
kipola	t i p o l ə
kiʻi	t i ʔ i
koa	k o w ə
koaea	k o w ɐ e̯ j ə
koleka	k o l ɛ k ə
kolokea	k o l o k ɛ j ə
kolomona	k o l o m o n ə
kolosa	k o l o k ə
koma	k o m ə
komohana	k o m o h ɐ n ə
kopaea	k o p ɐ e̯ j ə
korineto	k o l i n ɛ k o
kuilei	k u w i l ɛ j
kukana	k u k ɐ n ə
kuleana	k u l e j ɐ n ə
kulia	k u l i j ə
kuna	k u n ə
kupuna	k u p u n ə
kuʻualoha	k u ʔ u w ə l o h ə
kuʻuipo	k u ʔ u w i p o
kuʻulei	k u ʔ u l ɛ j
kuʻuleialoha	k u ʔ u l e j j ə l o h ə
kāne	k aː n e
kānāwai	k aː n aː ʋ ɐ j
kānāwai	k aː n aː ʋ ɛ j
kāwelu	k aː ʋ ɛ l u
kāwika	k aː ʋ i k ə
kēhau	k eː h ɐ w
kēhau	k eː h ɔ w
kēhaulani	k eː h ɐ w l ɐ n i
kēhaulani	k eː h ɔ w l ɐ n i
kīwila	t iː ʋ i l ə
kōleka	k oː l ɛ k ə
kūaliʻi	k uː w ə l i ʔ i
kūkaepele	k uː k ɐ ɛ̯ p ɛ l ɛ
lahapa	l ə h ɐ p ə
lakalo	l ə k ɐ l o
lanakila	l ə n ə t i l ə
lani	l ɐ n i
lau	l ɐ w
lau	l ɔ w
laʻakea	l ə ʔ ə k ɛ j ə
lea	l ɛ j ə
lehua	l e h u w ə
lei	l ɛ j
leialoha	l e j j ə l o h ə
leilani	l e j l ɐ n i
leimomi	l e j m o m i
leinani	l e j n ɐ n i
leināʻala	l e j n aː ʔ ɐ l ə
lele	l ɛ l ɛ
lepeka	l ɛ p ɛ k ə
lewi	l ɛ ʋ i
like	l i k e
likeke	l i k ɛ k ɛ
lilia	l i l i j ə
liliana	l i l i j ɐ n ə
lilinoe	l i l i n o w e
lio	l i j o
liona	l i j o n ə
loa	l o w ə
loika	l o̯ i k ə
loka	l o k ə
lokalia	l o k ə l i j ə
loke	l o k e
lokelani	l o k e l ɐ n i
lono	l o n o
lopaka	l o p ɐ k ə
luana	l u w ɐ n ə
lui	l u w i
luika	l u w i k ə
luka	l u k ə
lukia	l u t i j ə
lulia	l u l i j ə
luʻukia	l u ʔ u t i j ə
lāhela	l aː h ɛ l ə
lāhui	l aː h u w i
lūkia	l uː t i j ə
lūkini	l uː t i n i
mahalo	m ə h ɐ l o
mahana	m ə h ɐ n ə
mahelona	m ə h e l o n ə
mahina	m ə h i n ə
mahiʻai	m ə h i ʔ ɐ j
mahiʻai	m ə h i ʔ ɛ j
mahū	m ə h uː
maikaʻi	m ɐ j k ɐ ʔ i
maikaʻi	m ɛ j k ɐ ʔ i
maile	m ɐ j l e
maile	m ɛ j l e
maka	m ɐ k ə
makaio	m ə k ɐ j j o
makaio	m ə k ɛ j j o
makaleka	m ə k ə l ɛ k ə
makalika	m ə k ə l i k ə
makamae	m ə k ə m ɐ e̯
makana	m ə k ɐ n ə
makani	m ə k ɐ n i
makanui	m ə k ə n u w i
makia	m ə t i j ə
makoa	m ə k o w ə
mala	m ɐ l ə
malaea	m ə l ɐ e̯ j ə
malaki	m ə l ɐ t i
maleka	m ə l ɛ k ə
maleko	m ə l ɛ k o
malia	m ə l i j ə
manawa	m ə n ɐ ʋ ə
manaʻolana	m ə n ə ʔ o l ɐ n ə
manu	m ɐ n u
manuela	m ə n u w ɛ l ə
maoli	m ɐ o̯ l i
mauli	m ɐ w l i
mauli	m ɔ w l i
mauna	m ɐ w n ə
mauna	m ɔ w n ə
mei	m ɛ j
mele	m ɛ l ɛ
meleana	m e l e j ɐ n ə
melia	m e l i j ə
mika	m i k ə
mikala	m i k ɐ l ə
mikaʻela	m i k ə ʔ ɛ l ə
mileka	m i l ɛ k ə
miliama	m i l i j ɐ m ə
mililani	m i l i l ɐ n i
mina	m i n ə
moa	m o w ə
moana	m o w ɐ n ə
moani	m o w ɐ n i
moena	m o w ɛ n ə
moke	m o k e
mokihana	m o t i h ɐ n ə
mokuʻāina	m o k u ʔ aː j n ə
molokaʻi	m o l o k ɐ ʔ i
momi	m o m i
momilani	m o m i l ɐ n i
mona	m o n ə
moʻo	m o ʔ o
moʻopuna	m o ʔ o p u n ə
mua	m u w ə
māhealani	m aː h e j ə l ɐ n i
mākaukau	m aː k ɐ w k ɐ w
mākaukau	m aː k ɔ w k ɔ w
māla	m aː l ə
mālie	m aː l i e
māpuana	m aː p u w ɐ n ə
māui	m aː w w i
nahuma	n ə h u m ə
naiʻa	n ɐ j ʔ ə
naiʻa	n ɛ j ʔ ə
nakoa	n ə k o w ə
nalo	n ɐ l o
nalu	n ɐ l u
nanahana	n ə n ə h ɐ n ə
nanea	n ə n ɛ j ə
nani	n ɐ n i
naomi	n ɐ o̯ m i
nehemia	n e h e m i j ə
newaka	n e ʋ ɐ k ə
niʻihau	n i ʔ i h ɐ w
niʻihau	n i ʔ i h ɔ w
noa	n o w ə
noelani	n o w e l ɐ n i
nohealani	n o h e j ə l ɐ n i
nuʻuanu	n u ʔ u w ɐ n u
nāinoa	n aː j n o w ə
nālani	n aː l ɐ n i
nāmaka	n aː m ɐ k ə
nāna	n aː n ə
nāpua	n aː p u w ə
nāwai	n aː ʋ ɐ j
nāwai	n aː ʋ ɛ j
oki	o t i
ono	o n o
paina	p ɐ j n ə
paina	p ɛ j n ə
palakiko	p ə l ə t i k o
palani	p ə l ɐ n i
palapala	p ə l ə p ɐ l ə
pali	p ɐ l i
pana	p ɐ n ə
pane	p ɐ n e
pauahi	p ɐ w w ɐ h i
pauahi	p ɔ w w ɐ h i
paulo	p ɐ w l o
paulo	p ɔ w l o
peke	p ɛ k ɛ
pekelo	p ɛ k ɛ l o
pele	p ɛ l ɛ
pelekila	p e l e t i l ə
peneki	p ɛ n ɛ t i
peni	p ɛ n i
peniʻamina	p e n i ʔ ə m i n ə
pika	p i k ə
pila	p i l ə
pilipi	p i l i p i
pilipo	p i l i p o
pinehaka	p i n e h ɐ k ə
piʻi	p i ʔ i
piʻikea	p i ʔ i k ɛ j ə
piʻilani	p i ʔ i l ɐ n i
poliʻahu	p o l i ʔ ɐ h u
pua	p u w ə
pualani	p u w ə l ɐ n i
puanani	p u w ə n ɐ n i
puka	p u k ə
pāpālina	p aː p aː l i n ə
pāʻina	p aː ʔ i n ə
pōmaikaʻi	p oː m ɐ j k ɐ ʔ i
pōmaikaʻi	p oː m ɛ j k ɐ ʔ i
roselani	l o k e l ɐ n i
roselani	r o s e l ɐ n i
tesalonike	k e k ə l o n i k e
uilama	u w i l ɐ m ə
uka	u k ə
uku	u k u
ula	u l ə
ululani	u l u l ɐ n i
uʻilani	u ʔ i l ɐ n i
wahine	ʋ ə h i n e
wai	ʋ ɐ j
wai	ʋ ɛ j
wailani	ʋ ɐ j l ɐ n i
wailani	ʋ ɛ j l ɐ n i
waina	ʋ ɐ j n ə
waina	ʋ ɛ j n ə
waiwai	ʋ ɐ j ʋ ɐ j
waiwai	ʋ ɛ j ʋ ɛ j
wale	ʋ ɐ l e
walu	ʋ ɐ l u
wiki	v i k i
wikiwiki	v i k i v i k i
wikolia	ʋ i k o l i j ə
wilama	ʋ i l ɐ m ə
wiliama	ʋ i l i j ɐ m ə
zekaria	k e k ə l i j ə
zepania	k e p ə n i j ə
ʻaho	ʔ ɐ h o
ʻai	ʔ ɐ j
ʻai	ʔ ɛ j
ʻaikake	ʔ ɐ j k ɐ k e
ʻaikake	ʔ ɛ j k ɐ k e
ʻakamu	ʔ ə k ɐ m u
ʻakela	ʔ ə k ɛ l ə
ʻakeneki	ʔ ə k ɛ n ɛ t i
ʻakoni	ʔ ə k o n i
ʻalapaki	ʔ ə l ə p ɐ t i
ʻalika	ʔ ə l i k ə
ʻalohilani	ʔ ə l o h i l ɐ n i
ʻamosa	ʔ ə m o k ə
ʻana	ʔ ɐ n ə
ʻanakalia	ʔ ə n ə k ə l i j ə
ʻanalū	ʔ ə n ə l uː
ʻane	ʔ ɐ n e
ʻanekelea	ʔ ə n ɛ k ɛ l ɛ j ə
ʻanoʻi	ʔ ə n o ʔ i
ʻapela	ʔ ə p ɛ l ə
ʻapelahama	ʔ ə p e l ə h ɐ m ə
ʻapikaʻila	ʔ ə p i k ə ʔ i l ə
ʻapōpō	ʔ ə p oː p oː
ʻaukai	ʔ ɐ w k ɐ j
ʻaukai	ʔ ɔ w k ɛ j
ʻaukake	ʔ ɐ w k ɐ k e
ʻaukake	ʔ ɔ w k ɐ k e
ʻaulani	ʔ ɐ w l ɐ n i
ʻaulani	ʔ ɔ w l ɐ n i
ʻaʻā	ʔ ə ʔ aː
ʻehu	ʔ ɛ h u
ʻekekela	ʔ ɛ k ɛ k ɛ l ə
ʻekela	ʔ ɛ k ɛ l ə
ʻeleakala	ʔ e l e j ə k ɐ l ə
ʻelena	ʔ ɛ l ɛ n ə
ʻelia	ʔ e l i j ə
ʻelikapeka	ʔ e l i k ə p ɛ k ə
ʻema	ʔ ɛ m ə
ʻemalia	ʔ e m ə l i j ə
ʻemelia	ʔ e m e l i j ə
ʻemelē	ʔ e m e l eː
ʻenoka	ʔ e n o k ə
ʻepeso	ʔ ɛ p ɛ k o
ʻewa	ʔ ɛ ʋ ə
ʻezekiʻela	ʔ e k e t i ʔ ɛ l ə
ʻikaʻaka	ʔ i k ə ʔ ɐ k ə
ʻisaia	ʔ i k ɐ j j ə
ʻisaia	ʔ i k ɛ j j ə
ʻiwalani	ʔ i ʋ ə l ɐ n i
ʻobadia	ʔ o p ə t i j ə
ʻohana	ʔ o h ɐ n ə
ʻoihana	ʔ o̯ i h ɐ n ə
ʻokina	ʔ o t i n ə
ʻuku	ʔ u k u
ʻukulele	ʔ u k u l ɛ l ɛ
ʻulu	ʔ u l u
ʻāʻālona	ʔ aː ʔ aː l o n ə
ʻōlelo	ʔ oː l ɛ l o
ʻōmaʻomaʻo	ʔ oː m ə ʔ o m ɐ ʔ o
