Adam	æ d ə m
Uzbekistan	ʏ z b ɛ k ɪ s t a n
Vietnam	v i ɛ t n a m
Yemen	j ɛ m ɛ n
abel	aː b ɛ l
aber	a b ɛ r
acowntysy	ə k o ʊ n t ɪ z i
adamant	a d a m a n t
addya	a d j ə
adhelergh	ə ð ɛ l h ə ɹ
adhelergh	ə ð ɛ l h ə ɹ x
adhves	a ð v ɛ s
adhyskans	a ð ɪ s k a n s
adhyski	a ð ɪ s k i
adhyskonieth	a ð ɪ s k ɔ n i ɛ θ
adhyskoniethel	a ð ɪ s k ɔ n i ɛ θ ɛ l
adhyskonydh	a ð ɪ s k ɔ n ɪ ð
adre	ə d ɹ eː
afina	a f iː n a
agan	a ɡ ə n
agas	a ɡ ə s
agas	a ɡ ə z
agensow	ə ɡ ɛ n z o ʊ
ages	a ɡ ɛ z
ahÿs	ə h eː z
ahÿs	ə h iː z
akont	a k ɔ n t
akontya	a k ɔ n t j ə
akontydh	a k ɔ n t ɪ ð
alargh	a l a ɹ x
alebma	ə l eːᵇ m ə
alemma	ə l ɛ mː ə
alhwedh	a l ʍ ɛ ð
alligator	a l i ɡ aː t ɔ r
als	æ l z
als	ɒ l z
altrewen	a l t ɹ ɛ ʊ ə n
altrow	a l t r ɔ ʊ
alwhedhow	ə l ʍ ɛ ð o ʊ
alwheth	æ l ʍ ə θ
amanyn	ə m a n ə n
amanyn	ə m a n ɪ n
amari	a m a r i
amary	æ m ə ɾ i
andhemedhys	a n ð ɛ m ɛ ð ɪ s
androweyth	a n d ɹ ɔ ʊ w ɛ ɪ θ
aneller	a n ɛ l ɛ r
anes	a n ɛ z
ankevi	a n k ɛː v i
anodho	a n ɔ ð ɔ
anwos	a n w ɔː z
anyagh	a n j aː x
apoyntyans	a p ɔ ɪ n t j ə n z
app	a pː
appendicitys	a pː ɛ n d ɪ s iː t ɪ s
apposyans	a pː ɔ z j ə n z
aral	a r aː l
arbrovji	a ɹ b ɹ ɔː v d ʒ iː
ardh	a ɹ ð
argh	a ɹ x
arghanser	a r x a n z ɛ r
arghanti	a ɹ x a n t iː
arghantinek	a r x a n t i n ɛ k
argrevell	a ɹ ɡ ɹ ɛː v ɛ lː
arhwilell	a ɹ ʍ iː l ɛ lː
arhwithrans	a ɹ ʍ iː θ ɹ a n z
armadyllo	a ɹ m aː d ɪ lː ɔ ʊ
arta	a r t ə
arth	a ɹ θ
arthritys	a r θ r i t ɪ s
artydh	a ɹ t ɪː ð
arvethesik	a ɹ v ɛ θ ɛː z ɪ k
arvethor	a ɹ v ɛː θ ɤ ɹ
asen	a s ɛ n
askorn	a s k ɔ r n
askus	a s k yː z
aspier	a s p i ɛː ɹ
astel	a s t ɛ l
astelwolyans	a s t ɛ l w ɔː l j ə n z
aswiwer	a z w iː w ɛ ɹ
aswon	a z w ɔ n
aswonys	a z w ɔ n ɪ s
atalgist	a t a l ɡ iː s t
avel	a v ɛ l
avon	aː v ɔ n
avorow	ə v ɔ ɾ o ʊ
ayrborth	a ɪ r b ɔ r θ
baboun	b a b uː n
badh	b aː ð
bagas	b a ɡ a z
bahamek	b a h a m ɛ k
bahrainek	b a r ɛ ɪ n ɛ k
balegva	b a l ɛ ɡ v ə
bangladeshek	b a ŋ ɡ l a d ɛ ʃ ɛ k
banna	b a nː a
bara	b aː r a
bara	b æː r æ
barbakoa	b a r b a k ɔ ʊ a
barbour	b aː ɹ b ɔ ɹ
bardh	b a r ð
bardhonieth	b a r ð ɔ n j ɛː θ
barlys	b a ɹ l ɪ s
barr	b a r
barrlennell	b a r l ɛ nː ɛ lː
bas	b aː z
bay	b æ i
begel	b eː ɡ ɛ l
beler	b ɛ l ɛ ɹ
bern	b ɛ r n
bilvil	b i l v ɪ l
blejen	b l ɛ d͡ʒ ə n
blejennow	b l ə d͡ʒ ɛᵈ n o ʊ
blejyow	b l ɛ d͡ʒ o ʊ
blonek	b l ɔ n ɛ k
bloodh	b l oː ð
bo	b oː
boghosek	b ɔ h ɔ z ɛ k
boks	b ɔ k s
bones	b ɔ n ə s
bones	b ɔ n ə z
bool	b oː l
bos	b iː
bos	b oː z
bos	b ɔː z
bos	ɛ r ɐ
bosti	b oː s t i
botswanek	b ɔ t s w a n ɛ k
bras	b r aː z
brassa	b ɹ a s ə
brederedh	b r ɛ d ɛ r ɛ ð
breghel	b r ɛ x ɛ l
breghellik	b r ɛ x ɛ l ɪ k
brest	b r ɛ s t
breus	b r øː z
breusyas	b r øː z j a s
briansen	b r i a n z ɛ n
brygh	b ɹ ɪ x
bryntin	b r ɪ n t i n
brâs	b ɹ ɒː z
bugel	b y ɡ ə l
burm	b ʏ ɹ m
byghan	b ɪ x ə n
byghanna	b ɪ x a n ə
bysow	b ɪ z ɔ ʊ
chambour	t ʃ a m b u ɹ
chek	t ʃ ɛ k
da	d aː
dager	d a ɡ ɛ r
dalghenna	d a l x ɛ nː a
dall	d a l
dalleth	d a l ɛ θ
daras	d aː r a s
daras	d æː r ə s
darasow	d a r aː z ɔ ʊ
dargan	d a r ɡ a n
darjow	d æː r d͡ʒ ɔ ʊ
darn	d a ɹ n
deg	d ɛ ɡ
dehweles	d ɛ ʍ ɛ l ɛ z
densek	d ɛ n z ɛ k
derivas	d ɛ r i v a s
deuv	d øː v
dew	d ɛ ʊ
dewdhek	d ɛ ʊ ð ɛ k
dewis	d ɛ w i s
dha	ð a
dha	ð ə
dhe	ð ə
dhi	ð iː
diagnosans	d i a ɡ n ɔ s ə n z
didhan	d ɪ ð aː n
didhemedhys	d i ð e m e ð ɪ s
difuna	d i f y n a
dinas	d i n a s
diner	d i n ɛ r
diskortes	d ɪ s k ɔ r t ɛ s
diveri	d i v ɛ r i
diw	d i ʊ
diwedhes	d i w ɛ ð ɛ z
diwros	d i ʊ ɹ ɔː z
diwrosa	d ɪ ʊ ɹ ɔː z a
diwysyk	d ɪ w ɪˑ z ɪ k
dos	d ɔː z
dov	d oː v
down	d ɔ ʊ n
dowrgi	d ɔ ʊ r ɡ i
dres	d r ɛ z
dri	d r iː
dydh	d ɪː ð
dyghtya	d ɪ x t j a
dyth	d ɪː θ
dythya	d ɪː θ j ə
dywvregh	d i ʊ v r ə x
dëdh	d eː ð
dëdh	d iː ð
dÿdh	d eː ð
dÿdh	d iː ð
ebil	ɛ b i l
ebilya	ɛ b i l j ə
ebost	ɛː b ɔː s t
ebostya	ɛː b ɔː s t j ə
ebron	ɛː b ɹ ɔː n
edhom	ɛ ð ɔ m
edrek	ɛ d r ɛ ɡ
efan	ɛ f a n
elgeth	ɛ l ɡ ɛ θ
enep	ɛ n ɛ p
eneval	ɛ n ɛ v a l
ensampel	ɛ n s a m p ɛ l
ergh	ɛ ɹ x
es	ɛ z
es	ɛː z
eskis	ɛ s k i z
estranj	ɛ s t r a n d͡ʒ
etek	ɛ t ɛ k
eth	ɛ θ
eur	øː r
euthyk	øː θ ɪ k
eva	ɛː v ə
ewnter	ɛ ʊ n t ɛ r
eylgylghya	ɛ ɪ l ɡ ɪː l x j ə
eylgylghyans	ɛ ɪ l ɡ ɪː l x j ə n z
fav	f aː v
fenester	f ɛ n ɛ s t ɛ r
fesont	f ɛ z ɔ n t
figys	f ɪ ɡ ɪ z
fijiek	f ɪ d ʒ i ɛ k
floren	f l ɔ r ɛ n
fon	f oː n
fon	f ɔː n
forgh	f ɔ ɹ x
fos	f ɔː z
frynkek	f ɹ ɪ ŋ k ɛ k
fur	f yː r
ganow	ɡ a n ɔ ʊ
ganowek	ɡ a n ɔ ʊ ɪ k
garow	ɡ a r ɔ ʊ
gell	ɡ ɛ lː
genn	ɡ ɛ n
gevell	ɡ ɛ v ɛ l
gitar	ɡ i t a r
glan	ɡ l aː n
glaw	ɡ l a ʊ
glus	ɡ l ʏː z
gocki	ɡ ɔ k i
goffos	ɡ ɔ f ə z
goghi	ɡ ɔ x i
golghi	ɡ ɔ l x i
gorm	ɡ ɔ r m
gorvarghas	ɡ ɔ r v a r x ə s
gour	ɡ uː ɹ
grappa	ɡ r a p a
gravath	ɡ r a v a θ
greun	ɡ ɹ øː n
greunvos	ɡ ɹ øː n v ɔ s
gwag	ɡ w aː ɡ
gwaneth	ɡ w a n ɛ θ
gwann	ɡ w a nː
gwariell	ɡ w a ɹ i ɛ l
gwarier	ɡ w a r i ɛ r
gwav	ɡ w aː v
gweder	ɡ w ɛ d ɛ r
gwedh	ɡ w eː ð
gweli	ɡ w ɛ l i
gwern	ɡ w ɛ r n
gwig	ɡ w iː ɡ
gwiwer	ɡ w i w ə ɹ
gwragh	ɡ w ʁ ɑː χ
gwreg	ɡ w ɹ ɛ ɡ
gwyls	ɡ w ɪ l z
gwëdh	ɡ w eː ð
gwÿdh	ɡ w iː ð
gà	ɡ ə
hamster	h a m s t ɛ ɹ
hasa	h a z ə
hatt	h a t
hav	h aː v
helghya	h ɛ l x j a
helgik	h ɛ l ɡ ɪ k
higen	h i ɡ ɛ n
hir	h iː r
hireth	h ɪ r ɛ θ
hos	h ɔ s
howl	h ɔ ʊ l
howlyek	h ɔ ʊ l j ɛ k
hwegh	ʍ ɛ x
hwetek	ʍ ɛ t ɛ k
hwi	ʍ iː
hwi	ʍ ə ɪ
hwil	ʍ i l
hwor	ʍ ɔː r
hy	i
isel	i z ɛ l
kal	k a l
kalan	k a l a n
kales	k a l ɛ s
kaletter	k a l ɛ tː ɛ r
kalgh	k a l x
kan	k aː n
kanker	k a ŋ k ə ɹ
kanstel	k a n s t ə l
kar	k aː r
karten	k a ɹ t ə n
keherek	k ɛ h ɛ r ɛ k
kelorn	k ɛ l ɔ ɹ n
kemmyn	k ɛ m m ɪ n
kenderow	k ɛ n d ə ɹ ɔ ʊ
keniterow	k ɛ n i t ɛ ɹ ɔ ʊ
kenter	k ɛ n t ɛ r
ker	k ɛː r
kerdhes	k ɛ ɹ ð ə z
kergh	k ɛ ɹ x
keser	k ɛ s ɛ ɹ
kewer	k ɛ w ɛ r
keyn	k ɛ ɪ n
kist	k i s t
klav	k l aː v
kler	k l eː r
kolm	k ɔ l m
kolom	k ɔ l ɔ m
kolon	k ɔ l ɔ n
koloren	k ɔ l ɔ ɹ ə n
konna	k ɔ nː ə
korel	k ɔ ɹ ɛ l
korev	k ɔ r ɛ v
korf	k ɔ ɹ f
korrvarvus	k ɔ r v a r v ʏ s
korrwelell	k ɔ r w ɛ l ɛ l
kosel	k ɔ z ɛ l
koswik	k ɔː z w ɪ k
kott	k ɔ t
kowas	k ɔ ʊ ə s
kowel	k ɔ ʊ ə l
kowlvleujen	k ɔ ʊ l v l ø d ʒ ə n
koynt	k ɔ ɪ n t
kras	k r aː z
kravas	k r a v ə z
kres	k r ɛː z
kroghen	k r ɔ x ə n
kroglen	k r ɔ ɡ l ɛ n
krows	k r ɔ ʊ z
krys	k r iː z
kukomber	k u k ɔ m b ə ɹ
kulyek	k y l j ɛ k
kuntilow	k ɐ n t iː l ɔː
kymyst	k ɪ m ɪ s t
kynsa	k ɪ n z ə
lavrek	l a v r ɛ k
lenn	l ɛ n
leurlen	l øː r l ɛ n
leuv	l øː v
lewpard	l e ʊ p a r d
lewpard	l ɛ ʊ p a r d
lewpard	l ɛ ʊ p ə r d
losonieth	l ɔ z ɔ n i ɛ θ
lostledan	l ɔ s t l ɛː d a n
lowarn	l o ʊ a r n
lugarn	l ʏ ɡ a r n
lughes	l y x ɛ s
lynn	l ɪ nː
lys	l i z
maghteth	m a x t ɛ θ
maghteth	m æʰ t ɐ θ
mamm	m a m
mantol	m a n t ɔ l
margh	m a r x
marghasva	m a r x a s v ə
marner	m a r n ə r
maw	m æ ʊ
medhegneth	m ɛ ð ɛ ɡ n ɛ θ
medhel	m e ð ɛ l
melhwen	m ɛ l ʍ ɛ n
menhe	m ɛː n h ɛ
menta	m ɛ n t ə
mergh	m ɛ rʰ
mernans	m ɛ r n a n z
meus	m œː z
mil	m i l
milhyntal	m i l h ɪ n t ə l
milvil	m i l v ɪ l
mires	m i r ɛ z
mis	m iː z
mogniwl	m ɔ ɡ n i u l
moos	m oː z
mordhos	m ɔ r ð ɔ s
morthol	m ɔ r θ ɔ l
moryoner	m ɔ ɹ j ɔ n ə ɹ
moskito	m ɔ s k i t ɔ ʊ
munys	m y n ɪ s
myll	m ɪ l
mynysen	m ɪ n ɪ z ɛ n
myrgh	m ɪ r x
myttin	m ɪ t i n
nath	n æː θ
naw	n a ʊ
nektarin	n ɛ k t a ɹ i n
nerth	n ɛ r θ
nerven	n ɛ r v ɛ n
nessa	n ɛ s ə
neyja	n ɛ ɪ d ʒ a
niwl	n i u l
nos	n ɔː z
nownsek	n a ʊ n z ɛ k
noy	n ɔˑ ɪ
ny	n iː
ny	n ə ɪ
ny	n ɪ
nyns	n ɪ n z
oberen	ɔ b ɛ ɹ ɛ n
ogas	ɔ ɡ ə s
oles	ɔː l ə z
oliv	ɔ l iː v
onan	ɔː n ə n
onyon	ɔ n j ɔ n
organs	ɔ r ɡ a n z
ostes	o s t ə s
oula	uː l a
pal	p aː l
paper	p a p ə ɹ
papynjay	p a p ɪ n d ʒ ɛ ɪ
parys	p aˑ r ɪ s
pas	p aː z
peder	p ɛ d ɛ r
peg	p e ɡ
pel	p ɛː l
pell	p ɛ lː
pellwolok	p ɛ l w ɔ l ɔ k
perna	p e r n ə
persil	p ɛ ɹ s ɪ l
peryllus	p ɛ r ɪ l y s
peswar	p ɛ z w a r
peswardhek	p ɛ z w a r ð ɛ k
piano	p i a n ɔ ʊ
plos	p l ɔː z
po	p oː
po	p ɔ
pobas	p ɔ b a s
pocket	p ɔ k ɛ t
pompik	p ɔ m p ɪ k
pompyon	p ɔ m p j ɔ n
poos	p oː z
popti	p ɔ p t i
porth	p ɔ ɹ θ
porther	p ɔ ɹ θ ɛ ɹ
pow	p ɔˑ ʊ
pries	p r i ɛ z
pryv	p r ɪː v
pur	p iː r
pur	p yː r
puskes	p i s k ə s
puskes	p yː s k ɛ s
pymp	p ɪ m p
pymthek	p ɪ m θ ɛ k
pysk	p ɪː s k
pyskador	p ɪ s k aː d ɔ r
pyskadoryon	p ɪ s k a d ɔː r j ɔ n
pò	p ɔ
rastell	r a s t ə l
rath	ɹ aː θ
rewlell	r ɛ ʊ l ɛ l
rider	r i d ɛ r
ris	ɹ iː s
rond	r ɔ n d
ros	ɹ ɔː z
rosella	r ɔ z ɛ l a
rych	r ɪ t͡ʃ
sagh	s aː x
sagh	z æːʰ
sarf	s a ɹ f
saw	s a w
sawja	s a ʊ d ʒ a
senedh	s ɛ n ɛ ð
seytek	s ɛ ɪ t ɛ k
seyth	s ɛ i θ
sim	s iː m
skant	s k a n t
skav	s k aː v
skavel	s k a v ɛ l
skentel	s k ɛ n t ə l
skons	s k ɔ n s
skrif	s k r iː f
skubell	s k ʏ b ə l
slynk	s l ɪ n k
smodh	s m oː ð
sodhva	s ɔː ð v a
sort	s ɔ r t
spong	s p ɔ ŋ ɡ
stret	s t r ɛː t
strokas	s t r ɔ k ə s
strooth	s t r oː θ
sugal	s u ɡ a l
sugen	s y ɡ ə n
sur	s iː r
sur	s yː r
sur	z iː r
sylli	s ɪ l i
tabour	t a b u r
tal	t aː l
tanow	t a n ɔ ʊ
tasow	t a z o
taves	t a v ɛ s
te	t ɛː
teg	t ɛː ɡ
telyn	t ɛː l ɪ n
tenna	t ɛ nː a
terrys	t ɛ r ɪ s
tew	t ɛ ʊ
tewl	t e ʊ l
tewlel	t ɛ ʊ l ɛ l
teylu	t ə ɪ l ɪ ʊ
teylu	t ɛ ɪ l y
teyr	t ɛ ɪ r
tir	t iː r
togolesek	t ɔ ɡ ɔ l ɛː s ɛ k
tomm	t ɤ mː
tonganek	t ɔ ŋ ɡ a n ɛ k
torr	t ɔː r
torr	t ɔː rː
touna	t uː n a
tredan	t ɹ ɛ d ə n
tredaner	t r ɛ d a n ɛ r
tredhek	t r ɛ ð ɛ k
tregh	t r ɛː x
tregher	t r ɛ x ɛ r
tressa	t ɹ ɛ s a
treth	t r ɛː θ
treusva	t ɹ øː z v a
tri	t r i
trinidadiek	t r ɪ n ɪ d a d i ɛ k
trist	t r iː s t
trogh	t r ɔː x
tron	t r oː n
troos	t r oː z
troos	t r uː z
truth	t r y θ
tunisiek	t y n i z i ɛ k
tuvaluek	t y v a l y ɛ k
udn	ɪᵈ n
udn	ʏ n
ugandek	y ɡ a n d ɛ k
ugens	ʏ ɡ ə n z
unn	ɪᵈ n
unn	ʏ n
unnek	ʏ n ɛ k
urugwayek	y r y ɡ w a ɪ ɛ k
uskis	y s k ɪ s
vanuatuek	v a n y w a t y ɛ k
venezwelek	v ɛ n ɛ z w ɛ l ɛ k
vietnamek	v i ɛ t n a m ɛ k
vo	v oː
why	ʍ iː
why	ʍ ə ɪ
y	ɪː
yagh	j aː x
yar	j aː ɹ
yemenek	j ɛ m ɛ n ɛ k
yeyn	j ɛ ɪ n
yn	ɪ n
ynkladhva	ɪ n k l aː ð v a
ynkleudhva	ɪ n k l øː ð v a
ynn	ɪ nː
yowynk	j ɔ ʊ ɪ n k
ys	ɪ s
ysel	ə z ɛ l
âls	æ l z
âls	ɒ l z
ès	ɛ z
ɐ	ɔ
ᵹ	ɣ
Ꝺ	ð
ꝺ	ð
Ᵹ	ɣ
Ꝿ	ŋ
ꝿ	ŋ
Ꞇ	θ
ꞇ	θ
