־טום	t ʊ m
הקדמה	h a ɡ d ɔ m ə
וואָגן	v uː ɡ ŋ̩
וואָס	v ɔ s
וואָס	v ʊ s
וואָסערע	v ɔ s ə r ə
וווּרשט	v ɪ ʁ ʃ t
וווּרשט	v ʊ ʁ ʃ t
וויסן	v ɪ s n̩
ווערב	v ɛ ʁ b
זאַנג	z a ŋ ɡ
זאָגט	z u k t
זאָגט	z uː k t
זאָגט	z ɔ k t
זאָגן	z ʊ ɡ ŋ̩
זון	z i n
זון	z iː n
זון	z ɨ n
זון	z ɪ n
זון	z ʊ n
זיבן	z i b m̩
זיבן	z iː b m̩
זיבן	z ɪ b m̩
זינגען	z ɪ ŋ ɡ ŋ̩
זיצטרין	z ɪ t s t ʁ ɪ n
זײַנען	z a ɪ n ə n
חופּה	χ ɨ p ə
חופּה	χ ɪ p ə
חופּה	χ ʊ p ə
חזיר	χ a z ə ʁ
חלום	χ u l ə m
חלום	χ uː l ə m
חלום	χ ɔ l ə m
חן	χ a ɪ̯ n
חן	χ ɛ ɪ̯ n
חשבון	χ ɛ ʒ b m̩
חשבונען	χ ɛ ʒ b ɜ n ɜ n
טאַטע	t a t ə
טאַטע	t o t ə
טייטן	t ɛ j t n̩
טרעטן	t ʁ ɛ t n̩
יאָ	j ɔ
ייִד	j i d
ייִדן	j i d n̩
ישׂראל	j ɪ s ʁ ɔ ɪ̯ ɫ
כאַפּן	χ a p m̩
לאַקס	l a k s
לעבן	ɫ e ɪ b m̩
לעבן	ɫ ɛ b m̩
לענדער	l ɛ n d ə r
לײַב	l a b
לײַב	l a ɪ b
לײַב	l aː b
מאַמאַליגע	m ɑ m ɑ l i ɡ ɛ
מאַמע	m a m ə
מאַמע	m ɔ m ə
מאַנדלברויט	m a n d l̩ b r e ɪ̯ t
מאַנדלברויט	m a n d l̩ b r ɔ u t
מאַנדלברויט	m a n d l̩ b r ɔ ɪ̯ t
מאַראַנץ	m a ʁ a n t s
מאַרך	m a ʁ χ
מאָגן	m ɔ ɡ ə n
מאָגן	m ʊ ɡ ə n
מאָנאָפּאָל	m ɔ n ɔ p ɔ l
מוזיק	m ʊ z ɪ k
מוח	m e ɪ ə χ
מוח	m ɔ ɪ ə χ
מוטער	m ɪ t ə ʁ
מוטער	m ʊ t ə ʁ
מוטערשייד	m ɪ t ə ʁ ʃ a ɪ d
מוטערשייד	m ʊ t ə ʁ ʃ ɛ ɪ d
מויז	m ɔ j z
מומע	m i m ə
מומע	m iː m ə
מומע	m ʊ m ə
מיכאל	m ɪ χ ɔ ɪ̯ ɫ
מענטש	m ɛ n t͡ʃ
מער	m e j ə
מער	m eː ʀ
מער	m ɛ ʁ
משפּחהדיק	m ɪ ʃ p ɔ χ ə d ɪ k
משפּחהדיקן	m ɪ ʃ p ɔ χ ə d ɪ k ŋ̩
משפּחהדיקס	m ɪ ʃ p ɔ χ ə d ɪ k s
משפּחהדיקע	m ɪ ʃ p ɔ χ ə d ɪ k ə
משפּחהדיקער	m ɪ ʃ p ɔ χ ə d ɪ k ə ʁ
משפּחות	m ɪ ʃ p ɔ χ ə s
ניט	n i t
נישט	n ɪ ʃ t
סטרונע	s t ʁ i n ə
סטרונע	s t ʁ ɪ n ə
סטרונע	s t ʁ ʊ n ə
ס׳	s
עט	ɛ t
עפּל	ɛ p ə l
עקזאַמען	ɛ ɡ z a m ə n
פּויק	p a ʊ k
פּויק	p oː k
פּויק	p u k
פּויק	p ɔ ɪ k
פּויק	p ɔ ʊ k
פּויק	p ɔː k
פּויק	p ʊ k
פּויק	p ʊ ɪ k
פּורים	p i ʁ ə m
פּורים	p iː ʁ ə m
פּורים	p ʊ ʁ ə m
פּירגע	p ɪ r ɡ ə
פּנים	p u n ə m
פּנים	p uː n ə m
פּנים	p ɔ n ə m
פֿאַרצווײַגט	f a ʀ̆ t͡s v a ɪ̯ k t
פֿאָטער	f ɔ t ə ʁ
פֿאָטער	f ʊ t ə r
פֿאָלק	f ɔ ɫ k
פֿאָלקס	f ɔ l k s
פֿון	f i n
פֿון	f ɪ n
פֿון	f ʊ n
פֿוס	f ɪ s
פֿוס	f ʊ s
פֿוקס	f i k s
פֿוקס	f ɪ k s
פֿוקס	f ʊ k s
פֿינגער	f ɪ ŋ ɡ ə ʁ
פֿינגערל	f ɪ ŋ ɡ ə ʁ ə l
פֿיסל	f ɪ s ə l
פֿלוים	f l ɔ ɪ m
פֿלוים	f l ɔː m
פֿערשקע	f ɛ ʁ ʃ k ə
פֿרוכט	f ʁ ɪ χ t
פֿרוכט	f ʁ ʊ χ t
פֿרום	f ʁ ɨ m
פֿרום	f ʁ ɪ m
פֿרום	f ʁ ʊ m
פֿרעגן	f r ɛ ɡ ŋ̩
פֿרעגן	f ʁ ɛ ɡ ŋ̩
פֿײַפֿל	f a ɪ̯ f ɫ̩
פֿײַפֿל	f aː f ɫ̩
פֿײַפֿן	f a ɪ̯ f n̩
פֿײַפֿן	f aː f n̩
צאָן	t s u n
צאָן	t s uː n
צאָן	t s ɔ n
צוזאַמען	t͡s ʊ z a m ə n
צונג	t s ɪ ŋ ɡ
צונג	t s ʊ ŋ ɡ
צענטערס	t s ɛ n t ə r s
קאַץ	k a t s
קאָנטינענטן	k ɔ n t i n ɛ n t n̩
קהלת	k ə h e ɪ̯ l ə s
קהלת	k ə h ɛ l ə s
קו	k iː
קו	k ʊ
קוועטשן	k v ɛ t ʃ n̩
קומען	k ɨ m ə n
קומען	k ɪ m ə n
קומען	k ʊ m ə n
קוקן	k ʊ k ŋ̩
קורווע	k u r v ə
קורווע	k ʊ r v ə
קורווע	k ʊ ə v ə
קורווע	k ʊ ʁ v ə
קימלברויט	k ɪ m l̩ b r e ɪ̯ t
קימלברויט	k ɪ m l̩ b r ɔ u t
קימלברויט	k ɪ m l̩ b r ɔ ɪ̯ t
קין	k ɪ n
קישקע	k ɪ ʃ k ə
קלײַבן	k l a ɪ b n̩
קנאָבלברויט	k n ɔ b ɫ̩ b r e ɪ̯ t
קנאָבלברויט	k n ɔ b ɫ̩ b r ɔ u t
קנאָבלברויט	k n ɔ b ɫ̩ b r ɔ ɪ̯ t
קני	k n ɪ
קרעפּל	k ʁ ɛ p l̩
ראַטעווען	ʁ a t ə v ə n
רבֿקה	r ɪ f k ɜ
רעגן	ɾ ɛ ɡ ŋ̩
רעגן־וואַסער	ʁ ɛ ɡ ŋ̩ v a s ə ʁ
רעגן־מאַנטל	ɾ e ɪ̯ ɡ ŋ̩ m a n t ɫ̩
רעד	r ɛ d
רעדסט	r ɛ t s t
רעדסט	ʁ ɛ t s t
רשימה	r ə ʃ i m ə
שׂינאת־ישׂראל	s ɪ n ɜ s j ɪ s ɾ ɔ ɪ̯ ɫ
שאָטן	ʃ ɔ t n̩
שבת	ʃ a b ə s
שבת	ʃ ɔ b ə s
שדכן	ʃ a t χ n̩
שוואַרצברויט	ʃ v a r t͡s b r e ɪ̯ t
שוואַרצברויט	ʃ v a r t͡s b r ɔ u t
שוואַרצברויט	ʃ v a r t͡s b r ɔ ɪ̯ t
שטאַפּל	ʃ t a p l̩
שטאָט	ʃ t u t
שטאָט	ʃ t ɔ t
שטום	ʃ t ɨ m
שטום	ʃ t ɪ m
שטום	ʃ t ʊ m
שטופּן	ʃ t ʊ p m̩
שטעטל	ʃ t e ɪ t l̩
שטעטל	ʃ t ɛ t l̩
שטערן	ʃ t ɛ ʁ ə n
שייד	ʃ a ɪ d
שייד	ʃ ɛ ɪ d
שיר	ʃ ɪ ʁ
שכּ׳ח	ʃ k e ɪ̯ ə χ
שכּ׳ח	ʃ k ɔ ɪ̯ ə χ
שלאַנג	ʃ l a ŋ ɡ
שלאַנג	ʃ l a ɪ̯ ŋ ɡ
שלעפּן	ʃ ɫ ɛ p m̩
שמאַלץ	ʃ m a ɫ t͡s
שמאַלציק	ʃ m a ɫ t͡s ɪ k
שמאַלציקן	ʃ m a ɫ t͡s ɪ k ŋ̩
שמאַלציקע	ʃ m a ɫ t͡s ɪ k ə
שמאַלציקער	ʃ m a ɫ t͡s ɪ k ə ʁ
שעה	ʃ u
שפּראַך	ʃ p ʁ a χ
שפּריצן	ʃ p ʁ ɪ t͡s n̩
שרײַבטיש	ʃ r a p t ɨ ʃ
שרײַבטיש	ʃ r aː p t ɪ ʃ
שרײַבן	ʃ r a ɪ b m̩
שרײַבן	ʃ r aː b m̩
תּורה	t e ɪ ʁ ə
תּורה	t ɔ ɪ ʁ ə
תּחת	t ɔ χ ə s
תּחת	t ʊ χ ə s
תּפֿילה	t f ɨ l ə
תּפֿילה	t f ɪ l ə
