hashamat	h a̽ ʃ ɐ m ɐ t̪
hukumat	h ʊ̥̈ k̟ ʉ̞ m a̽ t̪
humo	h ʊ̈ m ɒ̽
hur	h ʊ̈ r
hurmat	h ʊ̈ r m a̽ t̪
ikki	i̞ k̟̚ k̟ʰ i̞
ingliz	ɪ ŋ ˖ l ɪ z
inqilob	i̞ ɴ q ɨ̞ l ɒ̽ p
inson	i̞ n s ɒ̽ n
ipak	i̞ p æ k̟
iqtisodiy	ɨ̞ q͡χ t̪ s ɒ̽ d̪ i j
iqtisodiy	ɨ̞ q͡χ t̪ ɪ̥̈ s ɒ̽ d̪ i j
ishlatmoq	ĭ̞ ʃ l æ t̪̚ m ɒ̽ q͡χ
ism	ʔ s m
jahon	d͡ʒ ɐ̠ h ɒ̝ n
jahonlar	d͡ʒ a h ɒ n l a r
juma	d͡ʒ ʊ m ɐ
katet	k æ t̪ e t̪
kecha	k e t͡ʃ æ
kel	k̟ ɛ l
kelin	k̟ʰ ɛ l ɪ̈ n
kelmoq	k̟ ɛ l m ɒ̝ q
keng	kʰ e ŋ̟
keng	kʰ e ŋ̟ ɡ̟̊
kerak	k̟ ɛ r æ k̟
ketmoq	k e t m ɒ q
kishi	k̟ ʃ ɨ̞
kitob	kʲ ɪ̥̆ t̪ ɒ̝ b
kiyim	k i j ɪ m
korol	k ɐ r o ɫ
koʻk	k ɵ k
koʻl	k̟ʰ ɵ l
koʻr	k ɵ ɾ
koʻtarilmoq	k ɔ t æ ɾ ɪ l m ɒ q
koʻtarinki	k o t̪ æ ɾ ɪ n k i
kuch	k̟ʰ ʏ t͡ʃʰ
kun	k̟ʰ ʉ n
kuz	k̟ʰ ʏ z
maktab	m æ k̟ʰ t̪ a̽ b
mardona	m æ r d̪ ɒ̝ n æ
men	m e n
ming	m ɪ ŋ ˖
momiq	m ɒ̽ m ɨ̞ q͡χ
muz	m ʉ̞ z
nafas	n æ f a s
namoz	n æ m ɒ̝ z
navroʻz	n æ ʊ̯ ɾ oː z
naʼmatak	n a ʔ m a t a k
neft	n e f t
notoʻgʻri	n ɒ t o ʁ r ɨ
ochiq	ɒ t͡ʃ ɨ q
ogʻir	ɒ̝ ʁ ɯ̽ r
olma	ɒ̝ l m æ
olmoq	ɒ̝ l m ɒ̝ q
olti	ɒ̝ l t̪ ɨ̞
oltin	ɒ̽ l t̪ ɪ̈ n
ona	ɒ̽ n ɐ
oshiq	ɒ̽ ʃ ɪ̽ q
oshmoq	ɒ ʃ m ɒ q
osmon	ɒ̽ s m ɒ̽ n
osmonlamoq	ɒ s m ɒ n l æ m ɒ q
ota	ɒ̽ t̪ ɐ
otaman	ɒ̝ t̪ æ m ɐ n
otmoq	ɒ̝ t̪ m ɒ̝ q͡χ
oy	ɒ̽ j
oydek	ɒ̽ j d̪ ɛ k̟
ozod	ɒ̽ z ɒ̽ d̪
ozodlik	ɒ̽ z ɒ̽ d̪ l ɪ k̟
oʻgʻil	o ʁ ʊ l
oʻqimoq	o q ɨ m ɒ q
oʻqish	o̽ q ɨ̞ ʃ
oʻrmon	o r m ɒ n
oʻrmonlar	o r m ɒ n l a r
oʻrta	o r t a
oʻrta	o r t æ
oʻyin	o̟ j ɪ̽ n
oʻylamoq	o j l æ m ɒ q
oʻynamoq	o j n æ m ɒ q
pivo	p í ʋ ɐ
pomidor	p æ m i d ɒ ɾ
poshsha	p ɒ ʃ ʃ ɑ
poʻrtaxol	p o ɾ t æ χ ɒ ɫ
pul	pʰ ʊ̈ l
qanot	q ɐ̠ n ɒ̽ t̪
qaror	q ɑ r ɒ r
qatagʻon	q ɑ̽ t̪ ɐ ʁ ɒ̝ n
qavat	q ɐ̠ ʋ ɐ t̪
qaysi	q æ j s ɨ
qilmoq	q ɯ̽ l m ɒ̝ q
qimiz	q ɯ̽ m ɯ̽ z
qirgʻiz	q ɨ ɾ ʁ ɨ z
qirol	q ɨ r ɒ l
qishloq	q ɯ̽ ʃ l ɒ̝ q͡χ ˖
qiz	q ɯ̽ z
qum	q u̞ m
rahmat	r ɑ̽ h m ɐ t̪
rang	r æ ŋ̟
rang	r æ ŋ̟ ɡ̟̊
rang	r æ̃ ŋʲ
salom	s æ l ɒ̝ m
sanʼat	s ɐ n ʔ ɐ t̪
sevgi	s ɛ ʋ ɡ ˖ ɪ
sezmoq	s e z m ɒ q
shahar	ʃ ɐ h ɑ̽ r
sher	ʃ e r
shirin	ʃ ɪ r ɪ n
shod	ʃ o d
sifat	s ɨ̞̊ f a t
sigara	s ɪ̥̽ ɡ a r ɐ
siz	s ɪ̈ z
sizga	s ɨ̞ z ɡʲ æ
soʻz	s o̟ z
soʻz	s ɵ z
soʻzlik	s o̟ z l i̞ k̟ʰ
soʻzlik	s ɵ z l ɪ cʰ
so‘qirlik	s o q ɪ r l ɪ k
sumalak	s ʊ m ɐ l æ k̟
suv	s ʊ ʋ̞
tabaqa	t æ b æ q ɑ
tashvishlanmoq	t æ ʃ v ɨ ʃ l æ n m ɒ q
tegmoq	t e ɡ m ɒ q
til	t̪ʰ ɪ̈ l
topmoq	t ɒ p m ɒ q
tosh	t̪ ɒ̽ ʃ
toʻgʻri	t o ʁ r ɨ
toʻngʻiz	t̪ʰ ɵ ɴ ʁ̞ ɯ̽ s
toʻrt	t̪ o̟ r t̪
tuman	t̪ ʉ̞ m æ n
tun	t̪ʰ ʊ n
tushunmoq	t ʃ ʉ n m ɒ q
tushunmoq	t ʉ ʃ ʉ n m ɒ q
tushuntirmoq	t ʉ ʃ ʉ n t ɨ r m ɒ q
tutmoq	t ʉ t m ɒ q
u	ʔ ʊ
uch	ʔ ʊ̈ t͡ʃʰ
uchun	ʔ ʊ̈ t͡ʃʰ ʊ̈ n
ular	ʔ ʊ̈ l a̽ r
uy	ʉ̞ j
uzr	ʊ̈ z r
uzr	ʊ̈ z ʊ̈ r
vaqt	ʋ a q͡χ ˖ t̪
vazir	ʋ ɐ z ɨ̞ r
vergul	v e r ɡ y l
viloyat	ʋ ɪ l ɒ̽ j ɐ t̪
xalq	χ ɑ̽ l q
xoʻja	χ o d͡ʒ ɐ
xursand	χ ʊ r s a n t
yaxshi	j ɐ̠ χ ʃ ɨ̞
yer	j e r
yil	j ɨ̞ l
yomgʻir	j ɒ̽ m ʁ ɯ̽ r
yorugʻ	j ɒ̽ r u̞ ʁ̥
yoz	j ɒ̽ z
yozuv	j ɒ z u v
yoʻl	j ɵ l
yoʻldosh	j ɵ l d̪ ɒ̽ ʃ
yoʻq	j o q
yulduz	j ʊ̈ l d̪ ʊ̈ z
