abacc	a v ə k
gillacht	ɡʲ i l͈ a x t
gillacht	ɡʲ i l͈ ə x t
gillanrad	ɡʲ i l͈ ə n r ə ð
gillanrad	ɡʲ i l͈ ə n r ə ɣ
gillán	ɡʲ i l͈ aː n
gláede	ɡ l ɯː ðʲ ə
gláede	ɡ l ɯː ɣʲ ə
gáel	ɡ ɯː l
gúal	ɡ uː ə̯ l
gúalach	ɡ uː ə̯ l a x
gúalach	ɡ uː ə̯ l ə x
gúalaire	ɡ uː ə̯ l ə rʲ ə
imdíched	i mʲ dʲ iː xʲ e ð
immallé	i m ə l͈ʲ eː
immdích	i mʲ dʲ iː xʲ
immorro	ə m o r͈ ə
ingenach	i nʲ ɣʲ ə n a x
ingenach	i nʲ ɣʲ ə n ə x
ithed	i hʲ ə ɣ
ithed	i θʲ ə ð
ithid	i hʲ i ɣʲ
ithid	i θʲ i ðʲ
laigin	l͈ a ɣʲ ə nʲ
laignib	l͈ a ɣʲ nʲ ə vʲ
laigniu	l͈ a ɣʲ nʲ u
laigniu	l͈ a ɣʲ nʲ ə
lem	l͈ʲ e ṽ
lennán	l͈ʲ e n͈ aː n
literda	l͈ʲ i tʲ ə r ð ə
literda	l͈ʲ i tʲ ə r ɣ ə
lán	l͈ aː n
láp	l͈ aː b
lías	l͈ʲ iː ə̯ s
lúaith	l͈ uː ə̯ hʲ
lúaith	l͈ uː ə̯ θʲ
maigden	m a ɣʲ dʲ e n
manitucad	m a nʲ i t u ɡ a ð
manitucad	m a nʲ i t u ɡ a ɣ
maní	m a nʲ iː
mathgamain	m a h ɣ ə ṽ ə nʲ
mathgamain	m a θ ɣ ə ṽ ə nʲ
mboga	m o ɣ ə
mbás	m aː s
medb	mʲ e ð ə v
medb	mʲ e ɣ ə v
meidb	mʲ e ðʲ ə vʲ
meidb	mʲ e ɣʲ ə vʲ
mide	mʲ i ðʲ ə
mide	mʲ i ɣʲ ə
midi	mʲ i ðʲ ə
midi	mʲ i ɣʲ ə
midlach	mʲ i ð l a x
midlach	mʲ i ð l ə x
midlach	mʲ i ɣ l a x
midlach	mʲ i ɣ l ə x
muide	m u ðʲ ə
muide	m u ɣʲ ə
míanaige	mʲ iː ə̯ n ə ɣʲ ə
nhérinn	n͈ʲ eː rʲ ə n͈ʲ
nérinn	n͈ʲ eː rʲ ə n͈ʲ
ní	n͈ʲ iː
nóedenán	n͈ ɯː ðʲ ə n aː n
nóedenán	n͈ ɯː ɣʲ ə n aː n
nóin	n͈ oː nʲ
oc	o ɡ
oca	o ɡ ə
occo	o ɡ ə
occoras	o k ə r ə s
ocus	o ɡ u s
ocus	o ɡ ə s
oisén	o ʃ eː n
oisín	o ʃ iː nʲ
peta	pʲ e t ə
pipur	pʲ i b u r
pipur	pʲ i b ə r
pían	pʲ iː ə̯ n
rí	r͈ʲ iː
rígad	r͈ʲ iː ɣ ə ð
rígad	r͈ʲ iː ɣ ə ɣ
sceng	ʃ kʲ e ŋ
scúap	s k u ə̯ b
secht	ʃ e x t
slige	ʃ l͈ʲ i ɣʲ ə
sligeda	ʃ l͈ʲ i ɣʲ ə ð ə
sligeda	ʃ l͈ʲ i ɣʲ ə ɣ ə
sligi	ʃ l͈ʲ i ɣʲ ə
spled	s pʲ lʲ e ð
spled	s pʲ lʲ e ɣ
tadall	t a ð ə l͈
tadall	t a ɣ ə l͈
taibred	t a vʲ rʲ e ð
taibred	t a vʲ rʲ ə ð
taibred	t a vʲ rʲ ə ɣ
tellach	tʲ e l͈ a x
tellach	tʲ e l͈ ə x
tellaige	tʲ e l͈ ə ɣʲ ə
théged	h eː ɣʲ ə ɣ
théged	θʲ eː ɣʲ ə ð
tinne	tʲ i n͈ʲ ə
tre	tʲ rʲ e
trethe	tʲ rʲ e h e
trethe	tʲ rʲ e θʲ e
tucad	t u ɡ a ð
tucad	t u ɡ a ɣ
táncas	t aː ŋ ɡ ə s
téged	tʲ eː ɣʲ ə ð
téged	tʲ eː ɣʲ ə ɣ
téit	tʲ eː dʲ
túathach	t uː ə̯ h a x
túathach	t uː ə̯ h ə x
túathach	t uː ə̯ θ a x
túathach	t uː ə̯ θ ə x
uile	u lʲ ə
uili	u lʲ ə
ulad	u l ə ð
ulad	u l ə ɣ
ulaid	u l ə ðʲ
ulaid	u l ə ɣʲ
áe	ɯː
áel	ɯː l
áillecán	aː l͈ʲ ə ɡ aː n
érinn	eː rʲ ə n͈ʲ
íarthar	i ə r h ə r
íarthar	i ə r θ ə r
íarthur	i ə r h u r
íarthur	i ə r θ u r
ó	oː
